Species,Source,Method,Type.true,Data Swamp file name,Clean,Use,Area,Covar.mean,Covar.sum,PO.extent,Name,Spat.balance,Comments,GPOR,DMAR
GPOR,iNaturalist,presence-only,PO,GPOR_iNat_PO,1,1,,,,CONUS,iNaturalist,Y,,1,
GPOR,MA,VES,Count,GPOR_MA_count_2019_2020,1,1,,yday,,NA,MA VES,N,,1,
GPOR,MA TWO,presence-only,PO,GPOR_MA_PO_1935_2015,1,1,,,,MA,MA PO,Y,,1,
GPOR,MD,presence-only,PO,GPOR_MD_PO_2011_2016,1,0,,,,MD,MD PO,Y,,1,
GPOR,MDMBSS,VES,Count,GPOR_MDMBSS_count_2007_2022,1,1,,yday,,NA,MDMBSS,N,,1,
GPOR,ME,presence-only,PO,GPOR_ME_PO_1852_2023,1,0,,,,ME,ME PO,Y,,1,
GPOR,Museum,presence-only,PO,GPOR_museum_PO,1,1,,,,CONUS,Museum,Y,,1,
GPOR,NY ATLAS,presence-only,PO,GPOR_NYatlas_PO_1990_2014,1,1,,,,NY,NY Atlas,Y,,1,
GPOR,RI,presence-only,PO,GPOR_RI_PO_1985_2008,1,1,,,,RI,RI PO,Y,,1,
GPOR,SEARMI,VES,Count,GPOR_SEARMI_count_2024_2024,1,1,,yday,,NA,SE Stream VES,N,,1,1
GPOR,USGS,VES,Count,GPOR_USGS_count_2022_2023,1,1,,yday,EffectValue,NA,NE Stream VES,N,,1,1
GPOR,VT,presence-only,PO,GPOR_VT_PO_1853_2022,1,1,,,,VT,VT PO,Y,,1,
GPOR,WV,presence-only,PO,GPOR_WV_PO_1931_2023,1,1,,,,WV,WV PO,Y,,1,
GPOR,Dodd,VES?,DND,PLSE_Doddaqua_DND_1998_2001,1,1,,,time,NA,Dodd Aquatic,N,,1,1
GPOR,Dodd,VES,Count,PLSE_Doddlitter_count_2000_2000,1,1,,yday,"surveytime, bagsizecm",NA,Dodd Litterbag,N,,1,1
GPOR,Dodd,VES?,Count,PLSE_Doddterrestrial_count_1998_2001,1,1,,,time,NA,Dodd Terrestrial,N,,1,
GPOR,Hyde,various,Count,PLSE_Hyde_count_1998_1999,1,1,,,,NA,Hyde,N,,1,
DMAR,iNaturalist,presence-only,PO,DMAR_iNat_PO,1,1,,,,CONUS,iNaturalist,Y,,,1
