strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100010101,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010102,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010103,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010104,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010105,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010106,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010107,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010108,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010109,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010201,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010202,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010203,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010204,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010205,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010206,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010207,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020102,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020301,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010101,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010102,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010103,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010104,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010105,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010106,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010201,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010202,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010203,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010204,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010205,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010206,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010207,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010208,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010209,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010210,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010301,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010302,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010303,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010304,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010305,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010306,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010307,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010308,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010401,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010402,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010403,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010404,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010501,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010502,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010503,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010504,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010505,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010506,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010507,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010508,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010509,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010601,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010602,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010701,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010702,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010703,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010704,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010801,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010802,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010803,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010804,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010805,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010901,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010902,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010903,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010904,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010905,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010906,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010907,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011001,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011002,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011003,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011004,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011005,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011006,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011007,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020101,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020102,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020103,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020104,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020105,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020106,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020107,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020203,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020204,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020501,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020502,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020503,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020506,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020507,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200030701,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040101,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040102,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040103,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040104,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040105,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040106,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040107,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040108,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040109,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040110,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040111,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040201,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040202,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040203,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040204,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040205,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040301,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040302,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040303,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040304,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040305,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040306,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040307,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040308,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040309,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040310,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
