strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030501050301,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601010101,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601010102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601010103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601010104,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020202,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020204,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020209,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020210,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020401,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020402,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020403,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020602,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020603,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020604,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020605,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020701,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020702,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020703,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020704,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020705,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020706,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020707,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601020708,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040101,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040105,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040201,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040202,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040203,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040204,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040205,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040206,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040207,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601040210,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010101,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010102,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010104,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010105,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010106,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010201,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010202,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010203,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010204,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010205,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010301,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010302,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010303,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010304,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010305,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010306,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010307,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010401,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010402,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010403,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
