strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
170200070101,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070104,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070105,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070106,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070201,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070202,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070301,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070304,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070305,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070306,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200070401,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080101,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080104,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080201,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080202,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080204,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080205,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080301,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080302,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080303,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080304,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080305,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080306,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080401,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080402,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080403,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080404,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080405,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080406,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080407,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080408,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080501,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080502,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080503,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200080504,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
