"","site.id","lat","lon","stateProvince","source","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"1","iNat67",36.652705,-81.700067,"Virginia","iNat",3,"2020-06-26T11:12:31",26,6,2020,1,1,1,"1_1","PO","DMAR","NR",NA,NA,1
"2","iNat58",36.650288,-81.70427,"Virginia","iNat",79,"2013-05-26T09:38",26,5,2013,1,2,1,"2_1","PO","DMAR","NR",NA,NA,1
"3","iNat5",35.845404,-82.004416,"North Carolina","iNat",28620,"2025-08-30T16:17:04",30,8,2025,1,3,1,"3_1","PO","DMAR","NR",NA,NA,1
"4","iNat41",36.183108,-81.789588,"North Carolina","iNat",221,"2021-04-25T17:17",25,4,2021,1,4,1,"4_1","PO","DMAR","NR",NA,NA,1
"5","iNat17",36.07015,-81.609551,"North Carolina","iNat",28592,"2023-02-23T18:01",23,2,2023,1,5,1,"5_1","PO","DMAR","NR",NA,NA,1
"6","iNat74",36.724216,-81.491839,"Virginia","iNat",267,"2009-05-24T18:31:28",24,5,2009,1,6,1,"6_1","PO","DMAR","NR",NA,NA,1
"7","iNat31",36.14693,-81.770545,"North Carolina","iNat",28592,"2023-08-27T19:35:13",27,8,2023,1,7,1,"7_1","PO","DMAR","NR",NA,NA,1
"8","iNat30",36.140112,-81.701759,"North Carolina","iNat",28592,"2023-07-01T15:33:47",1,7,2023,1,8,1,"8_1","PO","DMAR","NR",NA,NA,1
"9","iNat4",35.812353,-82.196617,"North Carolina","iNat",14,"2025-04-22T13:20:11",22,4,2025,1,9,1,"9_1","PO","DMAR","NR",NA,NA,1
"10","iNat15",36.055089,-81.690376,"North Carolina","iNat",28592,"2019-09-02T18:42",2,9,2019,1,10,1,"10_1","PO","DMAR","NR",NA,NA,1
"11","iNat72",36.6786,-81.489464,"Virginia","iNat",28505,"2025-05-20T14:58:50",20,5,2025,1,11,1,"11_1","PO","DMAR","NR",NA,NA,1
"12","iNat12",36.034176,-81.972098,"North Carolina","iNat",28592,"2023-07-11T14:20",11,7,2023,1,12,1,"12_1","PO","DMAR","NR",NA,NA,1
