"","site.id","lat","lon","stateProvince","source","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"1","Museum58",36.60563,-81.77938,"North Carolina","Museum",NA,"2006",NA,NA,NA,1,1,1,"1_1","PO","DMAR","NR",NA,NA,1
"2","Museum15",35.0873,-83.221,"North Carolina","Museum",9683,"1995-07-29",29,7,1995,1,2,1,"2_1","PO","DMAR","NR",NA,NA,1
"3","Museum9",35.0116,-83.2492,"North Carolina","Museum",349,"1994-06-23",23,6,1994,1,3,1,"3_1","PO","DMAR","NR",NA,NA,1
"4","Museum6",34.9681,-83.214,"North Carolina","Museum",27,"1994-06-23",23,6,1994,1,4,1,"4_1","PO","DMAR","NR",NA,NA,1
"5","Museum19",35.2975,-83.8857,"North Carolina","Museum",27,"1996-06-23",23,6,1996,1,5,1,"5_1","PO","DMAR","NR",NA,NA,1
"6","Museum8",35.0105,-83.2412,"North Carolina","Museum",349,"1995-07-31",31,7,1995,1,6,1,"6_1","PO","DMAR","NR",NA,NA,1
"7","Museum20",35.3127,-82.788,"North Carolina","Museum",5177,"1996-06-21",21,6,1996,1,7,1,"7_1","PO","DMAR","NR",NA,NA,1
"8","Museum3",34.881,-83.487,"Georgia","Museum",NA,"2003-04-27",27,4,2003,1,8,1,"8_1","PO","DMAR","NR",NA,NA,1
"9","Museum25",35.431,-83.084,"North Carolina","Museum",NA,"2002-06-15",15,6,2002,1,9,1,"9_1","PO","DMAR","NR",NA,NA,1
"10","Museum41",35.835,-82.952,"Tennessee","Museum",NA,"1995-06-21",21,6,1995,1,10,1,"10_1","PO","DMAR","NR",NA,NA,1
"11","Museum14",35.077,-83.621,"North Carolina","Museum",NA,"2003-04-29",29,4,2003,1,11,1,"11_1","PO","DMAR","NR",NA,NA,1
"12","Museum38",35.783,-83.102,"Tennessee","Museum",NA,"2001-06-02",2,6,2001,1,12,1,"12_1","PO","DMAR","NR",NA,NA,1
"13","Museum46",36.025,-82.618,"North Carolina","Museum",NA,"2003-04-23",23,4,2003,1,13,1,"13_1","PO","DMAR","NR",NA,NA,1
"14","Museum40",35.828,-82.944,"Tennessee","Museum",NA,"2002-06-15",15,6,2002,1,14,1,"14_1","PO","DMAR","NR",NA,NA,1
"15","Museum30",35.589,-83.979,"Tennessee","Museum",NA,"2001-06-05",5,6,2001,1,15,1,"15_1","PO","DMAR","NR",NA,NA,1
"16","Museum56",36.389,-82.157,"Tennessee","Museum",NA,"2003-04-21",21,4,2003,1,16,1,"16_1","PO","DMAR","NR",NA,NA,1
"17","Museum34",35.703,-83.335,"Tennessee","Museum",NA,"2001-06-30",30,6,2001,1,17,1,"17_1","PO","DMAR","NR",NA,NA,1
"18","Museum21",35.355,-83.91,"North Carolina","Museum",NA,"2001-06-11",11,6,2001,1,18,1,"18_1","PO","DMAR","NR",NA,NA,1
"19","Museum55",36.251,-82.364,"Tennessee","Museum",NA,"2003-04-22",22,4,2003,1,19,1,"19_1","PO","DMAR","NR",NA,NA,1
"20","Museum5",34.965,-83.091,"South Carolina","Museum",NA,"2003-04-25",25,4,2003,1,20,1,"20_1","PO","DMAR","NR",NA,NA,1
"21","Museum24",35.429,-83.76,"North Carolina","Museum",NA,"2001-06-11",11,6,2001,1,21,1,"21_1","PO","DMAR","NR",NA,NA,1
"22","Museum39",35.828,-82.961,"Tennessee","Museum",NA,"2003-05-22",22,5,2003,1,22,1,"22_1","PO","DMAR","NR",NA,NA,1
"23","Museum18",35.267,-83.578,"North Carolina","Museum",NA,"2002-06-14",14,6,2002,1,23,1,"23_1","PO","DMAR","NR",NA,NA,1
"24","Museum59",36.656,-81.586,"Virginia","Museum",NA,"2002-06-09",9,6,2002,1,24,1,"24_1","PO","DMAR","NR",NA,NA,1
"25","Museum12",35.069,-83.629,"North Carolina","Museum",NA,"1994-12-15",15,12,1994,1,25,1,"25_1","PO","DMAR","NR",NA,NA,1
"26","Museum35",35.715,-82.192,"North Carolina","Museum",NA,"2002-06-12",12,6,2002,1,26,1,"26_1","PO","DMAR","NR",NA,NA,1
"27","Museum60",36.657,-81.596,"Virginia","Museum",NA,"2002-06-09",9,6,2002,1,27,1,"27_1","PO","DMAR","NR",NA,NA,1
"28","Museum1",34.635,-83.932,"Georgia","Museum",NA,"2003-04-28",28,4,2003,1,28,1,"28_1","PO","DMAR","NR",NA,NA,1
"29","Museum50",36.114,-81.778,"North Carolina","Museum",NA,"2001-06-03",3,6,2001,1,29,1,"29_1","PO","DMAR","NR",NA,NA,1
"30","Museum28",35.503611,-84.006389,"Tennessee","Museum",144,"1998-06-29",29,6,1998,1,30,1,"30_1","PO","DMAR","NR",NA,NA,1
"31","Museum47",36.05833,-82.55528,"Tennessee","Museum",2825,"2005-06-21",21,6,2005,1,31,1,"31_1","PO","DMAR","NR",NA,NA,1
"32","Museum61",36.7561,-80.3741,"Virginia","Museum",402,"1994-10-01",1,10,1994,1,32,1,"32_1","PO","DMAR","NR",NA,NA,1
"33","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,33,1,"33_1","PO","DMAR","NR",NA,NA,1
"34","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,34,1,"34_1","PO","DMAR","NR",NA,NA,1
"35","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,35,1,"35_1","PO","DMAR","NR",NA,NA,1
"36","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,36,1,"36_1","PO","DMAR","NR",NA,NA,1
"37","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,37,1,"37_1","PO","DMAR","NR",NA,NA,1
"38","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,38,1,"38_1","PO","DMAR","NR",NA,NA,1
"39","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,39,1,"39_1","PO","DMAR","NR",NA,NA,1
"40","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,40,1,"40_1","PO","DMAR","NR",NA,NA,1
"41","Museum2",34.7918,-83.2587,"South Carolina","Museum",201,"1997-05-16",16,5,1997,1,41,1,"41_1","PO","DMAR","NR",NA,NA,1
"42","Museum13",35.0751,-83.5284,"North Carolina","Museum",402,"2003-10-05",5,10,2003,1,42,1,"42_1","PO","DMAR","NR",NA,NA,1
"43","Museum53",36.1648,-81.8123,"North Carolina","Museum",NA,"2016-05-08",8,5,2016,1,43,1,"43_1","PO","DMAR","NR",NA,NA,1
"44","Museum37",35.7568,-82.8763,"North Carolina","Museum",NA,"1994-07-17",17,7,1994,1,44,1,"44_1","PO","DMAR","NR",NA,NA,1
"45","Museum44",35.9353,-82.7437,"North Carolina","Museum",201,"1998-09-29",29,9,1998,1,45,1,"45_1","PO","DMAR","NR",NA,NA,1
"46","Museum43",35.9156,-82.589,"North Carolina","Museum",NA,"1994-07-20",20,7,1994,1,46,1,"46_1","PO","DMAR","NR",NA,NA,1
"47","Museum42",35.8905,-82.8757,"North Carolina","Museum",201,"2009-08-28",28,8,2009,1,47,1,"47_1","PO","DMAR","NR",NA,NA,1
"48","Museum57",36.4679,-81.133,"North Carolina","Museum",201,"1998-07-01",1,7,1998,1,48,1,"48_1","PO","DMAR","NR",NA,NA,1
"49","Museum10",35.018,-83.2748,"North Carolina","Museum",NA,"2006-04-16",16,4,2006,1,49,1,"49_1","PO","DMAR","NR",NA,NA,1
"50","Museum36",35.7192,-82.4026,"North Carolina","Museum",1609,"2004-06",NA,6,2020,1,50,1,"50_1","PO","DMAR","NR",NA,NA,1
"51","Museum52",36.1142,-81.7787,"North Carolina","Museum",201,"1996-12",NA,12,NA,1,51,1,"51_1","PO","DMAR","NR",NA,NA,1
"52","Museum31",35.6626,-83.0426,"North Carolina","Museum",201,"2004-10-05",5,10,2004,1,52,1,"52_1","PO","DMAR","NR",NA,NA,1
"53","Museum22",35.3589,-83.9164,"North Carolina","Museum",402,"1997-08-09",9,8,1997,1,53,1,"53_1","PO","DMAR","NR",NA,NA,1
"54","Museum23",35.4264,-83.3017,"North Carolina","Museum",NA,"2005-03-24",24,3,2005,1,54,1,"54_1","PO","DMAR","NR",NA,NA,1
"55","Museum45",35.9692,-82.7521,"North Carolina","Museum",NA,"1994-07-18",18,7,1994,1,55,1,"55_1","PO","DMAR","NR",NA,NA,1
"56","Museum17",35.1845,-82.9496,"North Carolina","Museum",201,"2003-08-27",27,8,2003,1,56,1,"56_1","PO","DMAR","NR",NA,NA,1
"57","Museum32",35.6687,-82.1221,"North Carolina","Museum",805,"1998-03-25",25,3,1998,1,57,1,"57_1","PO","DMAR","NR",NA,NA,1
"58","Museum48",36.0842,-81.6846,"North Carolina","Museum",805,"1997-09-05",5,9,1997,1,58,1,"58_1","PO","DMAR","NR",NA,NA,1
"59","Museum49",36.1075,-81.7819,"North Carolina","Museum",201,"1994-10-18",18,10,1994,1,59,1,"59_1","PO","DMAR","NR",NA,NA,1
"60","Museum4",34.8854,-83.3393,"Georgia","Museum",402,"1996-07-04",4,7,1996,1,60,1,"60_1","PO","DMAR","NR",NA,NA,1
"61","Museum4",34.8854,-83.3393,"Georgia","Museum",402,"1996-07-04",4,7,1996,1,61,1,"61_1","PO","DMAR","NR",NA,NA,1
"62","Museum54",36.195,-81.6817,"North Carolina","Museum",201,"1995-11-06",6,11,1995,1,62,1,"62_1","PO","DMAR","NR",NA,NA,1
"63","Museum51",36.1141,-81.7785,"North Carolina","Museum",201,"2007-03-03",3,3,2007,1,63,1,"63_1","PO","DMAR","NR",NA,NA,1
"64","Museum29",35.5264,-83.9231,"Tennessee","Museum",NA,"1998-07-05",5,7,1998,1,64,1,"64_1","PO","DMAR","NR",NA,NA,1
"65","Museum27",35.481205,-82.305984,"North Carolina","Museum",NA,"2021-04-21",21,4,2021,1,65,1,"65_1","PO","DMAR","NR",NA,NA,1
"66","Museum7",34.9804,-83.1477,"Georgia","Museum",NA,"2021-04-20",20,4,2021,1,66,1,"66_1","PO","DMAR","NR",NA,NA,1
"67","Museum26",35.468516,-82.954989,"North Carolina","Museum",NA,"2019-09-14",14,9,2019,1,67,1,"67_1","PO","DMAR","NR",NA,NA,1
"68","Museum33",35.683936,-82.202089,"North Carolina","Museum",NA,"2020-07-11",11,7,2020,1,68,1,"68_1","PO","DMAR","NR",NA,NA,1
"69","Museum11",35.068529,-83.239002,"North Carolina","Museum",NA,"1999-04-09",9,4,1999,1,69,1,"69_1","PO","DMAR","NR",NA,NA,1
"70","Museum16",35.113427,-83.220983,"North Carolina","Museum",NA,"1995-04-07",7,4,1995,1,70,1,"70_1","PO","DMAR","NR",NA,NA,1
