"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"iNat6827",43.629375,-72.939299,"Vermont",2,2013-08-04,4,8,2013,1,1,1,"1_1","PO","EBIS","NR",NA,NA,1
"iNat6829",43.631509,-73.061142,"Vermont",NA,2012-10-20,20,10,2012,1,2,1,"2_1","PO","EBIS","NR",NA,NA,1
"iNat4457",41.575384,-81.238207,"Ohio",27785,2014-06-07,7,6,2014,1,3,1,"3_1","PO","EBIS","NR",NA,NA,1
"iNat6990",43.940022,-75.821982,"New York",27411,2014-06-04,4,6,2014,1,4,1,"4_1","PO","EBIS","NR",NA,NA,1
"iNat5681",42.522848,-76.430097,"New York",27630,2014-05-29,29,5,2014,1,5,1,"5_1","PO","EBIS","NR",NA,NA,1
"iNat1811",39.862687,-76.378466,"Pennsylvania",NA,2012-08-22,22,8,2012,1,6,1,"6_1","PO","EBIS","NR",NA,NA,1
"iNat4428",41.562659,-81.315799,"Ohio",27785,2014-04-24,24,4,2014,1,7,1,"7_1","PO","EBIS","NR",NA,NA,1
"iNat4515",41.600258,-81.222978,"Ohio",NA,2014-04-23,23,4,2014,1,8,1,"8_1","PO","EBIS","NR",NA,NA,1
"iNat4514",41.600155,-81.22287,"Ohio",NA,2014-04-23,23,4,2014,1,9,1,"9_1","PO","EBIS","NR",NA,NA,1
"iNat3891",41.241167,-81.552618,"Ohio",3621,2013-10-06,6,10,2013,1,10,1,"10_1","PO","EBIS","NR",NA,NA,1
"iNat7251",44.313667,-72.904167,"Vermont",NA,2013-09-14,14,9,2013,1,11,1,"11_1","PO","EBIS","NR",NA,NA,1
"iNat6960",43.860333,-72.590833,"Vermont",NA,2013-09-08,8,9,2013,1,12,1,"12_1","PO","EBIS","NR",NA,NA,1
"iNat7265",44.334401,-72.387564,"Vermont",11,2013-08-31,31,8,2013,1,13,1,"13_1","PO","EBIS","NR",NA,NA,1
"iNat3911",41.251419,-81.619792,"Ohio",199,2013-08-23,23,8,2013,1,14,1,"14_1","PO","EBIS","NR",NA,NA,1
"iNat3050",40.590224,-79.504157,"Pennsylvania",30,2013-07-04,4,7,2013,1,15,1,"15_1","PO","EBIS","NR",NA,NA,1
"iNat622",38.896785,-78.140087,"Virginia",103,2013-05-05,5,5,2013,1,16,1,"16_1","PO","EBIS","NR",NA,NA,1
"iNat5470",42.423398,-78.157232,"New York",3335,2012-10-21,21,10,2012,1,17,1,"17_1","PO","EBIS","NR",NA,NA,1
"iNat3698",41.130585,-81.544052,"Ohio",400,2012-03-19,19,3,2012,1,18,1,"18_1","PO","EBIS","NR",NA,NA,1
"iNat4637",41.709904,-81.021673,"Ohio",NA,2012-10-09,9,10,2012,1,19,1,"19_1","PO","EBIS","NR",NA,NA,1
"iNat3593",41.049664,-81.800652,"Ohio",NA,2012-10-31,31,10,2012,1,20,1,"20_1","PO","EBIS","NR",NA,NA,1
"iNat1794",39.839523,-76.343399,"Pennsylvania",242,2012-07-29,29,7,2012,1,21,1,"21_1","PO","EBIS","NR",NA,NA,1
"iNat3868",41.229167,-81.508167,"Ohio",NA,2012-07-23,23,7,2012,1,22,1,"22_1","PO","EBIS","NR",NA,NA,1
"iNat3918",41.25804,-81.574107,"Ohio",NA,2012-07-16,16,7,2012,1,23,1,"23_1","PO","EBIS","NR",NA,NA,1
"iNat3894",41.242998,-81.510572,"Ohio",NA,2012-05-09,9,5,2012,1,24,1,"24_1","PO","EBIS","NR",NA,NA,1
"iNat4627",41.698888,-81.126051,"Ohio",1100,2012-03-11,11,3,2012,1,25,1,"25_1","PO","EBIS","NR",NA,NA,1
"iNat2825",40.463134,-81.868554,"Ohio",NA,2011-03-24,24,3,2011,1,26,1,"26_1","PO","EBIS","NR",NA,NA,1
"iNat7023",43.97543,-73.073364,"Vermont",5,2011-09-21,21,9,2011,1,27,1,"27_1","PO","EBIS","NR",NA,NA,1
"iNat5833",42.648972,-73.18177,"Massachusetts",NA,2008-07-13,13,7,2008,1,28,1,"28_1","PO","EBIS","NR",NA,NA,1
"iNat4115",41.356664,-76.663182,"Pennsylvania",27816,2025-06-04,4,6,2025,1,29,1,"29_1","PO","EBIS","NR",NA,NA,1
"iNat7219",44.278213,-69.796596,"Maine",185,2025-06-15,15,6,2025,1,30,1,"30_1","PO","EBIS","NR",NA,NA,1
"iNat484",38.843855,-77.236197,"Virginia",15,2025-06-17,17,6,2025,1,31,1,"31_1","PO","EBIS","NR",NA,NA,1
"iNat2916",40.503198,-80.424232,"Pennsylvania",NA,2025-06-11,11,6,2025,1,32,1,"32_1","PO","EBIS","NR",NA,NA,1
"iNat3719",41.145589,-74.296871,"New Jersey",4,2025-06-17,17,6,2025,1,33,1,"33_1","PO","EBIS","NR",NA,NA,1
"iNat4156",41.386008,-73.93158,"New York",4,2025-06-11,11,6,2025,1,34,1,"34_1","PO","EBIS","NR",NA,NA,1
"iNat7805",45.27322,-76.317531,"Ontario",468,2025-06-17,17,6,2025,1,35,1,"35_1","PO","EBIS","NR",NA,NA,1
"iNat8054",45.589055,-70.929482,"Québec",6,2025-06-14,14,6,2025,1,36,1,"36_1","PO","EBIS","NR",NA,NA,1
"iNat4651",41.730382,-80.146662,"Pennsylvania",3,2025-06-12,12,6,2025,1,37,1,"37_1","PO","EBIS","NR",NA,NA,1
"iNat1539",39.624306,-79.925163,"West Virginia",62,2025-06-17,17,6,2025,1,38,1,"38_1","PO","EBIS","NR",NA,NA,1
"iNat5390",42.368182,-75.580163,"New York",4,2025-06-09,9,6,2025,1,39,1,"39_1","PO","EBIS","NR",NA,NA,1
"iNat7082",44.074144,-71.167614,"New Hampshire",122,2025-06-13,13,6,2025,1,40,1,"40_1","PO","EBIS","NR",NA,NA,1
"iNat2918",40.503314,-80.424665,"Pennsylvania",NA,2025-06-11,11,6,2025,1,41,1,"41_1","PO","EBIS","NR",NA,NA,1
"iNat5122",42.181913,-79.976625,"Pennsylvania",NA,2025-06-17,17,6,2025,1,42,1,"42_1","PO","EBIS","NR",NA,NA,1
"iNat8095",45.664726,-79.23396,"Ontario",214,2025-06-15,15,6,2025,1,43,1,"43_1","PO","EBIS","NR",NA,NA,1
"iNat3477",40.900535,-74.182389,"New Jersey",692,2025-06-15,15,6,2025,1,44,1,"44_1","PO","EBIS","NR",NA,NA,1
"iNat3382",40.80215,-74.620422,"New Jersey",4,2025-06-15,15,6,2025,1,45,1,"45_1","PO","EBIS","NR",NA,NA,1
"iNat8046",45.582247,-78.402966,"Ontario",86,2025-06-14,14,6,2025,1,46,1,"46_1","PO","EBIS","NR",NA,NA,1
"iNat7815",45.282517,-72.457794,"Québec",NA,2025-06-12,12,6,2025,1,47,1,"47_1","PO","EBIS","NR",NA,NA,1
"iNat1327",39.402058,-80.170485,"West Virginia",6,2025-06-16,16,6,2025,1,48,1,"48_1","PO","EBIS","NR",NA,NA,1
"iNat3034",40.576092,-79.030607,"Pennsylvania",NA,2025-06-14,14,6,2025,1,49,1,"49_1","PO","EBIS","NR",NA,NA,1
"iNat3381",40.801453,-74.620912,"New Jersey",4,2025-06-15,15,6,2025,1,50,1,"50_1","PO","EBIS","NR",NA,NA,1
"iNat481",38.840307,-77.710461,"Virginia",NA,2025-06-07,7,6,2025,1,51,1,"51_1","PO","EBIS","NR",NA,NA,1
"iNat3944",41.276517,-76.783705,"Pennsylvania",27816,2025-06-04,4,6,2025,1,52,1,"52_1","PO","EBIS","NR",NA,NA,1
"iNat4311",41.497558,-81.420374,"Ohio",7,2025-04-26,26,4,2025,1,53,1,"53_1","PO","EBIS","NR",NA,NA,1
"iNat7213",44.268872,-70.859938,"Maine",4,2025-06-01,1,6,2025,1,54,1,"54_1","PO","EBIS","NR",NA,NA,1
"iNat6980",43.915058,-75.652661,"New York",NA,2025-06-07,7,6,2025,1,55,1,"55_1","PO","EBIS","NR",NA,NA,1
"iNat4102",41.34801,-79.22087,"Pennsylvania",8,2025-06-10,10,6,2025,1,56,1,"56_1","PO","EBIS","NR",NA,NA,1
"iNat9",38.211942,-80.283853,"West Virginia",3,2025-06-11,11,6,2025,1,57,1,"57_1","PO","EBIS","NR",NA,NA,1
"iNat8055",45.589895,-70.930672,"Québec",5,2025-06-14,14,6,2025,1,58,1,"58_1","PO","EBIS","NR",NA,NA,1
"iNat911",39.043901,-79.389956,"West Virginia",5,2025-06-14,14,6,2025,1,59,1,"59_1","PO","EBIS","NR",NA,NA,1
"iNat4895",42.02788,-80.038338,"Pennsylvania",140,2025-06-12,12,6,2025,1,60,1,"60_1","PO","EBIS","NR",NA,NA,1
"iNat8094",45.663786,-79.231405,"Ontario",230,2025-06-06,6,6,2025,1,61,1,"61_1","PO","EBIS","NR",NA,NA,1
"iNat6198",42.80823,-76.695183,"New York",13,2025-06-05,5,6,2025,1,62,1,"62_1","PO","EBIS","NR",NA,NA,1
"iNat1291",39.335395,-76.576063,"Maryland",4,2024-10-22,22,10,2024,1,63,1,"63_1","PO","EBIS","NR",NA,NA,1
"iNat3903",41.24747,-73.649312,"New York",NA,2025-06-06,6,6,2025,1,64,1,"64_1","PO","EBIS","NR",NA,NA,1
"iNat4116",41.35711,-81.533997,"Ohio",27816,2025-06-10,10,6,2025,1,65,1,"65_1","PO","EBIS","NR",NA,NA,1
"iNat1322",39.395303,-77.565178,"Maryland",3,2025-05-16,16,5,2025,1,66,1,"66_1","PO","EBIS","NR",NA,NA,1
