"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"Museum1792",40.1707,-74.4149,"New Jersey",NA,2002-05-28,28,5,2002,1,1,1,"1_1","PO","EBIS","NR",NA,NA,1
"Museum422",36.6186,-83.6795,"Kentucky",1609,1977-03-14,14,3,1977,1,2,1,"2_1","PO","EBIS","NR",NA,NA,1
"Museum102",34.6505,-82.714,"South Carolina",805,2003-10-26,26,10,2003,1,3,1,"3_1","PO","EBIS","NR",NA,NA,1
"Museum687",37.6404,-77.5604,"Virginia",NA,1976-10-13,13,10,1976,1,4,1,"4_1","PO","EBIS","NR",NA,NA,1
"Museum588",37.3077,-77.5627,"Virginia",402,1985-04-14,14,4,1985,1,5,1,"5_1","PO","EBIS","NR",NA,NA,1
"Museum580",37.286,-77.5674,"Virginia",201,1985-04-14,14,4,1985,1,6,1,"6_1","PO","EBIS","NR",NA,NA,1
"Museum883",38.4529,-79.6502,"Virginia",402,1985-05-10,10,5,1985,1,7,1,"7_1","PO","EBIS","NR",NA,NA,1
"Museum917",38.5189,-78.4234,"Virginia",NA,1979-04-07,7,4,1979,1,8,1,"8_1","PO","EBIS","NR",NA,NA,1
"Museum755",38.0253,-78.0042,"Virginia",4023,1982-03-12,12,3,1982,1,9,1,"9_1","PO","EBIS","NR",NA,NA,1
"Museum874",38.4373,-79.6824,"Virginia",402,1986-08-05,5,8,1986,1,10,1,"10_1","PO","EBIS","NR",NA,NA,1
"Museum906",38.5055,-79.5862,"Virginia",402,1980-04-25,25,4,1980,1,11,1,"11_1","PO","EBIS","NR",NA,NA,1
"Museum669",37.5716,-77.5769,"Virginia",201,1979-11-07,7,11,1979,1,12,1,"12_1","PO","EBIS","NR",NA,NA,1
"Museum685",37.6348,-77.5395,"Virginia",NA,1979-03-03,3,3,1979,1,13,1,"13_1","PO","EBIS","NR",NA,NA,1
"Museum1087",38.8289,-77.8162,"Virginia",4023,1978-09-09,9,9,1978,1,14,1,"14_1","PO","EBIS","NR",NA,NA,1
"Museum980",38.636,-78.3188,"Virginia",402,1979-04-07,7,4,1979,1,15,1,"15_1","PO","EBIS","NR",NA,NA,1
"Museum672",37.5997,-77.1011,"Virginia",402,1975-02-23,23,2,1975,1,16,1,"16_1","PO","EBIS","NR",NA,NA,1
"Museum543",37.2497,-80.5513,"Virginia",1609,1978-10-06,6,10,1978,1,17,1,"17_1","PO","EBIS","NR",NA,NA,1
"Museum662",37.5431,-77.4776,"Virginia",805,1973-10-16,16,10,1973,1,18,1,"18_1","PO","EBIS","NR",NA,NA,1
"Museum1091",38.8316,-78.3465,"Virginia",1609,1978-07-19,19,7,1978,1,19,1,"19_1","PO","EBIS","NR",NA,NA,1
"Museum1029",38.7318,-77.4036,"Virginia",201,1974-02-23,23,2,1974,1,20,1,"20_1","PO","EBIS","NR",NA,NA,1
"Museum678",37.6117,-77.3393,"Virginia",402,1974-02-07,7,2,1974,1,21,1,"21_1","PO","EBIS","NR",NA,NA,1
"Museum622",37.3859,-77.5867,"Virginia",402,1975-02-15,15,2,1975,1,22,1,"22_1","PO","EBIS","NR",NA,NA,1
"Museum661",37.5421,-77.4776,"Virginia",805,1973-10-16,16,10,1973,1,23,1,"23_1","PO","EBIS","NR",NA,NA,1
"Museum614",37.371,-77.578,"Virginia",4023,1974-04-06,6,4,1974,1,24,1,"24_1","PO","EBIS","NR",NA,NA,1
"Museum763",38.0678,-79.8957,"Virginia",402,1973-08-03,3,8,1973,1,25,1,"25_1","PO","EBIS","NR",NA,NA,1
"Museum743",37.9233,-79.0038,"Virginia",201,1978-04-09,9,4,1978,1,26,1,"26_1","PO","EBIS","NR",NA,NA,1
"Museum597",37.3492,-77.4584,"Virginia",NA,1974-01-27,27,1,1974,1,27,1,"27_1","PO","EBIS","NR",NA,NA,1
"Museum671",37.5909,-77.2863,"Virginia",805,1974-01-30,30,1,1974,1,28,1,"28_1","PO","EBIS","NR",NA,NA,1
"Museum676",37.6018,-77.3727,"Virginia",1609,1974-04-23,23,4,1974,1,29,1,"29_1","PO","EBIS","NR",NA,NA,1
"Museum742",37.9202,-79.0076,"Virginia",1609,1977-10-01,1,10,1977,1,30,1,"30_1","PO","EBIS","NR",NA,NA,1
"Museum646",37.4694,-77.6811,"Virginia",NA,1979-01-11,11,1,1979,1,31,1,"31_1","PO","EBIS","NR",NA,NA,1
"Museum933",38.5518,-78.3161,"Virginia",4023,1978-09-16,16,9,1978,1,32,1,"32_1","PO","EBIS","NR",NA,NA,1
"Museum677",37.6063,-77.2076,"Virginia",1609,1974-03-30,30,3,1974,1,33,1,"33_1","PO","EBIS","NR",NA,NA,1
"Museum798",38.253,-79.8039,"Virginia",1609,1973-08-04,4,8,1973,1,34,1,"34_1","PO","EBIS","NR",NA,NA,1
"Museum639",37.4423,-77.4727,"Virginia",1609,1974-02-22,22,2,1974,1,35,1,"35_1","PO","EBIS","NR",NA,NA,1
"Museum675",37.6016,-77.1039,"Virginia",201,1975-02-23,23,2,1975,1,36,1,"36_1","PO","EBIS","NR",NA,NA,1
"Museum587",37.3039,-77.6875,"Virginia",1609,1975-02-22,22,2,1975,1,37,1,"37_1","PO","EBIS","NR",NA,NA,1
"Museum535",37.2384,-77.0494,"Virginia",1609,1985-04-06,6,4,1985,1,38,1,"38_1","PO","EBIS","NR",NA,NA,1
"Museum923",38.521,-79.6439,"Virginia",402,1985-05-10,10,5,1985,1,39,1,"39_1","PO","EBIS","NR",NA,NA,1
"Museum761",38.0594,-79.9219,"Virginia",NA,1984-04-17,17,4,1984,1,40,1,"40_1","PO","EBIS","NR",NA,NA,1
"Museum780",38.1605,-76.8689,"Virginia",1609,1979-10-28,28,10,1979,1,41,1,"41_1","PO","EBIS","NR",NA,NA,1
"Museum740",37.9184,-78.6076,"Virginia",805,1979-11-11,11,11,1979,1,42,1,"42_1","PO","EBIS","NR",NA,NA,1
"Museum1156",38.9477,-78.0181,"Virginia",4023,1979-04-21,21,4,1979,1,43,1,"43_1","PO","EBIS","NR",NA,NA,1
"Museum694",37.7039,-77.7853,"Virginia",4828,1987-03-15,15,3,1987,1,44,1,"44_1","PO","EBIS","NR",NA,NA,1
"Museum575",37.2738,-77.2892,"Virginia",4828,1981-01-03,3,1,1981,1,45,1,"45_1","PO","EBIS","NR",NA,NA,1
"Museum1109",38.8614,-77.1185,"Virginia",402,1979-08-13,13,8,1979,1,46,1,"46_1","PO","EBIS","NR",NA,NA,1
"Museum1587",39.7253,-75.1009,"New Jersey",NA,2000-05-03,3,5,2000,1,47,1,"47_1","PO","EBIS","NR",NA,NA,1
"Museum1760",40.1013,-74.6152,"New Jersey",1609,2000-04-13,13,4,2000,1,48,1,"48_1","PO","EBIS","NR",NA,NA,1
"Museum711",37.7794,-77.503,"Virginia",4828,1985-03-19,19,3,1985,1,49,1,"49_1","PO","EBIS","NR",NA,NA,1
"Museum896",38.4813,-77.9426,"Virginia",1609,1979-04-22,22,4,1979,1,50,1,"50_1","PO","EBIS","NR",NA,NA,1
"Museum803",38.2655,-79.7962,"Virginia",NA,1973-09-29,29,9,1973,1,51,1,"51_1","PO","EBIS","NR",NA,NA,1
"Museum645",37.4645,-77.5384,"Virginia",NA,1978-05-01,1,5,1978,1,52,1,"52_1","PO","EBIS","NR",NA,NA,1
"Museum1723",40.0036,-74.8997,"New Jersey",NA,2002-06-03,3,6,2002,1,53,1,"53_1","PO","EBIS","NR",NA,NA,1
"Museum1802",40.1903,-74.4014,"New Jersey",NA,2002-05-29,29,5,2002,1,54,1,"54_1","PO","EBIS","NR",NA,NA,1
"Museum1407",39.4324,-75.3355,"New Jersey",NA,2000-04-29,29,4,2000,1,55,1,"55_1","PO","EBIS","NR",NA,NA,1
"Museum2118",41.1071,-74.6871,"New Jersey",201,2001-07-13,13,7,2001,1,56,1,"56_1","PO","EBIS","NR",NA,NA,1
"Museum1432",39.4731,-75.2734,"New Jersey",NA,2002-05-21,21,5,2002,1,57,1,"57_1","PO","EBIS","NR",NA,NA,1
"Museum1501",39.5952,-75.1699,"New Jersey",1609,2002-05-21,21,5,2002,1,58,1,"58_1","PO","EBIS","NR",NA,NA,1
"Museum325",35.6778,-81.2332,"North Carolina",402,1979-03-31,31,3,1979,1,59,1,"59_1","PO","EBIS","NR",NA,NA,1
"Museum103",34.6525,-82.7167,"South Carolina",NA,2001-09-19,19,9,2001,1,60,1,"60_1","PO","EBIS","NR",NA,NA,1
"Museum2447",42.0306,-75.798,"New York",1609,1967-09-25,25,9,1967,1,61,1,"61_1","PO","EBIS","NR",NA,NA,1
"Museum2460",42.046,-76.0278,"New York",805,1967-04-02,2,4,1967,1,62,1,"62_1","PO","EBIS","NR",NA,NA,1
"Museum2441",42.0161,-76.0666,"New York",1609,1968-04-20,20,4,1968,1,63,1,"63_1","PO","EBIS","NR",NA,NA,1
"Museum2430",41.9775,-75.9195,"Pennsylvania",805,1966-08-20,20,8,1966,1,64,1,"64_1","PO","EBIS","NR",NA,NA,1
"Museum2452",42.0378,-75.8026,"New York",1609,1966-07-29,29,7,1966,1,65,1,"65_1","PO","EBIS","NR",NA,NA,1
"Museum2442",42.0287,-75.7974,"New York",1609,1965-08-16,16,8,1965,1,66,1,"66_1","PO","EBIS","NR",NA,NA,1
"Museum2486",42.1254,-75.9758,"New York",805,1964-05-12,12,5,1964,1,67,1,"67_1","PO","EBIS","NR",NA,NA,1
"Museum2443",42.0291,-75.7978,"New York",1609,1964-05-11,11,5,1964,1,68,1,"68_1","PO","EBIS","NR",NA,NA,1
"Museum2492",42.1564,-76.1137,"New York",201,1968-08-13,13,8,1968,1,69,1,"69_1","PO","EBIS","NR",NA,NA,1
"Museum409",36.5297,-83.2172,"Tennessee",1609,1969-04-03,3,4,1969,1,70,1,"70_1","PO","EBIS","NR",NA,NA,1
"Museum2495",42.1716,-76.4265,"New York",402,1969-05-10,10,5,1969,1,71,1,"71_1","PO","EBIS","NR",NA,NA,1
"Museum2444",42.0297,-75.7978,"New York",805,1965-05-10,10,5,1965,1,72,1,"72_1","PO","EBIS","NR",NA,NA,1
"Museum2470",42.0753,-75.9926,"New York",805,1969-05-01,1,5,1969,1,73,1,"73_1","PO","EBIS","NR",NA,NA,1
"Museum2459",42.0456,-76.0275,"New York",805,NA,NA,4,NA,1,74,1,"74_1","PO","EBIS","NR",NA,NA,1
"Museum2493",42.1592,-76.0965,"New York",805,1968-08-13,13,8,1968,1,75,1,"75_1","PO","EBIS","NR",NA,NA,1
"Museum1611",39.7894,-75.0016,"New Jersey",201,2000-07-21,21,7,2000,1,76,1,"76_1","PO","EBIS","NR",NA,NA,1
"Museum652",37.4921,-80.844,"West Virginia",1609,NA,NA,NA,NA,1,77,1,"77_1","PO","EBIS","NR",NA,NA,1
"Museum1416",39.4445,-75.2735,"New Jersey",402,2000-03-30,30,3,2000,1,78,1,"78_1","PO","EBIS","NR",NA,NA,1
"Museum1788",40.1614,-74.1547,"New Jersey",201,1999-05-12,12,5,1999,1,79,1,"79_1","PO","EBIS","NR",NA,NA,1
"Museum1778",40.1473,-74.696,"New Jersey",402,2000-04-13,13,4,2000,1,80,1,"80_1","PO","EBIS","NR",NA,NA,1
"Museum2002",40.7186,-74.6648,"New Jersey",1609,1999-05-12,12,5,1999,1,81,1,"81_1","PO","EBIS","NR",NA,NA,1
"Museum1450",39.5006,-75.2476,"New Jersey",402,2000-03-30,30,3,2000,1,82,1,"82_1","PO","EBIS","NR",NA,NA,1
"Museum1417",39.4493,-75.2604,"New Jersey",201,2000-03-30,30,3,2000,1,83,1,"83_1","PO","EBIS","NR",NA,NA,1
"Museum1610",39.7855,-75.1622,"New Jersey",201,2000-05-03,3,5,2000,1,84,1,"84_1","PO","EBIS","NR",NA,NA,1
"Museum1495",39.5896,-75.3136,"New Jersey",201,2000-04-27,27,4,2000,1,85,1,"85_1","PO","EBIS","NR",NA,NA,1
"Museum2044",40.8642,-74.2856,"New Jersey",805,2000-10-14,14,10,2000,1,86,1,"86_1","PO","EBIS","NR",NA,NA,1
"Museum1502",39.5991,-75.2605,"New Jersey",201,2000-04-27,27,4,2000,1,87,1,"87_1","PO","EBIS","NR",NA,NA,1
"Museum1856",40.3187,-74.8376,"New Jersey",201,2001-02-09,9,2,2001,1,88,1,"88_1","PO","EBIS","NR",NA,NA,1
