"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"iNat46",35.611931,-83.549657,"Tennessee",52466,"2007-03-24",24,3,2007,1,1,1,"1_1","PO","GPORDA","NR",NA,NA,1
"iNat22",35.533088,-83.561782,"Tennessee",28677,"2025-05-15T01:59:14",15,5,2025,1,2,1,"2_1","PO","GPORDA","NR",NA,NA,1
"iNat130",36.551007,-82.121023,"Tennessee",39,"2025-06-11T14:15:21",11,6,2025,1,3,1,"3_1","PO","GPORDA","NR",NA,NA,1
"iNat12",35.458355,-83.598611,"Tennessee",28677,"2025-05-14T23:14:40",14,5,2025,1,4,1,"4_1","PO","GPORDA","NR",NA,NA,1
"iNat59",35.63896,-83.688723,"Tennessee",NA,"2025-05-31T07:53:59",31,5,2025,1,5,1,"5_1","PO","GPORDA","NR",NA,NA,1
"iNat13",35.481197,-83.44144,"North Carolina",28677,"2025-05-30T13:15",30,5,2025,1,6,1,"6_1","PO","GPORDA","NR",NA,NA,1
"iNat23",35.539894,-83.31913,"North Carolina",28677,"2025-05-30T11:12",30,5,2025,1,7,1,"7_1","PO","GPORDA","NR",NA,NA,1
"iNat108",36.158078,-81.7352,"North Carolina",4,"2025-06-05T22:21:42",5,6,2025,1,8,1,"8_1","PO","GPORDA","NR",NA,NA,1
"iNat25",35.545184,-83.364621,"North Carolina",28677,"2025-04-18T22:22",18,4,2025,1,9,1,"9_1","PO","GPORDA","NR",NA,NA,1
"iNat21",35.532757,-83.117426,"North Carolina",28677,"2024-05-03T19:12:11",3,5,2024,1,10,1,"10_1","PO","GPORDA","NR",NA,NA,1
"iNat87",36.021498,-82.492047,"Tennessee",28592,"2025-02-06T23:17:08",6,2,2025,1,11,1,"11_1","PO","GPORDA","NR",NA,NA,1
"iNat89",36.03155,-82.403154,"Tennessee",28592,"2025-02-06T23:04:18",6,2,2025,1,12,1,"12_1","PO","GPORDA","NR",NA,NA,1
"iNat50",35.620198,-83.417843,"Tennessee",15,"2015-05-05T15:05",5,5,2015,1,13,1,"13_1","PO","GPORDA","NR",NA,NA,1
"iNat66",35.672175,-83.743879,"Tennessee",28649,"2024-10-16T10:51:34",16,10,2024,1,14,1,"14_1","PO","GPORDA","NR",NA,NA,1
"iNat69",35.707063,-83.122196,"Tennessee",28649,"2024-10-17T10:12:10",17,10,2024,1,15,1,"15_1","PO","GPORDA","NR",NA,NA,1
"iNat11",35.3743,-82.923641,"North Carolina",28706,"2024-09-20T15:26:38",20,9,2024,1,16,1,"16_1","PO","GPORDA","NR",NA,NA,1
"iNat115",36.176468,-82.260019,"North Carolina",28592,"2024-09-17T00:46:17",17,9,2024,1,17,1,"17_1","PO","GPORDA","NR",NA,NA,1
"iNat32",35.563253,-83.161625,"North Carolina",195,"2024-09-02T14:43",2,9,2024,1,18,1,"18_1","PO","GPORDA","NR",NA,NA,1
"iNat20",35.513108,-83.306233,"North Carolina",NA,"2024-05-04T15:15:23",4,5,2024,1,19,1,"19_1","PO","GPORDA","NR",NA,NA,1
"iNat98",36.097053,-81.807555,"North Carolina",34,"2024-06-22T21:55:10",22,6,2024,1,20,1,"20_1","PO","GPORDA","NR",NA,NA,1
"iNat1",35.041058,-83.16205,"North Carolina",NA,"2024-05-28T15:25:02",28,5,2024,1,21,1,"21_1","PO","GPORDA","NR",NA,NA,1
"iNat2",35.072258,-83.228636,"North Carolina",NA,"2024-05-23T22:48:07",23,5,2024,1,22,1,"22_1","PO","GPORDA","NR",NA,NA,1
"iNat97",36.088558,-81.822785,"North Carolina",28592,"2007-04-26T18:36",26,4,2007,1,23,1,"23_1","PO","GPORDA","NR",NA,NA,1
"iNat91",36.04572,-81.8935,"North Carolina",360,"2024-03-17T15:44:29",17,3,2024,1,24,1,"24_1","PO","GPORDA","NR",NA,NA,1
"iNat114",36.175009,-81.621129,"North Carolina",28592,"2024-03-16T00:13:02",16,3,2024,1,25,1,"25_1","PO","GPORDA","NR",NA,NA,1
"iNat132",36.733258,-81.439421,"Virginia",28505,"2022-08-13T12:10:50",13,8,2022,1,26,1,"26_1","PO","GPORDA","NR",NA,NA,1
"iNat105",36.131384,-82.394932,"Tennessee",23,"2024-02-18T19:52:50",18,2,2024,1,27,1,"27_1","PO","GPORDA","NR",NA,NA,1
"iNat55",35.632767,-83.574087,"Tennessee",28649,"2023-05-27T05:07",27,5,2023,1,28,1,"28_1","PO","GPORDA","NR",NA,NA,1
"iNat6",35.290583,-83.623491,"North Carolina",28706,"2023-12-10T00:38:24",10,12,2023,1,29,1,"29_1","PO","GPORDA","NR",NA,NA,1
"iNat76",35.751268,-83.340629,"North Carolina",28649,"2023-06-18T13:10:40",18,6,2023,1,30,1,"30_1","PO","GPORDA","NR",NA,NA,1
"iNat36",35.584568,-83.366574,"North Carolina",NA,"2023-04-26T11:00",26,4,2023,1,31,1,"31_1","PO","GPORDA","NR",NA,NA,1
"iNat133",36.750447,-81.613092,"Virginia",28505,"2023-08-14T22:27:45",14,8,2023,1,32,1,"32_1","PO","GPORDA","NR",NA,NA,1
"iNat103",36.118915,-81.781998,"North Carolina",47,"2023-06-17T09:37",17,6,2023,1,33,1,"33_1","PO","GPORDA","NR",NA,NA,1
"iNat9",35.330719,-83.637154,"North Carolina",28706,"2023-05-22T21:32:40",22,5,2023,1,34,1,"34_1","PO","GPORDA","NR",NA,NA,1
"iNat35",35.566283,-83.540747,"North Carolina",28677,"2023-07-06T09:16",6,7,2023,1,35,1,"35_1","PO","GPORDA","NR",NA,NA,1
"iNat80",35.782819,-81.793234,"North Carolina",28649,"2019-05-12T11:36",12,5,2019,1,36,1,"36_1","PO","GPORDA","NR",NA,NA,1
"iNat93",36.058105,-82.025141,"Tennessee",28592,"2023-06-24T16:04:41",24,6,2023,1,37,1,"37_1","PO","GPORDA","NR",NA,NA,1
"iNat41",35.595662,-83.459258,"North Carolina",5,"2023-05-13T15:21:16",13,5,2023,1,38,1,"38_1","PO","GPORDA","NR",NA,NA,1
"iNat40",35.595612,-83.459267,"North Carolina",4,"2023-05-13T15:20:49",13,5,2023,1,39,1,"39_1","PO","GPORDA","NR",NA,NA,1
"iNat123",36.223035,-81.77509,"North Carolina",96,"2023-04-27T21:25",27,4,2023,1,40,1,"40_1","PO","GPORDA","NR",NA,NA,1
"iNat18",35.504355,-83.393975,"North Carolina",10344,"2023-02-11T14:43",11,2,2023,1,41,1,"41_1","PO","GPORDA","NR",NA,NA,1
"iNat96",36.083436,-81.609862,"North Carolina",28592,"2023-04-14T21:35",14,4,2023,1,42,1,"42_1","PO","GPORDA","NR",NA,NA,1
"iNat53",35.632112,-83.442422,"Tennessee",11,"2022-03-09T17:20:46",9,3,2022,1,43,1,"43_1","PO","GPORDA","NR",NA,NA,1
"iNat10",35.35545,-83.933572,"North Carolina",7,"2023-03-25T12:07:28",25,3,2023,1,44,1,"44_1","PO","GPORDA","NR",NA,NA,1
"iNat110",36.159292,-81.877303,"North Carolina",4,"2023-03-22T21:13:32",22,3,2023,1,45,1,"45_1","PO","GPORDA","NR",NA,NA,1
"iNat42",35.596328,-82.924088,"North Carolina",8,"2021-12-30T09:48:33",30,12,2021,1,46,1,"46_1","PO","GPORDA","NR",NA,NA,1
"iNat113",36.170617,-81.912138,"North Carolina",4,"2023-02-27T21:27:22",27,2,2023,1,47,1,"47_1","PO","GPORDA","NR",NA,NA,1
"iNat61",35.653194,-83.50702,"Tennessee",44181,"2004-05-08T10:07",8,5,2004,1,48,1,"48_1","PO","GPORDA","NR",NA,NA,1
"iNat37",35.589255,-82.339767,"North Carolina",4,"2023-02-25T19:47:37",25,2,2023,1,49,1,"49_1","PO","GPORDA","NR",NA,NA,1
"iNat4",35.120803,-83.547553,"North Carolina",10,"2023-02-10T14:26",10,2,2023,1,50,1,"50_1","PO","GPORDA","NR",NA,NA,1
