"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"Museum75",35.8185,-82.8254,"",NA,"1930-08-31",31,8,1930,1,1,1,"1_1","PO","GPORDA","NR",NA,NA,1
"Museum85",36.1113,-81.8097,"North Carolina",NA,"1933-09-06",6,9,1933,1,2,1,"2_1","PO","GPORDA","NR",NA,NA,1
"Museum37",35.57,-81.6269,"North Carolina",NA,"1962-04-02",2,4,1962,1,3,1,"3_1","PO","GPORDA","NR",NA,NA,1
"Museum73",35.7281,-82.0948,"North Carolina",NA,"1962-03-16",16,3,1962,1,4,1,"4_1","PO","GPORDA","NR",NA,NA,1
"Museum58",35.6537,-83.5804,"Tennessee",NA,"1964-04-30",30,4,1964,1,5,1,"5_1","PO","GPORDA","NR",NA,NA,1
"Museum62",35.6751,-83.4533,"Tennessee",NA,"1963-05-04",4,5,1963,1,6,1,"6_1","PO","GPORDA","NR",NA,NA,1
"Museum76",35.8419,-82.9312,"Tennessee",NA,"1930-06-26",26,6,1930,1,7,1,"7_1","PO","GPORDA","NR",NA,NA,1
"Museum55",35.6425,-83.45,"Tennessee",NA,"1930-06-24",24,6,1930,1,8,1,"8_1","PO","GPORDA","NR",NA,NA,1
"Museum70",35.7143,-83.5102,"Tennessee",NA,"1930-04-02/1930-04-04",NA,4,1930,1,9,1,"9_1","PO","GPORDA","NR",NA,NA,1
"Museum12",35.15,-83.63,"North Carolina",269,"1982-10-23",23,10,1982,1,10,1,"10_1","PO","GPORDA","NR",NA,NA,1
"Museum14",35.18,-83.57,"North Carolina",1426,"1982-03-18",18,3,1982,1,11,1,"11_1","PO","GPORDA","NR",NA,NA,1
"Museum25",35.4,-83.76,"North Carolina",16,"1982-03-17",17,3,1982,1,12,1,"12_1","PO","GPORDA","NR",NA,NA,1
"Museum16",35.26,-83.66,"North Carolina",2375,"1979-03-23",23,3,1979,1,13,1,"13_1","PO","GPORDA","NR",NA,NA,1
"Museum10",35.08,-83.52,"North Carolina",267,"1973-08-09",9,8,1973,1,14,1,"14_1","PO","GPORDA","NR",NA,NA,1
"Museum11",35.11,-83.21,"North Carolina",1717,"1973-08-04",4,8,1973,1,15,1,"15_1","PO","GPORDA","NR",NA,NA,1
"Museum19",35.32,-82.96,"North Carolina",573,"1973-07-24",24,7,1973,1,16,1,"16_1","PO","GPORDA","NR",NA,NA,1
"Museum79",36.08,-81.81,"North Carolina",2037,"1938-06-04",4,6,1938,1,17,1,"17_1","PO","GPORDA","NR",NA,NA,1
"Museum83",36.1,-81.81,"North Carolina",1184,"1931-08-26",26,8,1931,1,18,1,"18_1","PO","GPORDA","NR",NA,NA,1
"Museum80",36.09,-81.8,"North Carolina",106,"1931-08-25",25,8,1931,1,19,1,"19_1","PO","GPORDA","NR",NA,NA,1
"Museum87",36.12,-81.73,"North Carolina",1265,"1931-08-23",23,8,1931,1,20,1,"20_1","PO","GPORDA","NR",NA,NA,1
"Museum77",36.06,-81.87,"North Carolina",1233,"1931-08-23",23,8,1931,1,21,1,"21_1","PO","GPORDA","NR",NA,NA,1
"Museum89",36.16019,-81.64591,"North Carolina",3180.07,"1941-03-30",30,3,1941,1,22,1,"22_1","PO","GPORDA","NR",NA,NA,1
"Museum28",35.4926,-83.1693,"North Carolina",107.83,"1939-04",NA,4,NA,1,23,1,"23_1","PO","GPORDA","NR",NA,NA,1
"Museum74",35.7648,-82.2651,"North Carolina",16537.65,"1923-10",NA,10,NA,1,24,1,"24_1","PO","GPORDA","NR",NA,NA,1
"Museum78",36.0665,-81.8704,"North Carolina",1232.76,"1919-07",NA,7,NA,1,25,1,"25_1","PO","GPORDA","NR",NA,NA,1
"Museum1",34.78509,-83.933243,"Georgia",1779,"1966-05-15",15,5,1966,1,26,1,"26_1","PO","GPORDA","NR",NA,NA,1
"Museum6",35.060263,-83.430734,"North Carolina",413,"1983-06-15",15,6,1983,1,27,1,"27_1","PO","GPORDA","NR",NA,NA,1
"Museum24",35.378701,-84.213142,"Tennessee",27910,"1977-05-24",24,5,1977,1,28,1,"28_1","PO","GPORDA","NR",NA,NA,1
"Museum91",36.585,-82.151389,"Tennessee",1396,"1971-04-01/1971-04-30",NA,4,1971,1,29,1,"29_1","PO","GPORDA","NR",NA,NA,1
"Museum81",36.0966,-81.7732,"North Carolina",1609,"2002-04-13",13,4,2002,1,30,1,"30_1","PO","GPORDA","NR",NA,NA,1
"Museum88",36.1387,-81.731,"North Carolina",402,"2002-04-11",11,4,2002,1,31,1,"31_1","PO","GPORDA","NR",NA,NA,1
"Museum84",36.1072,-81.7822,"North Carolina",201,"2002-09-28",28,9,2002,1,32,1,"32_1","PO","GPORDA","NR",NA,NA,1
"Museum17",35.2749,-82.9172,"North Carolina",805,"2003-04-17",17,4,2003,1,33,1,"33_1","PO","GPORDA","NR",NA,NA,1
"Museum15",35.2581,-82.9193,"North Carolina",805,"2003-04-17",17,4,2003,1,34,1,"34_1","PO","GPORDA","NR",NA,NA,1
"Museum82",36.0989,-81.7713,"North Carolina",402,"2002-04-13",13,4,2002,1,35,1,"35_1","PO","GPORDA","NR",NA,NA,1
"Museum52",35.6368,-83.49401,"Tennessee",NA,"1952-04-25",25,4,1952,1,36,1,"36_1","PO","GPORDA","NR",NA,NA,1
"Museum54",35.63858,-83.49987,"Tennessee",NA,"1952-04-25",25,4,1952,1,37,1,"37_1","PO","GPORDA","NR",NA,NA,1
"Museum90",36.2511,-81.6898,"North Carolina",402,"1978-05-07",7,5,1978,1,38,1,"38_1","PO","GPORDA","NR",NA,NA,1
"Museum64",35.6806,-83.1414,"North Carolina",NA,"1967-07-28",28,7,1967,1,39,1,"39_1","PO","GPORDA","NR",NA,NA,1
"Museum9",35.0737,-82.9753,"North Carolina",2467.12,"1962-07-04",4,7,1962,1,40,1,"40_1","PO","GPORDA","NR",NA,NA,1
"Museum45",35.6111,-83.3667,"North Carolina",NA,"1965-07-01",1,7,1965,1,41,1,"41_1","PO","GPORDA","NR",NA,NA,1
"Museum35",35.5656,-83.5222,"North Carolina - Tennessee",NA,"1962-08-05",5,8,1962,1,42,1,"42_1","PO","GPORDA","NR",NA,NA,1
"Museum4",35.053,-82.9595,"North Carolina",626.04,"1962-07-05",5,7,1962,1,43,1,"43_1","PO","GPORDA","NR",NA,NA,1
