"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"iNat49",38.780736,-83.415357,"Ohio",413,"2025-04-28T12:11:47",28,4,2025,1,1,1,"1_1","PO","GPORDR","NR",NA,NA,1
"iNat2",36.49097,-82.678878,"Tennessee",4,"2024-03-04T12:58:38",4,3,2024,1,2,1,"2_1","PO","GPORDR","NR",NA,NA,1
"iNat15",36.854095,-84.209897,"Kentucky",28476,"2016-09-18T09:45",18,9,2016,1,3,1,"3_1","PO","GPORDR","NR",NA,NA,1
"iNat1",36.409154,-84.014004,"Tennessee",28534,"2021-03-17T13:33",17,3,2021,1,4,1,"4_1","PO","GPORDR","NR",NA,NA,1
"iNat30",37.792183,-82.386817,"Kentucky",2,"2024-05-17T21:45:31",17,5,2024,1,5,1,"5_1","PO","GPORDR","NR",NA,NA,1
"iNat46",38.629479,-83.41539,"Ohio",28210,"2019-04-06T15:16:31",6,4,2019,1,6,1,"6_1","PO","GPORDR","NR",NA,NA,1
"iNat12",36.773419,-82.967998,"Virginia",28505,"2023-11-14T22:13",14,11,2023,1,7,1,"7_1","PO","GPORDR","NR",NA,NA,1
"iNat32",37.826419,-84.64049,"Kentucky",333,"2024-03-13T14:37:01",13,3,2024,1,8,1,"8_1","PO","GPORDR","NR",NA,NA,1
"iNat21",37.048826,-84.215059,"Kentucky",28447,"2024-02-11T17:53:15",11,2,2024,1,9,1,"9_1","PO","GPORDR","NR",NA,NA,1
"iNat17",36.866716,-84.242717,"Kentucky",28476,"2023-10-21T10:42:31",21,10,2023,1,10,1,"10_1","PO","GPORDR","NR",NA,NA,1
"iNat20",36.98457,-82.745708,"Virginia",28476,"2023-09-02T01:22:42",2,9,2023,1,11,1,"11_1","PO","GPORDR","NR",NA,NA,1
"iNat28",37.678423,-83.948931,"Kentucky",28359,"2023-08-01T11:46:28",1,8,2023,1,12,1,"12_1","PO","GPORDR","NR",NA,NA,1
"iNat8",36.734929,-82.858309,"Virginia",28505,"2022-01-01T23:42",1,1,2022,1,13,1,"13_1","PO","GPORDR","NR",NA,NA,1
"iNat24",37.331218,-82.211744,"Virginia",28417,"2023-04-14T22:51:40",14,4,2023,1,14,1,"14_1","PO","GPORDR","NR",NA,NA,1
"iNat16",36.854826,-82.699922,"Virginia",28476,"2023-03-11T09:53",11,3,2023,1,15,1,"15_1","PO","GPORDR","NR",NA,NA,1
"iNat14",36.818071,-82.66078,"Virginia",28476,"2022-12-10T11:45:21",10,12,2022,1,16,1,"16_1","PO","GPORDR","NR",NA,NA,1
"iNat34",37.82823,-83.575195,"Kentucky",23,"2022-10-13T14:19:20",13,10,2022,1,17,1,"17_1","PO","GPORDR","NR",NA,NA,1
"iNat27",37.586731,-83.707133,"Kentucky",1409,"2021-06-20T13:44:48",20,6,2021,1,18,1,"18_1","PO","GPORDR","NR",NA,NA,1
"iNat13",36.78997,-82.641827,"Virginia",28505,"2022-04-05T21:35:43",5,4,2022,1,19,1,"19_1","PO","GPORDR","NR",NA,NA,1
"iNat10",36.752774,-82.74724,"Virginia",28505,"2022-04-05T21:46:57",5,4,2022,1,20,1,"20_1","PO","GPORDR","NR",NA,NA,1
"iNat7",36.714442,-82.635614,"Virginia",28505,"2022-04-05T21:26:34",5,4,2022,1,21,1,"21_1","PO","GPORDR","NR",NA,NA,1
"iNat35",37.83073,-83.602158,"Kentucky",4,"2022-03-21T16:03:37",21,3,2022,1,22,1,"22_1","PO","GPORDR","NR",NA,NA,1
"iNat43",38.042615,-83.576605,"Kentucky",606,"2022-03-06T21:53Z",6,3,2022,1,23,1,"23_1","PO","GPORDR","NR",NA,NA,1
"iNat26",37.481995,-84.429402,"Kentucky",1402,"2022-03-06T15:36:26",6,3,2022,1,24,1,"24_1","PO","GPORDR","NR",NA,NA,1
"iNat9",36.751687,-82.871987,"Virginia",28505,"2022-01-01T22:41",1,1,2022,1,25,1,"25_1","PO","GPORDR","NR",NA,NA,1
"iNat39",37.943924,-83.764166,"Kentucky",28329,"2021-11-14T14:08:41",14,11,2021,1,26,1,"26_1","PO","GPORDR","NR",NA,NA,1
"iNat40",37.993225,-83.686274,"Kentucky",28329,"2017-12-06T09:34",6,12,2017,1,27,1,"27_1","PO","GPORDR","NR",NA,NA,1
"iNat31",37.821187,-83.783801,"Kentucky",28329,"2017-12-05T12:55",5,12,2017,1,28,1,"28_1","PO","GPORDR","NR",NA,NA,1
"iNat19",36.922707,-82.713394,"Virginia",28476,"2021-04-30T16:00",30,4,2021,1,29,1,"29_1","PO","GPORDR","NR",NA,NA,1
"iNat18",36.900451,-82.648698,"Virginia",28476,"2021-04-30T16:21",30,4,2021,1,30,1,"30_1","PO","GPORDR","NR",NA,NA,1
"iNat11",36.761114,-83.167781,"Kentucky",NA,"2021-03-26T18:48:06Z",26,3,2021,1,31,1,"31_1","PO","GPORDR","NR",NA,NA,1
"iNat22",37.100235,-83.592465,"Kentucky",NA,"2020-11-13T13:11:41Z",13,11,2020,1,32,1,"32_1","PO","GPORDR","NR",NA,NA,1
"iNat23",37.244338,-82.276057,"Virginia",28417,"2020-09-23T10:28:12",23,9,2020,1,33,1,"33_1","PO","GPORDR","NR",NA,NA,1
"iNat44",38.303117,-83.134477,"Kentucky",28270,"2020-06-20T12:19:17",20,6,2020,1,34,1,"34_1","PO","GPORDR","NR",NA,NA,1
"iNat45",38.366301,-83.162968,"Kentucky",28270,"2020-06-20T14:06:05",20,6,2020,1,35,1,"35_1","PO","GPORDR","NR",NA,NA,1
"iNat25",37.456863,-83.960533,"Kentucky",NA,"2020-04-25T21:54:11",25,4,2020,1,36,1,"36_1","PO","GPORDR","NR",NA,NA,1
"iNat3",36.63126,-84.650646,"Kentucky",17,"2020-04-15T17:17:40",15,4,2020,1,37,1,"37_1","PO","GPORDR","NR",NA,NA,1
"iNat37",37.889151,-84.40022,"Kentucky",26,"2019-04-05",5,4,2019,1,38,1,"38_1","PO","GPORDR","NR",NA,NA,1
"iNat38",37.905442,-84.362913,"Kentucky",12,"2018-03-26T14:17:02",26,3,2018,1,39,1,"39_1","PO","GPORDR","NR",NA,NA,1
"iNat4",36.669482,-84.51702,"Kentucky",193,"2018-12-31T21:13:13",31,12,2018,1,40,1,"40_1","PO","GPORDR","NR",NA,NA,1
"iNat5",36.677525,-84.537314,"Kentucky",335,"2018-12-31T21:04:39",31,12,2018,1,41,1,"41_1","PO","GPORDR","NR",NA,NA,1
"iNat42",38.03125,-83.554459,"Kentucky",2775,"2017-11-07T05:31",7,11,2017,1,42,1,"42_1","PO","GPORDR","NR",NA,NA,1
"iNat36",37.83385,-83.621825,"Kentucky",NA,"2017-04-21T21:15:26",21,4,2017,1,43,1,"43_1","PO","GPORDR","NR",NA,NA,1
"iNat33",37.826979,-83.635251,"Kentucky",2752,"2017-04-21T22:16:05",21,4,2017,1,44,1,"44_1","PO","GPORDR","NR",NA,NA,1
"iNat48",38.660402,-83.345287,"Ohio",28210,"2008-05-04",4,5,2008,1,45,1,"45_1","PO","GPORDR","NR",NA,NA,1
"iNat41",38.0131,-83.419297,"Kentucky",31,"2017-01-17T11:18",17,1,2017,1,46,1,"46_1","PO","GPORDR","NR",NA,NA,1
"iNat29",37.77,-83.87,"Kentucky",NA,"2016-04-21T12:08",21,4,2016,1,47,1,"47_1","PO","GPORDR","NR",NA,NA,1
"iNat47",38.645353,-83.514419,"Ohio",28210,"2012-03-30",30,3,2012,1,48,1,"48_1","PO","GPORDR","NR",NA,NA,1
"iNat6",36.691724,-83.756988,"Kentucky",106,"2013-10-06",6,10,2013,1,49,1,"49_1","PO","GPORDR","NR",NA,NA,1
