"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"Museum20",38.7241,-83.1115,"Ohio",NA,"1937-05-12",12,5,1937,1,1,1,"1_1","PO","GPORDR","NR",NA,NA,1
"Museum10",38.3694,-83.1185,"Kentucky",NA,"1932-04-19",19,4,1932,1,2,1,"2_1","PO","GPORDR","NR",NA,NA,1
"Museum33",38.9926,-83.0482,"Ohio",NA,"1931-05-17",17,5,1931,1,3,1,"3_1","PO","GPORDR","NR",NA,NA,1
"Museum18",38.6884,-83.3119,"Ohio",NA,"1981-05-25",25,5,1981,1,4,1,"4_1","PO","GPORDR","NR",NA,NA,1
"Museum29",38.752,-83.2246,"Ohio",NA,"1981-05-27",27,5,1981,1,5,1,"5_1","PO","GPORDR","NR",NA,NA,1
"Museum23",38.7337,-83.2223,"Ohio",NA,"1981-05-25",25,5,1981,1,6,1,"6_1","PO","GPORDR","NR",NA,NA,1
"Museum1",36.6616,-81.6009,"Virginia",NA,"1980-07-12",12,7,1980,1,7,1,"7_1","PO","GPORDR","NR",NA,NA,1
"Museum13",38.3736,-83.1247,"Kentucky",NA,"1973-10-13",13,10,1973,1,8,1,"8_1","PO","GPORDR","NR",NA,NA,1
"Museum35",39.08,-83.07,"Ohio",NA,"1931-04-12",12,4,1931,1,9,1,"9_1","PO","GPORDR","NR",NA,NA,1
"Museum36",39.0876,-83.2994,"Ohio",NA,"1931-02-22",22,2,1931,1,10,1,"10_1","PO","GPORDR","NR",NA,NA,1
"Museum21",38.7247,-83.1813,"Ohio",NA,"1972-09-07",7,9,1972,1,11,1,"11_1","PO","GPORDR","NR",NA,NA,1
"Museum8",38.2004,-84.8776,"Kentucky",NA,"1934-04-14",14,4,1934,1,12,1,"12_1","PO","GPORDR","NR",NA,NA,1
"Museum27",38.739,-83.3596,"Ohio",NA,"1963-06-02",2,6,1963,1,13,1,"13_1","PO","GPORDR","NR",NA,NA,1
"Museum2",37.0902,-82.7972,"Kentucky",NA,"1961-10-14",14,10,1961,1,14,1,"14_1","PO","GPORDR","NR",NA,NA,1
"Museum12",38.3719,-83.1174,"Kentucky",NA,"1961-03-25",25,3,1961,1,15,1,"15_1","PO","GPORDR","NR",NA,NA,1
"Museum28",38.7454,-83.3539,"Ohio",NA,"1963-04-13",13,4,1963,1,16,1,"16_1","PO","GPORDR","NR",NA,NA,1
"Museum31",38.7555,-83.2375,"Ohio",NA,"1963-06-01",1,6,1963,1,17,1,"17_1","PO","GPORDR","NR",NA,NA,1
"Museum30",38.7547,-83.2316,"Ohio",NA,"1963-06-01",1,6,1963,1,18,1,"18_1","PO","GPORDR","NR",NA,NA,1
"Museum32",38.8854,-83.329,"Ohio",NA,"1963-07-06",6,7,1963,1,19,1,"19_1","PO","GPORDR","NR",NA,NA,1
"Museum25",38.7374,-83.2063,"Ohio",NA,"1963-03-24",24,3,1963,1,20,1,"20_1","PO","GPORDR","NR",NA,NA,1
"Museum17",38.6679,-83.3436,"Ohio",NA,"1964-03-27",27,3,1964,1,21,1,"21_1","PO","GPORDR","NR",NA,NA,1
"Museum19",38.7014,-83.3738,"Ohio",NA,"1964-03-27",27,3,1964,1,22,1,"22_1","PO","GPORDR","NR",NA,NA,1
"Museum22",38.7277,-83.1773,"Ohio",NA,"1929-04-02",2,4,1929,1,23,1,"23_1","PO","GPORDR","NR",NA,NA,1
"Museum24",38.7364,-83.4451,"Ohio",NA,"1960-04-03",3,4,1960,1,24,1,"24_1","PO","GPORDR","NR",NA,NA,1
"Museum26",38.7376,-83.3541,"Ohio",NA,"1960-04-03",3,4,1960,1,25,1,"25_1","PO","GPORDR","NR",NA,NA,1
"Museum37",39.1251,-83.3946,"Ohio",NA,"1956-11-16",16,11,1956,1,26,1,"26_1","PO","GPORDR","NR",NA,NA,1
"Museum16",38.4300124,-82.2897261,"West Virginia",2185,"1939-09-30",30,9,1939,1,27,1,"27_1","PO","GPORDR","NR",NA,NA,1
"Museum15",38.3800132,-82.4397302,"West Virginia",895,"1939-05-06",6,5,1939,1,28,1,"28_1","PO","GPORDR","NR",NA,NA,1
"Museum6",38.120018,-82.5897342,"West Virginia",1500,"1939-05-06",6,5,1939,1,29,1,"29_1","PO","GPORDR","NR",NA,NA,1
"Museum11",38.3700134,-82.4497305,"West Virginia",2200,"1938-10-01",1,10,1938,1,30,1,"30_1","PO","GPORDR","NR",NA,NA,1
"Museum7",38.165779,-81.195495,"West Virginia",767.66,"1947-04-11",11,4,1947,1,31,1,"31_1","PO","GPORDR","NR",NA,NA,1
"Museum14",38.374866,-83.129539,"Kentucky",296,"1979-03-01",1,3,1979,1,32,1,"32_1","PO","GPORDR","NR",NA,NA,1
"Museum9",38.352866,-83.111546,"Kentucky",884,"1953-08-19",19,8,1953,1,33,1,"33_1","PO","GPORDR","NR",NA,NA,1
"Museum38",39.574001,-80.9664,"West Virginia",925,"1931-06-23",23,6,1931,1,34,1,"34_1","PO","GPORDR","NR",NA,NA,1
"Museum4",37.2283,-80.3928,"Virginia",867.44,"1950-09-29",29,9,1950,1,35,1,"35_1","PO","GPORDR","NR",NA,NA,1
"Museum34",39.0664007,-83.0119469,"Ohio",1609.34,"1930-04-01/1930-04-06",NA,4,1930,1,36,1,"36_1","PO","GPORDR","NR",NA,NA,1
"Museum5",37.232,-80.3841,"Virginia",186.68,"1949-02",NA,2,NA,1,37,1,"37_1","PO","GPORDR","NR",NA,NA,1
"Museum3",37.1182,-81.3104,"Virginia",556.76,"1946-06-13",13,6,1946,1,38,1,"38_1","PO","GPORDR","NR",NA,NA,1
"Museum39",39.6084925,-81.2735984,"Ohio",3701.49,"1932-05-22",22,5,1932,1,39,1,"39_1","PO","GPORDR","NR",NA,NA,1
