"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"iNat4",33.806853,-84.516877,"Georgia",28902,"2025-02-17T12:51:27",17,2,2025,1,1,1,"1_1","PO","GPORDU","NR",NA,NA,1
"iNat6",33.871036,-84.568229,"Georgia",28902,"2025-02-08T12:37:53",8,2,2025,1,2,1,"2_1","PO","GPORDU","NR",NA,NA,1
"iNat15",34.712386,-83.856029,"Georgia",28790,"2024-10-14T10:42:14",14,10,2024,1,3,1,"3_1","PO","GPORDU","NR",NA,NA,1
"iNat12",34.459923,-84.346551,"Georgia",28818,"2024-04-22T08:49:55",22,4,2024,1,4,1,"4_1","PO","GPORDU","NR",NA,NA,1
"iNat22",35.182694,-83.438378,"North Carolina",537,"2024-03-17T16:07",17,3,2024,1,5,1,"5_1","PO","GPORDU","NR",NA,NA,1
"iNat2",33.747422,-84.629722,"Georgia",110,"2024-02-17T16:39",17,2,2024,1,6,1,"6_1","PO","GPORDU","NR",NA,NA,1
"iNat23",35.296133,-82.18817,"North Carolina",28706,"2024-02-12T21:00:38",12,2,2024,1,7,1,"7_1","PO","GPORDU","NR",NA,NA,1
"iNat17",34.740088,-82.822883,"South Carolina",4,"2024-02-07T17:43:19",7,2,2024,1,8,1,"8_1","PO","GPORDU","NR",NA,NA,1
"iNat10",34.058925,-84.061276,"Georgia",4,"2024-01-01T12:42:52",1,1,2024,1,9,1,"9_1","PO","GPORDU","NR",NA,NA,1
"iNat21",35.139534,-83.060103,"North Carolina",28734,"2023-07-29T14:12:23",29,7,2023,1,10,1,"10_1","PO","GPORDU","NR",NA,NA,1
"iNat13",34.645586,-83.234605,"Georgia",28790,"2019-04-12T21:54",12,4,2019,1,11,1,"11_1","PO","GPORDU","NR",NA,NA,1
"iNat3",33.804456,-84.27951,"Georgia",28902,"2023-01-09T09:08:38",9,1,2023,1,12,1,"12_1","PO","GPORDU","NR",NA,NA,1
"iNat18",34.764236,-82.802292,"South Carolina",12369,"2021-12-04T12:29",4,12,2021,1,13,1,"13_1","PO","GPORDU","NR",NA,NA,1
"iNat11",34.333261,-83.816695,"Georgia",9,"2022-03-31T19:03:11",31,3,2022,1,14,1,"14_1","PO","GPORDU","NR",NA,NA,1
"iNat20",34.828993,-84.358564,"Georgia",13459,"2021-03-22T17:17:37",22,3,2021,1,15,1,"15_1","PO","GPORDU","NR",NA,NA,1
"iNat14",34.656531,-83.296751,"South Carolina",28790,"2021-04-03T14:42:27",3,4,2021,1,16,1,"16_1","PO","GPORDU","NR",NA,NA,1
"iNat7",33.87211,-84.391241,"Georgia",28902,"2020-12-20T15:45",20,12,2020,1,17,1,"17_1","PO","GPORDU","NR",NA,NA,1
"iNat5",33.833182,-84.367422,"Georgia",50921,"2020-11-27T15:46",27,11,2020,1,18,1,"18_1","PO","GPORDU","NR",NA,NA,1
"iNat9",34.033553,-84.910195,"Georgia",NA,"2020-03-09T14:05",9,3,2020,1,19,1,"19_1","PO","GPORDU","NR",NA,NA,1
"iNat8",33.983176,-84.270663,"Georgia",28902,"2019-12-08T12:02Z",8,12,2019,1,20,1,"20_1","PO","GPORDU","NR",NA,NA,1
"iNat16",34.719284,-83.300209,"South Carolina",376,"2002-10-24",24,10,2002,1,21,1,"21_1","PO","GPORDU","NR",NA,NA,1
"iNat25",35.676353,-81.09498,"North Carolina",NA,"2018-03-29T13:00",29,3,2018,1,22,1,"22_1","PO","GPORDU","NR",NA,NA,1
"iNat24",35.299768,-83.717248,"North Carolina",28706,"2011-06-22T09:17",22,6,2011,1,23,1,"23_1","PO","GPORDU","NR",NA,NA,1
"iNat19",34.81704,-84.594744,"Georgia",1376,"2018-03-03T15:59:46",3,3,2018,1,24,1,"24_1","PO","GPORDU","NR",NA,NA,1
"iNat1",33.706122,-84.876258,"Georgia",5,"2017-12-25T12:26:15",25,12,2017,1,25,1,"25_1","PO","GPORDU","NR",NA,NA,1
