"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"Museum39",35.6563,-82.1306,"North Carolina",NA,"1962-03-16",16,3,1962,1,1,1,"1_1","PO","GPORDU","NR",NA,NA,1
"Museum38",35.57,-81.6269,"North Carolina",NA,"1962-03-17",17,3,1962,1,2,1,"2_1","PO","GPORDU","NR",NA,NA,1
"Museum10",33.48,-85.8,"Alabama",100,"1967-03-23",23,3,1967,1,3,1,"3_1","PO","GPORDU","NR",NA,NA,1
"Museum27",34.23,-87.33,"Alabama",10000,"1942-09-29",29,9,1942,1,4,1,"4_1","PO","GPORDU","NR",NA,NA,1
"Museum28",34.81,-84.68,"Georgia",800,"1939-08-22",22,8,1939,1,5,1,"5_1","PO","GPORDU","NR",NA,NA,1
"Museum30",34.9500864,-83.2897496,"Georgia",1827,"1939-08-19",19,8,1939,1,6,1,"6_1","PO","GPORDU","NR",NA,NA,1
"Museum37",35.18,-83.56,"North Carolina",3615,"1931-08-31",31,8,1931,1,7,1,"7_1","PO","GPORDU","NR",NA,NA,1
"Museum31",35.06,-83.21,"North Carolina",301,"1931-08-30",30,8,1931,1,8,1,"8_1","PO","GPORDU","NR",NA,NA,1
"Museum36",35.1561,-83.7389,"North Carolina",106.22,"1947-04-07",7,4,1947,1,9,1,"9_1","PO","GPORDU","NR",NA,NA,1
"Museum35",35.143764,-83.727594,"North Carolina",278.01,"1947-04-07",7,4,1947,1,10,1,"10_1","PO","GPORDU","NR",NA,NA,1
"Museum26",33.922641,-83.388411,"Georgia",6382,"1937-10-09T20:00/1937-10-09T23:59",9,10,1937,1,11,1,"11_1","PO","GPORDU","NR",NA,NA,1
"Museum32",35.0644,-82.7986,"South Carolina",402,"2003-02-21",21,2,2003,1,12,1,"12_1","PO","GPORDU","NR",NA,NA,1
"Museum33",35.067,-82.7974,"South Carolina",402,"2003-03-05",5,3,2003,1,13,1,"13_1","PO","GPORDU","NR",NA,NA,1
"Museum6",32.961007,-85.736256,"Alabama",NA,"2002-07-20",20,7,2002,1,14,1,"14_1","PO","GPORDU","NR",NA,NA,1
"Museum19",33.7252,-85.601446,"Alabama",NA,"1990-04-08",8,4,1990,1,15,1,"15_1","PO","GPORDU","NR",NA,NA,1
"Museum25",33.910278,-85.96,"Alabama",NA,"1968-06-23",23,6,1968,1,16,1,"16_1","PO","GPORDU","NR",NA,NA,1
"Museum9",33.473874,-85.821539,"Alabama",NA,"1979-03-04",4,3,1979,1,17,1,"17_1","PO","GPORDU","NR",NA,NA,1
"Museum21",33.808316,-86.482794,"Alabama",NA,"1979-02-11",11,2,1979,1,18,1,"18_1","PO","GPORDU","NR",NA,NA,1
"Museum23",33.812404,-86.113664,"Alabama",NA,"1979-04-14",14,4,1979,1,19,1,"19_1","PO","GPORDU","NR",NA,NA,1
"Museum1",32.551707,-85.510142,"Alabama",NA,"1979-04-03",3,4,1979,1,20,1,"20_1","PO","GPORDU","NR",NA,NA,1
"Museum8",33.463303,-85.87538,"Alabama",NA,"1971-12-20",20,12,1971,1,21,1,"21_1","PO","GPORDU","NR",NA,NA,1
"Museum22",33.80867,-86.513474,"Alabama",NA,"1979-04-21",21,4,1979,1,22,1,"22_1","PO","GPORDU","NR",NA,NA,1
"Museum4",32.892158,-85.825301,"Alabama",NA,"1977-11-27",27,11,1977,1,23,1,"23_1","PO","GPORDU","NR",NA,NA,1
"Museum5",32.914993,-86.290526,"Alabama",NA,"1973-04-06",6,4,1973,1,24,1,"24_1","PO","GPORDU","NR",NA,NA,1
"Museum11",33.485486,-85.80902,"Alabama",NA,"1972-10-26",26,10,1972,1,25,1,"25_1","PO","GPORDU","NR",NA,NA,1
"Museum7",33.38357,-86.034724,"Alabama",NA,"1973-03-31",31,3,1973,1,26,1,"26_1","PO","GPORDU","NR",NA,NA,1
"Museum3",32.745034,-86.38506,"Alabama",NA,"1974-03-24",24,3,1974,1,27,1,"27_1","PO","GPORDU","NR",NA,NA,1
"Museum2",32.735309,-86.38437,"Alabama",NA,"1974-03-24",24,3,1974,1,28,1,"28_1","PO","GPORDU","NR",NA,NA,1
"Museum16",33.640465,-86.367251,"Alabama",NA,"1967-11-02",2,11,1967,1,29,1,"29_1","PO","GPORDU","NR",NA,NA,1
"Museum20",33.770646,-85.767846,"Alabama",NA,"1969-05-15",15,5,1969,1,30,1,"30_1","PO","GPORDU","NR",NA,NA,1
"Museum17",33.702727,-85.59626,"Alabama",NA,"1968-04-14",14,4,1968,1,31,1,"31_1","PO","GPORDU","NR",NA,NA,1
"Museum13",33.547933,-86.096603,"Alabama",NA,"1967-10-28",28,10,1967,1,32,1,"32_1","PO","GPORDU","NR",NA,NA,1
"Museum15",33.628802,-85.907092,"Alabama",NA,"1967-03-04",4,3,1967,1,33,1,"33_1","PO","GPORDU","NR",NA,NA,1
"Museum24",33.850655,-85.902468,"Alabama",NA,"1967-03-14",14,3,1967,1,34,1,"34_1","PO","GPORDU","NR",NA,NA,1
"Museum12",33.485655,-85.809079,"Alabama",NA,"1963-04-13",13,4,1963,1,35,1,"35_1","PO","GPORDU","NR",NA,NA,1
"Museum14",33.565036,-85.698268,"Alabama",NA,"1957-04-27",27,4,1957,1,36,1,"36_1","PO","GPORDU","NR",NA,NA,1
"Museum18",33.703165,-85.599347,"Alabama",NA,"1958-01-26",26,1,1958,1,37,1,"37_1","PO","GPORDU","NR",NA,NA,1
"Museum29",34.852618,-82.39401,"South Carolina",7802,"1958",NA,NA,NA,1,38,1,"38_1","PO","GPORDU","NR",NA,NA,1
"Museum34",35.1057,-82.6276,"South Carolina",2119.51,"1934-04-13",13,4,1934,1,39,1,"39_1","PO","GPORDU","NR",NA,NA,1
