"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"iNat544",42.726805,-73.250359,"Massachusetts",NA,"2013-06-09T14:03:59",9,6,2013,1,1,1,"1_1","PO","GPORPO","NR",NA,NA,1
"iNat487",42.423398,-78.157232,"New York",3335,"2013-04-28",28,4,2013,1,2,1,"2_1","PO","GPORPO","NR",NA,NA,1
"iNat512",42.516483,-78.186612,"New York",27630,"2012-10-13",13,10,2012,1,3,1,"3_1","PO","GPORPO","NR",NA,NA,1
"iNat167",38.995928,-79.343309,"West Virginia",38,"2012-07-28T13:36:24",28,7,2012,1,4,1,"4_1","PO","GPORPO","NR",NA,NA,1
"iNat390",42.118618,-74.087257,"New York",NA,"2008-07-19T01:08",19,7,2008,1,5,1,"5_1","PO","GPORPO","NR",NA,NA,1
"iNat340",41.858764,-80.092469,"Pennsylvania",37317,"2025-06-04T11:41",4,6,2025,1,6,1,"6_1","PO","GPORPO","NR",NA,NA,1
"iNat84",37.537697,-79.994889,"Virginia",NA,"2025-06-12T13:47:03",12,6,2025,1,7,1,"7_1","PO","GPORPO","NR",NA,NA,1
"iNat182",39.120466,-79.415063,"West Virginia",28151,"2025-06-06T23:52:19",6,6,2025,1,8,1,"8_1","PO","GPORPO","NR",NA,NA,1
"iNat363",42.0121,-75.98676,"New York",72,"2025-06-08T15:05:27",8,6,2025,1,9,1,"9_1","PO","GPORPO","NR",NA,NA,1
"iNat671",44.011511,-71.652373,"New Hampshire",5,"2025-05-29T14:50:32",29,5,2025,1,10,1,"10_1","PO","GPORPO","NR",NA,NA,1
"iNat681",44.150936,-74.795058,"New York",10,"2025-05-22T09:58:40",22,5,2025,1,11,1,"11_1","PO","GPORPO","NR",NA,NA,1
"iNat624",42.988875,-76.176757,"New York",27568,"2025-05-17T22:02:09",17,5,2025,1,12,1,"12_1","PO","GPORPO","NR",NA,NA,1
"iNat603",42.803142,-76.008567,"New York",27568,"2025-05-17T21:56:58",17,5,2025,1,13,1,"13_1","PO","GPORPO","NR",NA,NA,1
"iNat613",42.858784,-76.187641,"New York",27568,"2025-05-24T01:23:35",24,5,2025,1,14,1,"14_1","PO","GPORPO","NR",NA,NA,1
"iNat625",42.989949,-75.860981,"New York",27568,"2025-05-24T00:28:02",24,5,2025,1,15,1,"15_1","PO","GPORPO","NR",NA,NA,1
"iNat482",42.387481,-76.392658,"New York",27661,"2025-05-20T17:06:54",20,5,2025,1,16,1,"16_1","PO","GPORPO","NR",NA,NA,1
"iNat617",42.919821,-76.16522,"New York",27568,"2025-05-24T01:12:19",24,5,2025,1,17,1,"17_1","PO","GPORPO","NR",NA,NA,1
"iNat627",42.991361,-76.158608,"New York",NA,"2025-05-22T20:18:38",22,5,2025,1,18,1,"18_1","PO","GPORPO","NR",NA,NA,1
"iNat622",42.980859,-76.114008,"New York",27568,"2025-05-24T00:34:28",24,5,2025,1,19,1,"19_1","PO","GPORPO","NR",NA,NA,1
"iNat664",43.84253,-72.987228,"Vermont",4,"2025-05-14T10:42:22",14,5,2025,1,20,1,"20_1","PO","GPORPO","NR",NA,NA,1
"iNat616",42.916551,-76.031171,"New York",27568,"2025-05-24T00:31:56",24,5,2025,1,21,1,"21_1","PO","GPORPO","NR",NA,NA,1
"iNat618",42.951914,-76.109525,"New York",27568,"2025-05-17T21:57:57",17,5,2025,1,22,1,"22_1","PO","GPORPO","NR",NA,NA,1
"iNat670",43.984593,-71.681986,"New Hampshire",5,"2025-05-03T22:27:20",3,5,2025,1,23,1,"23_1","PO","GPORPO","NR",NA,NA,1
"iNat308",41.182721,-74.876283,"New Jersey",27847,"2025-05-09T22:17:34",9,5,2025,1,24,1,"24_1","PO","GPORPO","NR",NA,NA,1
