"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"Museum56",37.0973,-81.8023,"Virginia",NA,"1979-03-21",21,3,1979,1,1,1,"1_1","PO","GPORPO","NR",NA,NA,1
"Museum442",42.4006,-76.5841,"New York",NA,"1955-10-23",23,10,1955,1,2,1,"2_1","PO","GPORPO","NR",NA,NA,1
"Museum247",40.1859,-80.8189,"Ohio",NA,"1941-03-27",27,3,1941,1,3,1,"3_1","PO","GPORPO","NR",NA,NA,1
"Museum298",40.6106,-82.3129,"Ohio",NA,"1960-11-11",11,11,1960,1,4,1,"4_1","PO","GPORPO","NR",NA,NA,1
"Museum341",40.9045,-80.0848,"Pennsylvania",NA,"1962-07-21",21,7,1962,1,5,1,"5_1","PO","GPORPO","NR",NA,NA,1
"Museum161",39.0865,-81.859,"Ohio",NA,"1961-04-22",22,4,1961,1,6,1,"6_1","PO","GPORPO","NR",NA,NA,1
"Museum187",39.5286,-79.2739,"Maryland",NA,"1960-06-01/1960-06-19",NA,6,1960,1,7,1,"7_1","PO","GPORPO","NR",NA,NA,1
"Museum43",36.6407,-82.7399,"Virginia",NA,"1964-08-01",1,8,1964,1,8,1,"8_1","PO","GPORPO","NR",NA,NA,1
"Museum112",38.39,-79.54,"Virginia",2625,"1931-08-17",17,8,1931,1,9,1,"9_1","PO","GPORPO","NR",NA,NA,1
"Museum122",38.51,-78.43,"Virginia",106,"1969-06-03",3,6,1969,1,10,1,"10_1","PO","GPORPO","NR",NA,NA,1
"Museum77",37.84,-79.07,"Virginia",4340,"1931-08-18",18,8,1931,1,11,1,"11_1","PO","GPORPO","NR",NA,NA,1
"Museum93",38.17,-79.14,"Virginia",34295,"1926-06",NA,6,NA,1,12,1,"12_1","PO","GPORPO","NR",NA,NA,1
"Museum60",37.36,-80.53,"Virginia",2317,"1946-05",NA,5,NA,1,13,1,"13_1","PO","GPORPO","NR",NA,NA,1
"Museum52",36.86,-82.05,"Virginia",28283,"1941-07-29",29,7,1941,1,14,1,"14_1","PO","GPORPO","NR",NA,NA,1
"Museum76",37.84,-79.83,"Virginia",3460,"1944-04-08",8,4,1944,1,15,1,"15_1","PO","GPORPO","NR",NA,NA,1
"Museum61",37.36,-80.46,"Virginia",3042,"1943-08-15",15,8,1943,1,16,1,"16_1","PO","GPORPO","NR",NA,NA,1
"Museum71",37.74,-80.24,"Virginia",2382,"1939-04-11",11,4,1939,1,17,1,"17_1","PO","GPORPO","NR",NA,NA,1
"Museum64",37.4,-80.51,"Virginia",4571,"1939-08-06",6,8,1939,1,18,1,"18_1","PO","GPORPO","NR",NA,NA,1
"Museum41",36.61,-80,"Virginia",830,"1939",NA,NA,NA,1,19,1,"19_1","PO","GPORPO","NR",NA,NA,1
"Museum58",37.25,-80.17,"Virginia",246,"1948-06-20",20,6,1948,1,20,1,"20_1","PO","GPORPO","NR",NA,NA,1
"Museum63",37.37,-80.53,"Virginia",97,"1938-08",NA,8,NA,1,21,1,"21_1","PO","GPORPO","NR",NA,NA,1
"Museum74",37.8,-79.17,"Virginia",3196,"1949-06-21",21,6,1949,1,22,1,"22_1","PO","GPORPO","NR",NA,NA,1
"Museum125",38.56,-78.36,"Virginia",2972,"1948-04-04",4,4,1948,1,23,1,"23_1","PO","GPORPO","NR",NA,NA,1
"Museum42",36.63,-81.6,"Virginia",1345,"1946-07-06",6,7,1946,1,24,1,"24_1","PO","GPORPO","NR",NA,NA,1
"Museum167",39.17,-77.8,"Virginia",2398,"1945-06-17",17,6,1945,1,25,1,"25_1","PO","GPORPO","NR",NA,NA,1
"Museum155",38.91,-78.04,"Virginia",1915,"1943-06-21",21,6,1943,1,26,1,"26_1","PO","GPORPO","NR",NA,NA,1
"Museum156",38.93,-78.03,"Virginia",64,"1943-06-21",21,6,1943,1,27,1,"27_1","PO","GPORPO","NR",NA,NA,1
"Museum151",38.87,-78.1,"Virginia",77,"1942-06-11",11,6,1942,1,28,1,"28_1","PO","GPORPO","NR",NA,NA,1
"Museum65",37.4,-80.5,"Virginia",16,"1941-05-27",27,5,1941,1,29,1,"29_1","PO","GPORPO","NR",NA,NA,1
"Museum123",38.55,-78.31,"Virginia",2617,"1941-07-26",26,7,1941,1,30,1,"30_1","PO","GPORPO","NR",NA,NA,1
"Museum144",38.74,-78.29,"Virginia",195,"1940-10-28",28,10,1940,1,31,1,"31_1","PO","GPORPO","NR",NA,NA,1
"Museum140",38.65,-78.32,"Virginia",847,"1955-09-07",7,9,1955,1,32,1,"32_1","PO","GPORPO","NR",NA,NA,1
"Museum46",36.7,-81.61,"Virginia",348,"1976-08-31",31,8,1976,1,33,1,"33_1","PO","GPORPO","NR",NA,NA,1
"Museum44",36.65,-81.59,"Virginia",2260,"1976-06-14",14,6,1976,1,34,1,"34_1","PO","GPORPO","NR",NA,NA,1
"Museum67",37.52,-79.62,"Virginia",177,"1976-06-06",6,6,1976,1,35,1,"35_1","PO","GPORPO","NR",NA,NA,1
"Museum48",36.79,-80.47,"Virginia",1352,"1976-04-10",10,4,1976,1,36,1,"36_1","PO","GPORPO","NR",NA,NA,1
"Museum117",38.43,-78.46,"Virginia",2464,"1969-10-10",10,10,1969,1,37,1,"37_1","PO","GPORPO","NR",NA,NA,1
"Museum128",38.59,-78.89,"Virginia",2528,"1987-04-24",24,4,1987,1,38,1,"38_1","PO","GPORPO","NR",NA,NA,1
"Museum54",36.91,-80.18,"Virginia",1271,"1974-07-02",2,7,1974,1,39,1,"39_1","PO","GPORPO","NR",NA,NA,1
"Museum53",36.91,-81.04,"Virginia",360,"1987-05-25",25,5,1987,1,40,1,"40_1","PO","GPORPO","NR",NA,NA,1
"Museum51",36.85,-81.07,"Virginia",8410,"1972-07-12",12,7,1972,1,41,1,"41_1","PO","GPORPO","NR",NA,NA,1
"Museum50",36.82,-80.32,"Virginia",1221,"1987-05-03",3,5,1987,1,42,1,"42_1","PO","GPORPO","NR",NA,NA,1
"Museum75",37.81,-79.07,"Virginia",2243,"1987-06-26",26,6,1987,1,43,1,"43_1","PO","GPORPO","NR",NA,NA,1
"Museum59",37.33,-79.52,"Virginia",4337,"1970-05-24",24,5,1970,1,44,1,"44_1","PO","GPORPO","NR",NA,NA,1
"Museum47",36.76,-80.73,"Virginia",4575,"1970-12-10",10,12,1970,1,45,1,"45_1","PO","GPORPO","NR",NA,NA,1
"Museum57",37.2,-80.79,"Virginia",4748,"1968-05",NA,5,NA,1,46,1,"46_1","PO","GPORPO","NR",NA,NA,1
"Museum90",38.16,-79.31,"Virginia",257,"1971-09-25",25,9,1971,1,47,1,"47_1","PO","GPORPO","NR",NA,NA,1
"Museum49",36.8,-80.4,"Virginia",5922,"1983-05-27",27,5,1983,1,48,1,"48_1","PO","GPORPO","NR",NA,NA,1
