"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","date","count","survey.pass"
59,42.4823,-72.7606,10,9,1991,1,1,"PO",1,"GPOR","adult",NA,NA,"9/10/1991",1,"1_1"
121,42.6451,-72.9926,NA,NA,1980,1,2,"PO",1,"GPOR","NR",NA,NA,NA,1,"2_1"
121,42.6451,-72.9926,NA,NA,1980,1,3,"PO",1,"GPOR","NR",NA,NA,NA,1,"3_1"
121,42.6451,-72.9926,NA,NA,1980,1,4,"PO",1,"GPOR","NR",NA,NA,NA,1,"4_1"
121,42.6451,-72.9926,NA,NA,1980,1,5,"PO",1,"GPOR","NR",NA,NA,NA,1,"5_1"
121,42.6451,-72.9926,NA,NA,1980,1,6,"PO",1,"GPOR","NR",NA,NA,NA,1,"6_1"
121,42.6451,-72.9926,NA,NA,1980,1,7,"PO",1,"GPOR","NR",NA,NA,NA,1,"7_1"
121,42.6451,-72.9926,NA,NA,1980,1,8,"PO",1,"GPOR","NR",NA,NA,NA,1,"8_1"
121,42.6451,-72.9926,NA,NA,1980,1,9,"PO",1,"GPOR","NR",NA,NA,NA,1,"9_1"
2,42.0501,-73.4257,NA,NA,1985,1,10,"PO",1,"GPOR","NR",NA,NA,NA,1,"10_1"
34,42.3734,-71.8267,11,4,1993,1,11,"PO",1,"GPOR","NR",NA,NA,"4/11/1993",1,"11_1"
53,42.4654,-72.3843,1,9,1996,1,12,"PO",1,"GPOR","adult",NA,NA,"9/1/1996",1,"12_1"
86,42.5856,-72.8448,11,8,1988,1,13,"PO",1,"GPOR","adult",NA,NA,"8/11/1988",1,"13_1"
84,42.5795,-72.8398,22,8,1987,1,14,"PO",1,"GPOR","adult",NA,NA,"8/22/1987",1,"14_1"
84,42.5795,-72.8398,22,8,1987,1,15,"PO",1,"GPOR","adult",NA,NA,"8/22/1987",1,"15_1"
55,42.4751,-72.969,NA,NA,1971,1,16,"PO",1,"GPOR","NR",NA,NA,NA,1,"16_1"
1,42.0437,-72.9423,8,6,1985,1,17,"PO",1,"GPOR","NR",NA,NA,"6/8/1985",1,"17_1"
1,42.0437,-72.9423,8,6,1985,1,18,"PO",1,"GPOR","NR",NA,NA,"6/8/1985",1,"18_1"
35,42.3784,-71.9951,5,6,1995,1,19,"PO",1,"GPOR","adult",NA,NA,"6/5/1995",1,"19_1"
66,42.5168,-72.1467,NA,7,1989,1,20,"PO",1,"GPOR","adult",NA,NA,NA,1,"20_1"
118,42.6406,-72.7454,NA,8,1978,1,21,"PO",1,"GPOR","NR",NA,NA,NA,1,"21_1"
107,42.62313836,-73.16704864,24,9,1995,1,22,"PO",1,"GPOR","adult",NA,NA,"9/24/1995",1,"22_1"
106,42.62237208,-73.13668051,24,9,1995,1,23,"PO",1,"GPOR","adult",NA,NA,"9/24/1995",1,"23_1"
103,42.6155,-73.167,24,6,2004,1,24,"PO",1,"GPOR","larva",NA,NA,"6/24/2004",1,"24_1"
105,42.6214,-73.1675,24,6,2004,1,25,"PO",1,"GPOR","larva",NA,NA,"6/24/2004",1,"25_1"
105,42.6214,-73.1675,24,6,2004,1,26,"PO",1,"GPOR","larva",NA,NA,"6/24/2004",1,"26_1"
132,42.7029,-73.2784,30,6,1993,1,27,"PO",1,"GPOR","adult",NA,NA,"6/30/1993",1,"27_1"
132,42.7029,-73.2784,30,6,1993,1,28,"PO",1,"GPOR","adult",NA,NA,"6/30/1993",1,"28_1"
132,42.7029,-73.2784,30,6,1993,1,29,"PO",1,"GPOR","larva",NA,NA,"6/30/1993",1,"29_1"
132,42.7029,-73.2784,30,6,1993,1,30,"PO",1,"GPOR","larva",NA,NA,"6/30/1993",1,"30_1"
132,42.7029,-73.2784,30,6,1993,1,31,"PO",1,"GPOR","larva",NA,NA,"6/30/1993",1,"31_1"
132,42.7029,-73.2784,30,6,1993,1,32,"PO",1,"GPOR","larva",NA,NA,"6/30/1993",1,"32_1"
132,42.7029,-73.2784,30,6,1993,1,33,"PO",1,"GPOR","larva",NA,NA,"6/30/1993",1,"33_1"
132,42.7029,-73.2784,30,6,1993,1,34,"PO",1,"GPOR","larva",NA,NA,"6/30/1993",1,"34_1"
27,42.3112,-72.3737,2,8,1991,1,35,"PO",1,"GPOR","larva",NA,NA,"8/2/1991",1,"35_1"
135,42.71754706,-72.2317308,25,7,1992,1,36,"PO",1,"GPOR","juvenile",NA,NA,"7/25/1992",1,"36_1"
135,42.71754706,-72.2317308,25,7,1992,1,37,"PO",1,"GPOR","juvenile",NA,NA,"7/25/1992",1,"37_1"
134,42.71614376,-72.23109213,25,7,1992,1,38,"PO",1,"GPOR","juvenile",NA,NA,"7/25/1992",1,"38_1"
134,42.71614376,-72.23109213,25,7,1992,1,39,"PO",1,"GPOR","juvenile",NA,NA,"7/25/1992",1,"39_1"
83,42.5756,-72.9195,30,4,1983,1,40,"PO",1,"GPOR","adult",NA,NA,"4/30/1983",1,"40_1"
83,42.5756,-72.9195,30,4,1983,1,41,"PO",1,"GPOR","adult",NA,NA,"4/30/1983",1,"41_1"
48,42.42203115,-72.76786986,24,9,1969,1,42,"PO",1,"GPOR","adult",NA,NA,"9/24/1969",1,"42_1"
48,42.42203115,-72.76786986,24,9,1969,1,43,"PO",1,"GPOR","adult",NA,NA,"9/24/1969",1,"43_1"
48,42.42203115,-72.76786986,24,9,1969,1,44,"PO",1,"GPOR","adult",NA,NA,"9/24/1969",1,"44_1"
48,42.42203115,-72.76786986,24,9,1969,1,45,"PO",1,"GPOR","adult",NA,NA,"9/24/1969",1,"45_1"
48,42.42203115,-72.76786986,24,9,1969,1,46,"PO",1,"GPOR","adult",NA,NA,"9/24/1969",1,"46_1"
48,42.42203115,-72.76786986,24,9,1969,1,47,"PO",1,"GPOR","adult",NA,NA,"9/24/1969",1,"47_1"
48,42.42203115,-72.76786986,24,9,1969,1,48,"PO",1,"GPOR","adult",NA,NA,"9/24/1969",1,"48_1"
48,42.42203115,-72.76786986,24,9,1969,1,49,"PO",1,"GPOR","adult",NA,NA,"9/24/1969",1,"49_1"
49,42.42333559,-72.7696985,13,8,2005,1,50,"PO",1,"GPOR","juvenile",NA,NA,"8/13/2005",1,"50_1"
50,42.4256,-72.3923,3,6,1995,1,51,"PO",1,"GPOR","adult",NA,NA,"6/3/1995",1,"51_1"
28,42.3234,-72.7862,NA,5,1996,1,52,"PO",1,"GPOR","NR",NA,NA,NA,1,"52_1"
85,42.5811824,-72.35588,14,6,1989,1,53,"PO",1,"GPOR","adult",NA,NA,"6/14/1989",1,"53_1"
82,42.57334798,-72.35775372,14,6,1989,1,54,"PO",1,"GPOR","NR",NA,NA,"6/14/1989",1,"54_1"
24,42.2676,-72.6162,27,6,1999,1,55,"PO",1,"GPOR","larva",NA,NA,"6/27/1999",1,"55_1"
45,42.4156,-72.4679,27,9,1973,1,56,"PO",1,"GPOR","adult",NA,NA,"9/27/1973",1,"56_1"
45,42.4156,-72.4679,8,10,1971,1,57,"PO",1,"GPOR","adult",NA,NA,"10/8/1971",1,"57_1"
45,42.4156,-72.4679,8,10,1971,1,58,"PO",1,"GPOR","adult",NA,NA,"10/8/1971",1,"58_1"
45,42.4156,-72.4679,26,9,1969,1,59,"PO",1,"GPOR","adult",NA,NA,"9/26/1969",1,"59_1"
45,42.4156,-72.4679,26,9,1969,1,60,"PO",1,"GPOR","adult",NA,NA,"9/26/1969",1,"60_1"
45,42.4156,-72.4679,26,9,1969,1,61,"PO",1,"GPOR","adult",NA,NA,"9/26/1969",1,"61_1"
45,42.4156,-72.4679,26,9,1969,1,62,"PO",1,"GPOR","adult",NA,NA,"9/26/1969",1,"62_1"
45,42.4156,-72.4679,26,9,1969,1,63,"PO",1,"GPOR","adult",NA,NA,"9/26/1969",1,"63_1"
45,42.4156,-72.4679,26,9,1969,1,64,"PO",1,"GPOR","larva",NA,NA,"9/26/1969",1,"64_1"
9,42.14953401,-73.47956172,NA,6,1990,1,65,"PO",1,"GPOR","adult",NA,NA,NA,1,"65_1"
11,42.15760301,-73.47258887,23,5,1987,1,66,"PO",1,"GPOR","NR",NA,NA,"5/23/1987",1,"66_1"
10,42.15688276,-73.47456474,29,3,1987,1,67,"PO",1,"GPOR","NR",NA,NA,"3/29/1987",1,"67_1"
12,42.15890037,-73.47362837,5,5,1990,1,68,"PO",1,"GPOR","larva",NA,NA,"5/5/1990",1,"68_1"
101,42.6095,-73.0762,6,9,1993,1,69,"PO",1,"GPOR","adult",NA,NA,"9/6/1993",1,"69_1"
97,42.5968,-71.6731,30,4,1969,1,70,"PO",1,"GPOR","NR",NA,NA,"4/30/1969",1,"70_1"
47,42.4204,-72.8626,14,8,1993,1,71,"PO",1,"GPOR","adult",NA,NA,"8/14/1993",1,"71_1"
31,42.34807537,-72.75841109,13,9,1994,1,72,"PO",1,"GPOR","adult",NA,NA,"9/13/1994",1,"72_1"
