"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","individual.id","time.to.detect","date","survey.pass","species","age","count"
66,42.425307,-72.392076,4,8,2019,1,66,"count",1,NA,NA,"8/4/2019","66_1","DFUS","NR",0
66,42.425307,-72.392076,4,8,2019,1,66,"count",1,NA,NA,"8/4/2019","66_1","EBIS","NR",29
66,42.425307,-72.392076,4,8,2019,1,66,"count",1,NA,NA,"8/4/2019","66_1","GPOR","NR",0
61,42.41759,-72.77524,4,7,2019,1,61,"count",1,NA,NA,"7/4/2019","61_1","DFUS","NR",1
61,42.41759,-72.77524,4,7,2019,1,61,"count",1,NA,NA,"7/4/2019","61_1","EBIS","NR",7
61,42.41759,-72.77524,4,7,2019,1,61,"count",1,NA,NA,"7/4/2019","61_1","GPOR","NR",0
63,42.42163,-72.7664,24,7,2019,1,63,"count",1,NA,NA,"7/24/2019","63_1","DFUS","NR",3
63,42.42163,-72.7664,24,7,2019,1,63,"count",1,NA,NA,"7/24/2019","63_1","EBIS","NR",8
63,42.42163,-72.7664,24,7,2019,1,63,"count",1,NA,NA,"7/24/2019","63_1","GPOR","NR",0
27,42.1844,-73.3236,18,9,2019,1,27,"count",1,NA,NA,"9/18/2019","27_1","DFUS","NR",1
27,42.1844,-73.3236,18,9,2019,1,27,"count",1,NA,NA,"9/18/2019","27_1","EBIS","NR",1
27,42.1844,-73.3236,18,9,2019,1,27,"count",1,NA,NA,"9/18/2019","27_1","GPOR","NR",1
25,42.1834,-73.3245,27,9,2019,1,25,"count",1,NA,NA,"9/27/2019","25_1","DFUS","NR",1
25,42.1834,-73.3245,27,9,2019,1,25,"count",1,NA,NA,"9/27/2019","25_1","EBIS","NR",2
25,42.1834,-73.3245,27,9,2019,1,25,"count",1,NA,NA,"9/27/2019","25_1","GPOR","NR",1
24,42.1828,-73.3253,29,9,2019,1,24,"count",1,NA,NA,"9/29/2019","24_1","DFUS","NR",0
24,42.1828,-73.3253,29,9,2019,1,24,"count",1,NA,NA,"9/29/2019","24_1","EBIS","NR",0
24,42.1828,-73.3253,29,9,2019,1,24,"count",1,NA,NA,"9/29/2019","24_1","GPOR","NR",0
23,42.182361,-73.325197,30,9,2019,1,23,"count",1,NA,NA,"9/30/2019","23_1","DFUS","NR",1
23,42.182361,-73.325197,30,9,2019,1,23,"count",1,NA,NA,"9/30/2019","23_1","EBIS","NR",3
23,42.182361,-73.325197,30,9,2019,1,23,"count",1,NA,NA,"9/30/2019","23_1","GPOR","NR",0
26,42.183453,-73.324592,25,9,2019,1,26,"count",1,NA,NA,"9/25/2019","26_1","DFUS","NR",0
26,42.183453,-73.324592,25,9,2019,1,26,"count",1,NA,NA,"9/25/2019","26_1","EBIS","NR",0
26,42.183453,-73.324592,25,9,2019,1,26,"count",1,NA,NA,"9/25/2019","26_1","GPOR","NR",0
31,42.2389,-73.343,1,10,2019,1,31,"count",1,NA,NA,"10/1/2019","31_1","DFUS","NR",1
31,42.2389,-73.343,1,10,2019,1,31,"count",1,NA,NA,"10/1/2019","31_1","EBIS","NR",1
31,42.2389,-73.343,1,10,2019,1,31,"count",1,NA,NA,"10/1/2019","31_1","GPOR","NR",0
29,42.2342,-73.3419,15,9,2019,1,29,"count",1,NA,NA,"9/15/2019","29_1","DFUS","NR",7
29,42.2342,-73.3419,15,9,2019,1,29,"count",1,NA,NA,"9/15/2019","29_1","EBIS","NR",1
29,42.2342,-73.3419,15,9,2019,1,29,"count",1,NA,NA,"9/15/2019","29_1","GPOR","NR",0
54,42.3909,-72.4327,22,9,2019,1,54,"count",1,NA,NA,"9/22/2019","54_1","DFUS","NR",0
54,42.3909,-72.4327,22,9,2019,1,54,"count",1,NA,NA,"9/22/2019","54_1","EBIS","NR",1
54,42.3909,-72.4327,22,9,2019,1,54,"count",1,NA,NA,"9/22/2019","54_1","GPOR","NR",1
56,42.394011,-72.427503,4,10,2019,1,56,"count",1,NA,NA,"10/4/2019","56_1","DFUS","NR",0
56,42.394011,-72.427503,4,10,2019,1,56,"count",1,NA,NA,"10/4/2019","56_1","EBIS","NR",1
56,42.394011,-72.427503,4,10,2019,1,56,"count",1,NA,NA,"10/4/2019","56_1","GPOR","NR",0
19,42.149004,-73.314386,21,10,2019,1,19,"count",1,NA,NA,"10/21/2019","19_1","DFUS","NR",0
19,42.149004,-73.314386,21,10,2019,1,19,"count",1,NA,NA,"10/21/2019","19_1","EBIS","NR",1
19,42.149004,-73.314386,21,10,2019,1,19,"count",1,NA,NA,"10/21/2019","19_1","GPOR","NR",0
70,42.43688,-72.387145,5,10,2019,1,70,"count",1,NA,NA,"10/5/2019","70_1","DFUS","NR",0
70,42.43688,-72.387145,5,10,2019,1,70,"count",1,NA,NA,"10/5/2019","70_1","EBIS","NR",0
70,42.43688,-72.387145,5,10,2019,1,70,"count",1,NA,NA,"10/5/2019","70_1","GPOR","NR",0
60,42.414852,-72.465657,10,10,2019,1,60,"count",1,NA,NA,"10/10/2019","60_1","DFUS","NR",0
60,42.414852,-72.465657,10,10,2019,1,60,"count",1,NA,NA,"10/10/2019","60_1","EBIS","NR",3
60,42.414852,-72.465657,10,10,2019,1,60,"count",1,NA,NA,"10/10/2019","60_1","GPOR","NR",0
97,42.536667,-71.796667,1,9,2019,1,97,"count",1,NA,NA,"9/1/2019","97_1","DFUS","NR",1
97,42.536667,-71.796667,1,9,2019,1,97,"count",1,NA,NA,"9/1/2019","97_1","EBIS","NR",0
97,42.536667,-71.796667,1,9,2019,1,97,"count",1,NA,NA,"9/1/2019","97_1","GPOR","NR",2
50,42.374636,-71.82666,23,7,2019,1,50,"count",1,NA,NA,"7/23/2019","50_1","DFUS","NR",0
50,42.374636,-71.82666,23,7,2019,1,50,"count",1,NA,NA,"7/23/2019","50_1","EBIS","NR",0
50,42.374636,-71.82666,23,7,2019,1,50,"count",1,NA,NA,"7/23/2019","50_1","GPOR","NR",0
49,42.373193,-71.828811,29,8,2019,1,49,"count",1,NA,NA,"8/29/2019","49_1","DFUS","NR",2
49,42.373193,-71.828811,29,8,2019,1,49,"count",1,NA,NA,"8/29/2019","49_1","EBIS","NR",0
49,42.373193,-71.828811,29,8,2019,1,49,"count",1,NA,NA,"8/29/2019","49_1","GPOR","NR",0
51,42.376788,-71.833813,11,9,2019,1,51,"count",1,NA,NA,"9/11/2019","51_1","DFUS","NR",0
51,42.376788,-71.833813,11,9,2019,1,51,"count",1,NA,NA,"9/11/2019","51_1","EBIS","NR",0
51,42.376788,-71.833813,11,9,2019,1,51,"count",1,NA,NA,"9/11/2019","51_1","GPOR","NR",0
38,42.306245,-71.877164,29,10,2019,1,38,"count",1,NA,NA,"10/29/2019","38_1","DFUS","NR",0
38,42.306245,-71.877164,29,10,2019,1,38,"count",1,NA,NA,"10/29/2019","38_1","EBIS","NR",1
38,42.306245,-71.877164,29,10,2019,1,38,"count",1,NA,NA,"10/29/2019","38_1","GPOR","NR",0
42,42.313582,-71.888697,18,9,2019,1,42,"count",1,NA,NA,"9/18/2019","42_1","DFUS","NR",0
42,42.313582,-71.888697,18,9,2019,1,42,"count",1,NA,NA,"9/18/2019","42_1","EBIS","NR",0
42,42.313582,-71.888697,18,9,2019,1,42,"count",1,NA,NA,"9/18/2019","42_1","GPOR","NR",0
39,42.306353,-71.877023,10,11,2019,1,39,"count",1,NA,NA,"11/10/2019","39_1","DFUS","NR",0
39,42.306353,-71.877023,10,11,2019,1,39,"count",1,NA,NA,"11/10/2019","39_1","EBIS","NR",1
39,42.306353,-71.877023,10,11,2019,1,39,"count",1,NA,NA,"11/10/2019","39_1","GPOR","NR",0
82,42.484472,-72.756833,29,6,2019,1,82,"count",1,NA,NA,"6/29/2019","82_1","DFUS","NR",1
82,42.484472,-72.756833,29,6,2019,1,82,"count",1,NA,NA,"6/29/2019","82_1","EBIS","NR",7
82,42.484472,-72.756833,29,6,2019,1,82,"count",1,NA,NA,"6/29/2019","82_1","GPOR","NR",0
81,42.482384,-72.760344,1,9,2019,1,81,"count",1,NA,NA,"9/1/2019","81_1","DFUS","NR",5
81,42.482384,-72.760344,1,9,2019,1,81,"count",1,NA,NA,"9/1/2019","81_1","EBIS","NR",16
81,42.482384,-72.760344,1,9,2019,1,81,"count",1,NA,NA,"9/1/2019","81_1","GPOR","NR",1
79,42.481407,-72.762659,27,9,2019,1,79,"count",1,NA,NA,"9/27/2019","79_1","DFUS","NR",4
79,42.481407,-72.762659,27,9,2019,1,79,"count",1,NA,NA,"9/27/2019","79_1","EBIS","NR",28
79,42.481407,-72.762659,27,9,2019,1,79,"count",1,NA,NA,"9/27/2019","79_1","GPOR","NR",0
84,42.48462,-72.756783,28,7,2019,1,84,"count",1,NA,NA,"7/28/2019","84_1","DFUS","NR",19
84,42.48462,-72.756783,28,7,2019,1,84,"count",1,NA,NA,"7/28/2019","84_1","EBIS","NR",14
84,42.48462,-72.756783,28,7,2019,1,84,"count",1,NA,NA,"7/28/2019","84_1","GPOR","NR",0
93,42.501739,-72.789238,2,8,2019,1,93,"count",1,NA,NA,"8/2/2019","93_1","DFUS","NR",12
93,42.501739,-72.789238,2,8,2019,1,93,"count",1,NA,NA,"8/2/2019","93_1","EBIS","NR",23
93,42.501739,-72.789238,2,8,2019,1,93,"count",1,NA,NA,"8/2/2019","93_1","GPOR","NR",3
88,42.487706,-72.705833,18,8,2019,1,88,"count",1,NA,NA,"8/18/2019","88_1","DFUS","NR",1
88,42.487706,-72.705833,18,8,2019,1,88,"count",1,NA,NA,"8/18/2019","88_1","EBIS","NR",1
