"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","count","date","survey.pass"
414,39.5625,-76.15625,22,5,2014,1,1,"PO",1,"DFUS","adult",NA,NA,1,"5/22/2014","1_1"
459,39.604166,-76.15625,22,11,2011,1,2,"PO",1,"DFUS","adult",NA,NA,1,"11/22/2011","2_1"
370,39.520834,-76.21875,5,6,2014,1,3,"PO",1,"DFUS","adult",NA,NA,1,"6/5/2014","3_1"
517,39.6875,-79.28125,19,5,2014,1,4,"PO",1,"DFUS","adult",NA,NA,1,"5/19/2014","4_1"
516,39.6875,-79.34375,10,5,2015,1,5,"PO",1,"DFUS","adult",NA,NA,1,"5/10/2015","5_1"
516,39.6875,-79.34375,6,6,2014,1,6,"PO",1,"DFUS","adult",NA,NA,1,"6/6/2014","6_1"
516,39.6875,-79.34375,15,12,2015,1,7,"PO",1,"DFUS","adult",NA,NA,1,"12/15/2015","7_1"
573,39.729166,-79.28125,10,5,2015,1,8,"PO",1,"DFUS","adult",NA,NA,1,"5/10/2015","8_1"
572,39.729166,-79.34375,10,5,2015,1,9,"PO",1,"DFUS","adult",NA,NA,1,"5/10/2015","9_1"
572,39.729166,-79.34375,19,5,2013,1,10,"PO",1,"DFUS","adult",NA,NA,1,"5/19/2013","10_1"
467,39.645834,-79.28125,10,5,2015,1,11,"PO",1,"DFUS","adult",NA,NA,1,"5/10/2015","11_1"
467,39.645834,-79.28125,15,2,2014,1,12,"PO",1,"DFUS","adult",NA,NA,1,"2/15/2014","12_1"
467,39.645834,-79.28125,15,2,2014,1,13,"PO",1,"DFUS","adult",NA,NA,1,"2/15/2014","13_1"
528,39.6875,-78.40625,27,4,2014,1,14,"PO",1,"DFUS","adult",NA,NA,1,"4/27/2014","14_1"
528,39.6875,-78.40625,23,12,2012,1,15,"PO",1,"DFUS","adult",NA,NA,1,"12/23/2012","15_1"
527,39.6875,-78.46875,18,6,2012,1,16,"PO",1,"DFUS","adult",NA,NA,1,"6/18/2012","16_1"
527,39.6875,-78.46875,12,4,2014,1,17,"PO",1,"DFUS","adult",NA,NA,1,"4/12/2014","17_1"
527,39.6875,-78.46875,4,1,2012,1,18,"PO",1,"DFUS","adult",NA,NA,1,"1/4/2012","18_1"
584,39.729166,-78.46875,4,9,2013,1,19,"PO",1,"DFUS","adult",NA,NA,1,"9/4/2013","19_1"
477,39.645834,-78.40625,27,4,2014,1,20,"PO",1,"DFUS","adult",NA,NA,1,"4/27/2014","20_1"
477,39.645834,-78.40625,4,1,2012,1,21,"PO",1,"DFUS","adult",NA,NA,1,"1/4/2012","21_1"
476,39.645834,-78.46875,29,4,2013,1,22,"PO",1,"DFUS","adult",NA,NA,1,"4/29/2013","22_1"
476,39.645834,-78.46875,29,4,2013,1,23,"PO",1,"DFUS","juvenile",NA,NA,1,"4/29/2013","23_1"
476,39.645834,-78.46875,4,1,2012,1,24,"PO",1,"DFUS","adult",NA,NA,1,"1/4/2012","24_1"
521,39.6875,-79.03125,4,1,2012,1,25,"PO",1,"DFUS","adult",NA,NA,1,"1/4/2012","25_1"
521,39.6875,-79.03125,4,1,2012,1,26,"PO",1,"DFUS","juvenile",NA,NA,1,"1/4/2012","26_1"
521,39.6875,-79.03125,9,1,2012,1,27,"PO",1,"DFUS","adult",NA,NA,1,"1/9/2012","27_1"
521,39.6875,-79.03125,9,1,2012,1,28,"PO",1,"DFUS","adult",NA,NA,1,"1/9/2012","28_1"
521,39.6875,-79.03125,9,1,2013,1,29,"PO",1,"DFUS","adult",NA,NA,1,"1/9/2013","29_1"
520,39.6875,-79.09375,16,2,2014,1,30,"PO",1,"DFUS","adult",NA,NA,1,"2/16/2014","30_1"
520,39.6875,-79.09375,16,2,2014,1,31,"PO",1,"DFUS","adult",NA,NA,1,"2/16/2014","31_1"
577,39.729166,-79.03125,16,2,2014,1,32,"PO",1,"DFUS","adult",NA,NA,1,"2/16/2014","32_1"
577,39.729166,-79.03125,4,4,2015,1,33,"PO",1,"DFUS","adult",NA,NA,1,"4/4/2015","33_1"
577,39.729166,-79.03125,13,11,2015,1,34,"PO",1,"DFUS","adult",NA,NA,1,"11/13/2015","34_1"
577,39.729166,-79.03125,16,2,2014,1,35,"PO",1,"DFUS","adult",NA,NA,1,"2/16/2014","35_1"
576,39.729166,-79.09375,9,9,2012,1,36,"PO",1,"DFUS","adult",NA,NA,1,"9/9/2012","36_1"
471,39.645834,-79.03125,3,1,2012,1,37,"PO",1,"DFUS","adult",NA,NA,1,"1/3/2012","37_1"
471,39.645834,-79.03125,9,1,2013,1,38,"PO",1,"DFUS","adult",NA,NA,1,"1/9/2013","38_1"
470,39.645834,-79.09375,13,1,2012,1,39,"PO",1,"DFUS","adult",NA,NA,1,"1/13/2012","39_1"
470,39.645834,-79.09375,22,4,2012,1,40,"PO",1,"DFUS","adult",NA,NA,1,"4/22/2012","40_1"
470,39.645834,-79.09375,30,4,2015,1,41,"PO",1,"DFUS","adult",NA,NA,1,"4/30/2015","41_1"
380,39.5625,-79.03125,14,5,2014,1,42,"PO",1,"DFUS","adult",NA,NA,1,"5/14/2014","42_1"
380,39.5625,-79.03125,4,4,2015,1,43,"PO",1,"DFUS","adult",NA,NA,1,"4/4/2015","43_1"
379,39.5625,-79.09375,9,1,2013,1,44,"PO",1,"DFUS","adult",NA,NA,1,"1/9/2013","44_1"
425,39.604166,-79.03125,7,6,2015,1,45,"PO",1,"DFUS","adult",NA,NA,1,"6/7/2015","45_1"
425,39.604166,-79.03125,29,4,2012,1,46,"PO",1,"DFUS","adult",NA,NA,1,"4/29/2012","46_1"
425,39.604166,-79.03125,26,4,2013,1,47,"PO",1,"DFUS","adult",NA,NA,1,"4/26/2013","47_1"
425,39.604166,-79.03125,25,12,2013,1,48,"PO",1,"DFUS","adult",NA,NA,1,"12/25/2013","48_1"
424,39.604166,-79.09375,4,1,2012,1,49,"PO",1,"DFUS","adult",NA,NA,1,"1/4/2012","49_1"
424,39.604166,-79.09375,9,1,2013,1,50,"PO",1,"DFUS","adult",NA,NA,1,"1/9/2013","50_1"
338,39.520834,-79.03125,19,8,2013,1,51,"PO",1,"DFUS","adult",NA,NA,1,"8/19/2013","51_1"
337,39.520834,-79.09375,4,4,2015,1,52,"PO",1,"DFUS","adult",NA,NA,1,"4/4/2015","52_1"
457,39.604166,-76.28125,6,12,2013,1,53,"PO",1,"DFUS","adult",NA,NA,1,"12/6/2013","53_1"
530,39.6875,-78.28125,12,5,2014,1,54,"PO",1,"DFUS","adult",NA,NA,1,"5/12/2014","54_1"
529,39.6875,-78.34375,16,3,2014,1,55,"PO",1,"DFUS","adult",NA,NA,1,"3/16/2014","55_1"
529,39.6875,-78.34375,29,4,2014,1,56,"PO",1,"DFUS","adult",NA,NA,1,"4/29/2014","56_1"
529,39.6875,-78.34375,12,5,2014,1,57,"PO",1,"DFUS","adult",NA,NA,1,"5/12/2014","57_1"
587,39.729166,-78.28125,23,12,2012,1,58,"PO",1,"DFUS","adult",NA,NA,1,"12/23/2012","58_1"
478,39.645834,-78.34375,14,5,2012,1,59,"PO",1,"DFUS","adult",NA,NA,1,"5/14/2012","59_1"
96,39.0625,-76.96875,21,10,2014,1,60,"PO",1,"DFUS","adult",NA,NA,1,"10/21/2014","60_1"
111,39.104166,-76.96875,20,1,2012,1,61,"PO",1,"DFUS","adult",NA,NA,1,"1/20/2012","61_1"
