"site.id","lat","lon","day","month","year","date","survey.conducted","survey.id","data.type","species","age","individual.id","time.to.detect","count","pass.id","survey.pass"
259,41.486934,-74.557297,5,7,1998,"7/5/1998",1,1,"PO","DOCH","adult",NA,NA,1,1,"1_1"
265,41.489384,-74.967559,14,8,1998,"8/14/1998",1,2,"PO","DOCH","adult",NA,NA,1,1,"2_1"
282,41.522015,-74.984236,3,5,1998,"5/3/1998",1,3,"PO","DOCH","adult",NA,NA,1,1,"3_1"
285,41.523513,-74.529821,8,5,1999,"5/8/1999",1,4,"PO","DOCH","adult",NA,NA,1,1,"4_1"
295,41.535178,-74.51217,17,7,1994,"7/17/1994",1,5,"PO","DOCH","NR",NA,NA,1,1,"5_1"
296,41.535243,-74.51217,25,6,1996,"6/25/1996",1,6,"PO","DOCH","adult",NA,NA,1,1,"6_1"
301,41.535596,-74.511824,11,9,1993,"9/11/1993",1,7,"PO","DOCH","NR",NA,NA,1,1,"7_1"
302,41.53566,-74.511737,16,7,1997,"7/16/1997",1,8,"PO","DOCH","adult",NA,NA,1,1,"8_1"
305,41.535966,-74.515471,15,4,1999,"4/15/1999",1,9,"PO","DOCH","adult",NA,NA,1,1,"9_1"
306,41.536096,-74.515556,21,6,1996,"6/21/1996",1,10,"PO","DOCH","adult",NA,NA,1,1,"10_1"
307,41.536193,-74.51577,15,9,1996,"9/15/1996",1,11,"PO","DOCH","NR",NA,NA,1,1,"11_1"
328,41.549894,-75.008178,10,9,1999,"9/10/1999",1,12,"PO","DOCH","adult",NA,NA,1,1,"12_1"
339,41.583941,-74.794106,20,9,1999,"9/20/1999",1,13,"PO","DOCH","adult",NA,NA,1,1,"13_1"
345,41.584694,-75.012512,3,5,1998,"5/3/1998",1,14,"PO","DOCH","adult",NA,NA,1,1,"14_1"
342,41.584282,-74.618401,11,8,1999,"8/11/1999",1,15,"PO","DOCH","adult",NA,NA,1,1,"15_1"
350,41.604524,-74.118556,10,9,1999,"9/10/1999",1,16,"PO","DOCH","adult",NA,NA,1,1,"16_1"
369,41.668444,-74.692974,5,7,2001,"7/5/2001",1,17,"PO","DOCH","adult",NA,NA,1,1,"17_1"
376,41.672576,-74.462867,20,8,1997,"8/20/1997",1,18,"PO","DOCH","adult",NA,NA,1,1,"18_1"
379,41.67297,-74.509327,20,8,1997,"8/20/1997",1,19,"PO","DOCH","adult",NA,NA,1,1,"19_1"
389,41.719754,-74.364336,21,8,1996,"8/21/1996",1,20,"PO","DOCH","adult",NA,NA,1,1,"20_1"
413,41.756288,-74.135312,8,4,1998,"4/8/1998",1,21,"PO","DOCH","adult",NA,NA,1,1,"21_1"
420,41.761661,-74.665358,9,4,1998,"4/9/1998",1,22,"PO","DOCH","adult",NA,NA,1,1,"22_1"
424,41.765197,-75.054287,9,5,1998,"5/9/1998",1,23,"PO","DOCH","adult",NA,NA,1,1,"23_1"
426,41.76629,-74.806337,1,9,1998,"9/1/1998",1,24,"PO","DOCH","adult",NA,NA,1,1,"24_1"
430,41.772274,-74.934535,28,6,1992,"6/28/1992",1,25,"PO","DOCH","adult",NA,NA,1,1,"25_1"
435,41.773126,-74.934256,7,5,1995,"5/7/1995",1,26,"PO","DOCH","adult",NA,NA,1,1,"26_1"
438,41.773655,-74.910931,11,9,1998,"9/11/1998",1,27,"PO","DOCH","adult",NA,NA,1,1,"27_1"
440,41.778892,-74.799643,1,9,1998,"9/1/1998",1,28,"PO","DOCH","adult",NA,NA,1,1,"28_1"
452,41.785603,-74.109126,2,6,1995,"6/2/1995",1,29,"PO","DOCH","adult",NA,NA,1,1,"29_1"
461,41.788998,-74.112485,22,9,1992,"9/22/1992",1,30,"PO","DOCH","adult",NA,NA,1,1,"30_1"
471,41.793829,-74.898869,9,5,1998,"5/9/1998",1,31,"PO","DOCH","adult",NA,NA,1,1,"31_1"
476,41.801223,-74.638251,2,6,1995,"6/2/1995",1,32,"PO","DOCH","adult",NA,NA,1,1,"32_1"
483,41.836192,-74.882994,1,9,1998,"9/1/1998",1,33,"PO","DOCH","adult",NA,NA,1,1,"33_1"
484,41.846188,-74.543185,10,5,1998,"5/10/1998",1,34,"PO","DOCH","adult",NA,NA,1,1,"34_1"
492,41.869481,-75.024486,18,5,1999,"5/18/1999",1,35,"PO","DOCH","adult",NA,NA,1,1,"35_1"
497,41.870562,-74.670622,29,6,1994,"6/29/1994",1,36,"PO","DOCH","adult",NA,NA,1,1,"36_1"
506,41.901954,-74.945543,12,10,1996,"10/12/1996",1,37,"PO","DOCH","adult",NA,NA,1,1,"37_1"
511,41.922468,-74.091792,7,8,1998,"8/7/1998",1,38,"PO","DOCH","adult",NA,NA,1,1,"38_1"
514,41.927005,-74.19921,30,9,1999,"9/30/1999",1,39,"PO","DOCH","adult",NA,NA,1,1,"39_1"
515,41.927586,-74.200235,30,9,1999,"9/30/1999",1,40,"PO","DOCH","adult",NA,NA,1,1,"40_1"
517,41.929383,-74.201705,10,6,1994,"6/10/1994",1,41,"PO","DOCH","adult",NA,NA,1,1,"41_1"
518,41.929383,-74.20164,30,6,1994,"6/30/1994",1,42,"PO","DOCH","adult",NA,NA,1,1,"42_1"
536,41.942068,-75.195259,1,9,1996,"9/1/1996",1,43,"PO","DOCH","adult",NA,NA,1,1,"43_1"
531,41.941435,-74.267201,30,6,1994,"6/30/1994",1,44,"PO","DOCH","adult",NA,NA,1,1,"44_1"
532,41.941537,-74.2672,20,6,1994,"6/20/1994",1,45,"PO","DOCH","adult",NA,NA,1,1,"45_1"
533,41.941588,-74.267268,10,6,1994,"6/10/1994",1,46,"PO","DOCH","adult",NA,NA,1,1,"46_1"
547,41.957493,-75.073536,12,10,1996,"10/12/1996",1,47,"PO","DOCH","adult",NA,NA,1,1,"47_1"
551,41.960732,-74.462996,14,9,1999,"9/14/1999",1,48,"PO","DOCH","adult",NA,NA,1,1,"48_1"
556,41.976678,-75.307672,9,7,1998,"7/9/1998",1,49,"PO","DOCH","adult",NA,NA,1,1,"49_1"
585,42.006153,-75.655093,29,6,1995,"6/29/1995",1,50,"PO","DOCH","NR",NA,NA,1,1,"50_1"
631,42.012994,-75.081089,6,5,1998,"5/6/1998",1,51,"PO","DOCH","adult",NA,NA,1,1,"51_1"
593,42.008324,-76.102177,6,6,1996,"6/6/1996",1,52,"PO","DOCH","NR",NA,NA,1,1,"52_1"
635,42.013444,-75.850767,13,7,1998,"7/13/1998",1,53,"PO","DOCH","NR",NA,NA,1,1,"53_1"
669,42.023326,-74.74637,3,9,1995,"9/3/1995",1,54,"PO","DOCH","adult",NA,NA,1,1,"54_1"
672,42.023656,-76.133075,28,8,1997,"8/28/1997",1,55,"PO","DOCH","NR",NA,NA,1,1,"55_1"
717,42.036826,-75.579837,19,9,1996,"9/19/1996",1,56,"PO","DOCH","NR",NA,NA,1,1,"56_1"
699,42.03172,-76.270312,28,8,1997,"8/28/1997",1,57,"PO","DOCH","NR",NA,NA,1,1,"57_1"
724,42.0383,-75.583985,6,6,2001,"6/6/2001",1,58,"PO","DOCH","NR",NA,NA,1,1,"58_1"
571,42.001346,-78.032652,3,10,1999,"10/3/1999",1,59,"PO","DOCH","NR",NA,NA,1,1,"59_1"
709,42.035111,-76.241517,6,9,1996,"9/6/1996",1,60,"PO","DOCH","NR",NA,NA,1,1,"60_1"
746,42.042049,-75.370583,24,9,1997,"9/24/1997",1,61,"PO","DOCH","adult",NA,NA,1,1,"61_1"
754,42.042794,-74.811719,19,6,1998,"6/19/1998",1,62,"PO","DOCH","NR",NA,NA,1,1,"62_1"
713,42.036194,-76.272197,28,8,1997,"8/28/1997",1,63,"PO","DOCH","NR",NA,NA,1,1,"63_1"
756,42.043147,-74.811299,18,6,1998,"6/18/1998",1,64,"PO","DOCH","adult",NA,NA,1,1,"64_1"
762,42.044013,-74.728192,31,8,1998,"8/31/1998",1,65,"PO","DOCH","adult",NA,NA,1,1,"65_1"
584,42.005899,-78.034637,12,7,1999,"7/12/1999",1,66,"PO","DOCH","NR",NA,NA,1,1,"66_1"
772,42.046133,-74.725048,31,8,1998,"8/31/1998",1,67,"PO","DOCH","adult",NA,NA,1,1,"67_1"
797,42.049987,-74.922436,19,6,1998,"6/19/1998",1,68,"PO","DOCH","adult",NA,NA,1,1,"68_1"
802,42.050122,-75.397373,14,8,1997,"8/14/1997",1,69,"PO","DOCH","adult",NA,NA,1,1,"69_1"
803,42.050157,-75.397516,24,9,1997,"9/24/1997",1,70,"PO","DOCH","adult",NA,NA,1,1,"70_1"
608,42.010141,-78.067638,30,9,1999,"9/30/1999",1,71,"PO","DOCH","NR",NA,NA,1,1,"71_1"
577,42.003608,-78.324339,17,7,1996,"7/17/1996",1,72,"PO","DOCH","NR",NA,NA,1,1,"72_1"
590,42.007124,-78.327466,24,9,1999,"9/24/1999",1,73,"PO","DOCH","NR",NA,NA,1,1,"73_1"
646,42.015773,-78.050366,12,7,1999,"7/12/1999",1,74,"PO","DOCH","NR",NA,NA,1,1,"74_1"
653,42.017777,-77.98125,18,7,1996,"7/18/1996",1,75,"PO","DOCH","NR",NA,NA,1,1,"75_1"
594,42.008398,-78.327743,10,7,1996,"7/10/1996",1,76,"PO","DOCH","NR",NA,NA,1,1,"76_1"
598,42.008833,-78.327602,24,9,1999,"9/24/1999",1,77,"PO","DOCH","NR",NA,NA,1,1,"77_1"
600,42.009209,-78.327925,17,7,1996,"7/17/1996",1,78,"PO","DOCH","NR",NA,NA,1,1,"78_1"
827,42.056498,-75.610084,6,6,2001,"6/6/2001",1,79,"PO","DOCH","NR",NA,NA,1,1,"79_1"
667,42.022702,-77.963657,18,7,1996,"7/18/1996",1,80,"PO","DOCH","NR",NA,NA,1,1,"80_1"
844,42.061763,-75.407974,14,8,1997,"8/14/1997",1,81,"PO","DOCH","adult",NA,NA,1,1,"81_1"
829,42.057314,-76.184791,29,7,1997,"7/29/1997",1,82,"PO","DOCH","NR",NA,NA,1,1,"82_1"
862,42.065527,-75.122353,22,5,1997,"5/22/1997",1,83,"PO","DOCH","NR",NA,NA,1,1,"83_1"
865,42.06558,-75.204688,9,4,1991,"4/9/1991",1,84,"PO","DOCH","adult",NA,NA,1,1,"84_1"
867,42.065624,-75.204747,0,9,1991,"8/31/1991",1,85,"PO","DOCH","adult",NA,NA,1,1,"85_1"
641,42.014548,-78.555578,30,6,1998,"6/30/1998",1,86,"PO","DOCH","NR",NA,NA,1,1,"86_1"
885,42.069599,-74.690621,31,8,1998,"8/31/1998",1,87,"PO","DOCH","adult",NA,NA,1,1,"87_1"
651,42.016818,-78.530892,1,7,1998,"7/1/1998",1,88,"PO","DOCH","NR",NA,NA,1,1,"88_1"
614,42.011018,-78.765669,16,8,1998,"8/16/1998",1,89,"PO","DOCH","NR",NA,NA,1,1,"89_1"
621,42.011184,-78.764876,21,6,1993,"6/21/1993",1,90,"PO","DOCH","NR",NA,NA,1,1,"90_1"
592,42.007445,-78.886825,19,8,1998,"8/19/1998",1,91,"PO","DOCH","NR",NA,NA,1,1,"91_1"
894,42.073045,-74.695075,7,7,1998,"7/7/1998",1,92,"PO","DOCH","NR",NA,NA,1,1,"92_1"
625,42.012163,-78.762847,17,9,1998,"9/17/1998",1,93,"PO","DOCH","NR",NA,NA,1,1,"93_1"
