"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","accuracy_m","coordinate.info","notes","weather","air.temp","date","count","survey.pass"
692,44.048703,-73.291239,4,10,2003,1,1,"PO",1,"DFUS","adult",NA,NA,150,NA,NA,"Rain",10,"10/4/2003",1,"1_1"
689,44.047859,-73.282958,10,10,2017,1,2,"PO",1,"DFUS","larva",NA,NA,700,"Lat and long added by J.A., observer, using Google Earth. ","Weather History: rain yesterday","Clear",19,"10/10/2017",1,"2_1"
689,44.047859,-73.282958,10,10,2017,1,3,"PO",1,"DFUS","larva",NA,NA,700,"Lat and long added by J.A., observer, using Google Earth. ","Weather History: rain yesterday","Clear",19,"10/10/2017",1,"3_1"
689,44.047859,-73.282958,10,10,2017,1,4,"PO",1,"DFUS","larva",NA,NA,700,"Lat and long added by J.A., observer, using Google Earth. ","Weather History: rain yesterday","Clear",19,"10/10/2017",1,"4_1"
691,44.048234,-73.279732,23,8,2018,1,5,"PO",1,"DFUS","NR",NA,NA,100,"Lat and long added by J.A. using Google Earth. ","Weather History: rain yesterday, hot summer","clear",NA,"8/23/2018",1,"5_1"
691,44.048234,-73.279732,23,8,2018,1,6,"PO",1,"DFUS","NR",NA,NA,100,"Lat and long added by J.A. using Google Earth. ","Weather History: rain yesterday, hot summer","clear",NA,"8/23/2018",1,"6_1"
1146,44.744054,-72.330119,24,4,2019,1,7,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by J.A. using Google Earth and camera data. ",NA,"light rain",1,"4/24/2019",1,"7_1"
1146,44.744054,-72.330119,24,4,2019,1,8,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by J.A. using Google Earth and camera data. ",NA,"light rain",1,"4/24/2019",1,"8_1"
1146,44.744054,-72.330119,24,4,2019,1,9,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by J.A. using Google Earth and camera data. ",NA,"light rain",1,"4/24/2019",1,"9_1"
1146,44.744054,-72.330119,24,4,2019,1,10,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by J.A. using Google Earth and camera data. ",NA,"light rain",1,"4/24/2019",1,"10_1"
1146,44.744054,-72.330119,24,4,2019,1,11,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by J.A. using Google Earth and camera data. ",NA,"light rain",1,"4/24/2019",1,"11_1"
193,43.29585,-72.715242,23,8,2005,1,12,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by S.C. using G.E.","Weather history: Cooling; no rain in 2 days.  Documented on both a single species form and a multiple species form,
No malformity noticed, only  one counted, approximately 10 cm long, found under a rock, it was clinging t the moss on another rock; it didn’t move when exposed, partly cloudy 20 degrees C","Cool, breezy; partly cloudy.",20,"8/23/2005",1,"12_1"
208,43.326521,-72.728986,25,8,2005,1,13,"PO",1,"DFUS","NR",NA,NA,1000,"Lat and long added by CB using GE","Weather history: Previous 2 days were cool, partly cloudy with brief, isolated showers","Cool; partly cloudy.",21,"8/25/2005",1,"13_1"
