"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","species","age","individual.id","time.to.detect","count","date","pass.id","survey.pass"
57,37.37167,-81.92333,24,6,2000,1,1,"PO","ECIR","NR",NA,NA,1,"2000-06-24",1,"1_1"
132,37.48223,-81.38778,23,6,2000,1,2,"PO","ECIR","NR",NA,NA,1,"2000-06-23",1,"2_1"
1271,38.2591,-81.67473,27,6,2015,1,3,"PO","ECIR","NR",NA,NA,1,"2015-06-27",1,"3_1"
1178,38.21473,-80.90472,19,5,2003,1,4,"PO","ECIR","NR",NA,NA,1,"2003-05-19",1,"4_1"
225,37.59156,-80.50511,10,10,2003,1,5,"PO","ECIR","NR",NA,NA,1,"2003-10-10",1,"5_1"
681,37.89126,-80.38951,4,11,2003,1,6,"PO","ECIR","NR",NA,NA,1,"2003-11-04",1,"6_1"
1501,38.40376,-82.43517,25,4,1966,1,7,"PO","ECIR","NR",NA,NA,1,"1966-04-25",1,"7_1"
1501,38.40376,-82.43517,25,3,1949,1,8,"PO","ECIR","NR",NA,NA,1,"1949-03-25",1,"8_1"
1461,38.39316,-82.45343,21,2,1945,1,9,"PO","ECIR","NR",NA,NA,1,"1945-02-21",1,"9_1"
1503,38.40437,-82.4335,18,3,1940,1,10,"PO","ECIR","NR",NA,NA,1,"1940-03-18",1,"10_1"
1461,38.39316,-82.45343,4,3,1938,1,11,"PO","ECIR","NR",NA,NA,1,"1938-03-04",1,"11_1"
1501,38.40376,-82.43517,14,8,1943,1,12,"PO","ECIR","NR",NA,NA,1,"1943-08-14",1,"12_1"
1461,38.39316,-82.45343,19,9,1940,1,13,"PO","ECIR","NR",NA,NA,1,"1940-09-19",1,"13_1"
2366,38.70118,-82.16644,21,9,1940,1,14,"PO","ECIR","NR",NA,NA,1,"1940-09-21",1,"14_1"
1461,38.39316,-82.45343,13,6,1941,1,15,"PO","ECIR","NR",NA,NA,1,"1941-06-13",1,"15_1"
129,37.47745,-81.06167,1,7,1931,1,16,"PO","ECIR","NR",NA,NA,1,"1931-07-01",1,"16_1"
225,37.59156,-80.50511,10,6,2003,1,17,"PO","ECIR","NR",NA,NA,1,"2003-06-10",1,"17_1"
681,37.89126,-80.38951,14,7,2003,1,18,"PO","ECIR","NR",NA,NA,1,"2003-07-14",1,"18_1"
395,37.75629,-80.55356,9,10,2003,1,19,"PO","ECIR","NR",NA,NA,1,"2003-10-09",1,"19_1"
1367,38.31956,-80.60098,1,4,1994,1,20,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"20_1"
1277,38.2604,-81.66998,6,9,1995,1,21,"PO","ECIR","NR",NA,NA,1,"1995-09-06",1,"21_1"
1021,38.1102,-81.88964,16,6,1998,1,22,"PO","ECIR","NR",NA,NA,1,"1998-06-16",1,"22_1"
1000,38.08291,-81.9568,1,8,1998,1,23,"PO","ECIR","NR",NA,NA,1,"1998-08-01",1,"23_1"
1015,38.09996,-81.89802,24,6,1998,1,24,"PO","ECIR","NR",NA,NA,1,"1998-06-24",1,"24_1"
1011,38.09024,-81.95678,1,8,1998,1,25,"PO","ECIR","NR",NA,NA,1,"1998-08-01",1,"25_1"
677,37.88765,-82.0194,17,6,1998,1,26,"PO","ECIR","NR",NA,NA,1,"1998-06-17",1,"26_1"
1110,38.18393,-81.08148,1,4,1994,1,27,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"27_1"
1126,38.19403,-81.06899,1,4,1994,1,28,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"28_1"
1177,38.21454,-81.02945,1,4,1994,1,29,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"29_1"
1139,38.197,-81.00974,1,4,1994,1,30,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"30_1"
1187,38.21908,-80.96227,1,4,1994,1,31,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"31_1"
1115,38.18688,-80.95595,1,4,1994,1,32,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"32_1"
1049,38.13825,-80.95458,1,4,1994,1,33,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"33_1"
1328,38.29866,-80.50961,1,4,1994,1,34,"PO","ECIR","NR",NA,NA,1,"1994-04-01",1,"34_1"
322,37.69904,-80.901,1,5,1994,1,35,"PO","ECIR","NR",NA,NA,1,"1994-05-01",1,"35_1"
1757,38.46393,-82.11435,4,4,2008,1,36,"PO","ECIR","NR",NA,NA,1,"2008-04-04",1,"36_1"
11,37.27996,-81.69223,1,6,2007,1,37,"PO","ECIR","NR",NA,NA,1,"2007-06-01",1,"37_1"
1350,38.30772,-82.32922,23,4,1992,1,38,"PO","ECIR","NR",NA,NA,1,"1992-04-23",1,"38_1"
39,37.32058,-81.41981,30,5,2007,1,39,"PO","ECIR","NR",NA,NA,1,"2007-05-30",1,"39_1"
680,37.88949,-82.02041,31,5,2007,1,40,"PO","ECIR","NR",NA,NA,1,"2007-05-31",1,"40_1"
280,37.63722,-81.53232,30,5,2007,1,41,"PO","ECIR","NR",NA,NA,1,"2007-05-30",1,"41_1"
280,37.63722,-81.53232,30,5,2007,1,42,"PO","ECIR","NR",NA,NA,1,"2007-05-30",1,"42_1"
619,37.84949,-82.20702,31,5,2007,1,43,"PO","ECIR","NR",NA,NA,1,"2007-05-31",1,"43_1"
619,37.84949,-82.20702,31,5,2007,1,44,"PO","ECIR","NR",NA,NA,1,"2007-05-31",1,"44_1"
619,37.84949,-82.20702,31,5,2007,1,45,"PO","ECIR","NR",NA,NA,1,"2007-05-31",1,"45_1"
4,37.25766,-81.70315,1,6,2007,1,46,"PO","ECIR","NR",NA,NA,1,"2007-06-01",1,"46_1"
4,37.25766,-81.70315,1,6,2007,1,47,"PO","ECIR","NR",NA,NA,1,"2007-06-01",1,"47_1"
444,37.78745,-80.64644,5,6,2007,1,48,"PO","ECIR","NR",NA,NA,1,"2007-06-05",1,"48_1"
253,37.61151,-80.36339,2,6,2007,1,49,"PO","ECIR","NR",NA,NA,1,"2007-06-02",1,"49_1"
270,37.62112,-80.36084,2,6,2007,1,50,"PO","ECIR","NR",NA,NA,1,"2007-06-02",1,"50_1"
194,37.55123,-80.4732,3,6,2007,1,51,"PO","ECIR","NR",NA,NA,1,"2007-06-03",1,"51_1"
194,37.55123,-80.4732,3,6,2007,1,52,"PO","ECIR","NR",NA,NA,1,"2007-06-03",1,"52_1"
194,37.55123,-80.4732,3,6,2007,1,53,"PO","ECIR","NR",NA,NA,1,"2007-06-03",1,"53_1"
194,37.55123,-80.4732,3,6,2007,1,54,"PO","ECIR","NR",NA,NA,1,"2007-06-03",1,"54_1"
194,37.55123,-80.4732,3,6,2007,1,55,"PO","ECIR","NR",NA,NA,1,"2007-06-03",1,"55_1"
131,37.47937,-80.59315,3,6,2007,1,56,"PO","ECIR","NR",NA,NA,1,"2007-06-03",1,"56_1"
131,37.47937,-80.59315,3,6,2007,1,57,"PO","ECIR","NR",NA,NA,1,"2007-06-03",1,"57_1"
265,37.61987,-80.36172,3,6,2007,1,58,"PO","ECIR","NR",NA,NA,1,"2007-06-03",1,"58_1"
995,38.0795,-81.83047,21,6,2007,1,59,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"59_1"
1022,38.11084,-82.18293,21,6,2007,1,60,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"60_1"
1022,38.11084,-82.18293,21,6,2007,1,61,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"61_1"
995,38.0795,-81.83047,21,6,2007,1,62,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"62_1"
995,38.0795,-81.83047,21,6,2007,1,63,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"63_1"
995,38.0795,-81.83047,21,6,2007,1,64,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"64_1"
995,38.0795,-81.83047,21,6,2007,1,65,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"65_1"
995,38.0795,-81.83047,21,6,2007,1,66,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"66_1"
995,38.0795,-81.83047,21,6,2007,1,67,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"67_1"
1013,38.09467,-81.89218,21,6,2007,1,68,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"68_1"
1013,38.09467,-81.89218,21,6,2007,1,69,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"69_1"
1013,38.09467,-81.89218,21,6,2007,1,70,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"70_1"
841,37.98863,-82.37174,21,6,2007,1,71,"PO","ECIR","NR",NA,NA,1,"2007-06-21",1,"71_1"
84,37.4195,-81.86568,26,6,2006,1,72,"PO","ECIR","NR",NA,NA,1,"2006-06-26",1,"72_1"
35,37.31438,-81.00384,3,7,2006,1,73,"PO","ECIR","NR",NA,NA,1,"2006-07-03",1,"73_1"
245,37.60763,-81.52889,3,7,2006,1,74,"PO","ECIR","NR",NA,NA,1,"2006-07-03",1,"74_1"
