"","site.id","lat","lon","stateProvince","source","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"1","Museum136",36.087222,-81.9275,"North Carolina","Museum",NA,"1995-08-11",11,8,1995,1,1,1,"1_1","PO","GPOR","NR",NA,NA,1
"2","Museum201",41.3675,-75.196667,"Pennsylvania","Museum",NA,"2000-07-17",17,7,2000,1,2,1,"2_1","PO","GPOR","NR",NA,NA,1
"3","Museum194",40.646111,-77.762222,"Pennsylvania","Museum",NA,"1999-06-28",28,6,1999,1,3,1,"3_1","PO","GPOR","NR",NA,NA,1
"4","Museum161",36.679389,-81.6565,"Virginia","Museum",NA,"2008-06-14",14,6,2008,1,4,1,"4_1","PO","GPOR","NR",NA,NA,1
"5","Museum210",42.34444,-72.7575,"Massachusetts","Museum",NA,"1996-08-21",21,8,1996,1,5,1,"5_1","PO","GPOR","NR",NA,NA,1
"6","Museum208",41.97732,-71.78118,"Rhode Island","Museum",1631,"2008-07-22",22,7,2008,1,6,1,"6_1","PO","GPOR","NR",NA,NA,1
"7","Museum212",42.661,-71.795,"Massachusetts","Museum",NA,"2013-09-29",29,9,2013,1,7,1,"7_1","PO","GPOR","NR",NA,NA,1
"8","Museum298",45.33359,-69.480003,"Maine","Museum",1851,"2008-09-05",5,9,2008,1,8,1,"8_1","PO","GPOR","NR",NA,NA,1
"9","Museum239",44.47932,-72.802697,"Vermont","Museum",1851,"2016-08-10",10,8,2016,1,9,1,"9_1","PO","GPOR","NR",NA,NA,1
"10","Museum264",44.812939,-70.043247,"Maine","Museum",1851,"2020-07-07",7,7,2020,1,10,1,"10_1","PO","GPOR","NR",NA,NA,1
"11","Museum249",44.624905,-69.20902,"Maine","Museum",1851,"2008-05-26",26,5,2008,1,11,1,"11_1","PO","GPOR","NR",NA,NA,1
"12","Museum215",43.863561,-70.977339,"Maine","Museum",1851,"2008-08-27",27,8,2008,1,12,1,"12_1","PO","GPOR","NR",NA,NA,1
"13","Museum229",44.283463,-70.638636,"Maine","Museum",1851,"2008-06-10",10,6,2008,1,13,1,"13_1","PO","GPOR","NR",NA,NA,1
"14","Museum307",45.64556,-69.378423,"Maine","Museum",1851,"2008-09-04",4,9,2008,1,14,1,"14_1","PO","GPOR","NR",NA,NA,1
"15","Museum285",45.079976,-70.313928,"Maine","Museum",1851,"2008-09-18",18,9,2008,1,15,1,"15_1","PO","GPOR","NR",NA,NA,1
"16","Museum290",45.158803,-70.207274,"Maine","Museum",1851,"2008-09-18",18,9,2008,1,16,1,"16_1","PO","GPOR","NR",NA,NA,1
"17","Museum282",45.062118,-69.902362,"Maine","Museum",1851,"2014-09-28",28,9,2014,1,17,1,"17_1","PO","GPOR","NR",NA,NA,1
