"site.id","lat","lon","round","date","day","month","year","disturbance","elevation_m","mixedmesic","streamless50m","survey.id","data.type","time.to.detect","individual.id","survey.conducted","pass.id","survey.pass","method","species","age","count"
"BC001",35.676247028119,-83.4778233967752,1,"3/31/2000",31,3,2000,1,841.248,1,1,9,"count",NA,NA,1,1,"9_1","NCT & CBS","DFCO","adult",0
"BC001",35.676247028119,-83.4778233967752,1,"3/31/2000",31,3,2000,1,841.248,1,1,9,"count",NA,NA,1,1,"9_1","NCT & CBS","DIMI","adult",0
"BC001",35.676247028119,-83.4778233967752,1,"3/31/2000",31,3,2000,1,841.248,1,1,9,"count",NA,NA,1,1,"9_1","NCT & CBS","DWRI","adult",0
"BC001",35.676247028119,-83.4778233967752,1,"3/31/2000",31,3,2000,1,841.248,1,1,9,"count",NA,NA,1,1,"9_1","NCT & CBS","EWIL","adult",2
"BC001",35.676247028119,-83.4778233967752,1,"3/31/2000",31,3,2000,1,841.248,1,1,9,"count",NA,NA,1,1,"9_1","NCT & CBS","PGCO","adult",1
"BC001",35.676247028119,-83.4778233967752,1,"3/31/2000",31,3,2000,1,841.248,1,1,9,"count",NA,NA,1,1,"9_1","NCT & CBS","PJOR","adult",0
"BC001",35.676247028119,-83.4778233967752,1,"3/31/2000",31,3,2000,1,841.248,1,1,9,"count",NA,NA,1,1,"9_1","NCT & CBS","PLSE","adult",2
"BC001",35.676247028119,-83.4778233967752,2,"4/18/2000",18,4,2000,1,841.248,1,1,7,"count",NA,NA,1,1,"7_1","NCT & CBS","DFCO","adult",0
"BC001",35.676247028119,-83.4778233967752,2,"4/18/2000",18,4,2000,1,841.248,1,1,7,"count",NA,NA,1,1,"7_1","NCT & CBS","DIMI","adult",0
"BC001",35.676247028119,-83.4778233967752,2,"4/18/2000",18,4,2000,1,841.248,1,1,7,"count",NA,NA,1,1,"7_1","NCT & CBS","DWRI","adult",0
"BC001",35.676247028119,-83.4778233967752,2,"4/18/2000",18,4,2000,1,841.248,1,1,7,"count",NA,NA,1,1,"7_1","NCT & CBS","EWIL","adult",2
"BC001",35.676247028119,-83.4778233967752,2,"4/18/2000",18,4,2000,1,841.248,1,1,7,"count",NA,NA,1,1,"7_1","NCT & CBS","PGCO","adult",1
"BC001",35.676247028119,-83.4778233967752,2,"4/18/2000",18,4,2000,1,841.248,1,1,7,"count",NA,NA,1,1,"7_1","NCT & CBS","PJOR","adult",0
"BC001",35.676247028119,-83.4778233967752,2,"4/18/2000",18,4,2000,1,841.248,1,1,7,"count",NA,NA,1,1,"7_1","NCT & CBS","PLSE","adult",0
"BC001",35.676247028119,-83.4778233967752,3,"5/4/2000",4,5,2000,1,841.248,1,1,3,"count",NA,NA,1,1,"3_1","NCT & CBS","DFCO","adult",0
"BC001",35.676247028119,-83.4778233967752,3,"5/4/2000",4,5,2000,1,841.248,1,1,3,"count",NA,NA,1,1,"3_1","NCT & CBS","DIMI","adult",0
"BC001",35.676247028119,-83.4778233967752,3,"5/4/2000",4,5,2000,1,841.248,1,1,3,"count",NA,NA,1,1,"3_1","NCT & CBS","DWRI","adult",0
"BC001",35.676247028119,-83.4778233967752,3,"5/4/2000",4,5,2000,1,841.248,1,1,3,"count",NA,NA,1,1,"3_1","NCT & CBS","EWIL","adult",0
"BC001",35.676247028119,-83.4778233967752,3,"5/4/2000",4,5,2000,1,841.248,1,1,3,"count",NA,NA,1,1,"3_1","NCT & CBS","PGCO","adult",0
"BC001",35.676247028119,-83.4778233967752,3,"5/4/2000",4,5,2000,1,841.248,1,1,3,"count",NA,NA,1,1,"3_1","NCT & CBS","PJOR","adult",0
"BC001",35.676247028119,-83.4778233967752,3,"5/4/2000",4,5,2000,1,841.248,1,1,3,"count",NA,NA,1,1,"3_1","NCT & CBS","PLSE","adult",0
"BC001",35.676247028119,-83.4778233967752,4,"5/14/2000",14,5,2000,1,841.248,1,1,5,"count",NA,NA,1,1,"5_1","NCT & CBS","DFCO","adult",0
"BC001",35.676247028119,-83.4778233967752,4,"5/14/2000",14,5,2000,1,841.248,1,1,5,"count",NA,NA,1,1,"5_1","NCT & CBS","DIMI","adult",0
"BC001",35.676247028119,-83.4778233967752,4,"5/14/2000",14,5,2000,1,841.248,1,1,5,"count",NA,NA,1,1,"5_1","NCT & CBS","DWRI","adult",0
"BC001",35.676247028119,-83.4778233967752,4,"5/14/2000",14,5,2000,1,841.248,1,1,5,"count",NA,NA,1,1,"5_1","NCT & CBS","EWIL","adult",0
"BC001",35.676247028119,-83.4778233967752,4,"5/14/2000",14,5,2000,1,841.248,1,1,5,"count",NA,NA,1,1,"5_1","NCT & CBS","PGCO","adult",0
"BC001",35.676247028119,-83.4778233967752,4,"5/14/2000",14,5,2000,1,841.248,1,1,5,"count",NA,NA,1,1,"5_1","NCT & CBS","PJOR","adult",0
"BC001",35.676247028119,-83.4778233967752,4,"5/14/2000",14,5,2000,1,841.248,1,1,5,"count",NA,NA,1,1,"5_1","NCT & CBS","PLSE","adult",0
"BC001",35.676247028119,-83.4778233967752,5,"5/31/2000",31,5,2000,1,841.248,1,1,10,"count",NA,NA,1,1,"10_1","NCT & CBS","DFCO","adult",0
"BC001",35.676247028119,-83.4778233967752,5,"5/31/2000",31,5,2000,1,841.248,1,1,10,"count",NA,NA,1,1,"10_1","NCT & CBS","DIMI","adult",0
"BC001",35.676247028119,-83.4778233967752,5,"5/31/2000",31,5,2000,1,841.248,1,1,10,"count",NA,NA,1,1,"10_1","NCT & CBS","DWRI","adult",0
