"year","date","day","month","site.id","count","tempc","litter.depth.cm","woody.cover.number","number.of.rocks","day.since.rain","position","transaspect","landform.index","terrainshape.index","percent.slope","photsynthetic.active.radiation.percent","soil.water.holding.capacity","lat","lon","species","data.type","time.to.detect","age","survey.conducted","individual.id","survey.id","pass.id","survey.pass"
2010,"4/9/2010",9,4,1.1,0,20.73,3.17,5,11,6,1,1.694,2.313,-1.625,12,0.094,9.316,37.48009089,-91.27011763,"PLSE","count",NA,"NR",1,NA,5,1,"5_1"
2010,"4/9/2010",9,4,1.2,0,23,2.17,2,4,6,2,0.792,15.688,1,30.5,0.134,6.401,37.48017658,-91.26886121,"PLSE","count",NA,"NR",1,NA,31,1,"31_1"
2010,"4/9/2010",9,4,2.1,0,18.8,3.5,7,0,6,1,1.542,7.75,1.625,23.5,0.105,8.6,37.47746788,-91.27104415,"PLSE","count",NA,"NR",1,NA,59,1,"59_1"
2010,"4/9/2010",9,4,2.2,0,20.27,2.33,1,6,6,2,1.354,7.125,-0.813,19,0.092,7.329,37.47715833,-91.26983286,"PLSE","count",NA,"NR",1,NA,86,1,"86_1"
2010,"4/9/2010",9,4,3.1,0,18.2,3.67,5,5,6,1,1.073,6.375,-2.938,23.5,0.054,10.331,37.47836537,-91.26763985,"PLSE","count",NA,"NR",1,NA,112,1,"112_1"
2010,"4/9/2010",9,4,3.2,0,22.53,3,3,10,6,2,1.405,10.813,-1.063,34,0.07,11.828,37.47778679,-91.26662204,"PLSE","count",NA,"NR",1,NA,139,1,"139_1"
2010,"4/9/2010",9,4,5.2,0,12.73,2,4,3,6,2,1.565,14.125,2.688,31,0.072,9.315,37.48067256,-91.27277731,"PLSE","count",NA,"NR",1,NA,247,1,"247_1"
2010,"4/9/2010",9,4,5.1,1,13.87,2.83,4,5,6,1,1.936,2.563,0.063,7,0.088,9.815,37.48135629,-91.27369574,"PLSE","count",NA,"NR",1,NA,220,1,"220_1"
2010,"4/9/2010",9,4,4.1,2,14.2,2.17,5,10,6,1,0.925,4.938,1.188,20,0.051,12.431,37.47625498,-91.25920405,"PLSE","count",NA,"NR",1,NA,166,1,"166_1"
2010,"4/9/2010",9,4,4.2,2,14,3.5,0,4,6,2,1.852,12.875,5.188,23,0.196,6.632,37.47525567,-91.25935509,"PLSE","count",NA,"NR",1,NA,193,1,"193_1"
2010,"4/10/2010",10,4,6.1,0,17.73,2.67,4,6,7,1,1.819,3.75,-2,28,0.17,7.468,37.47545396,-91.26568972,"PLSE","count",NA,"NR",1,NA,275,1,"275_1"
2010,"4/10/2010",10,4,9.1,0,22.93,2.5,5,3,7,1,1.819,5,0,18,0.06,9.599,37.47055512,-91.26574709,"PLSE","count",NA,"NR",1,NA,437,1,"437_1"
2010,"4/10/2010",10,4,10.1,0,20.93,3.17,3,0,7,1,1.974,2.938,-1.375,7,0.067,13.263,37.46910757,-91.26442046,"PLSE","count",NA,"NR",1,NA,491,1,"491_1"
2010,"4/10/2010",10,4,10.2,0,21.4,1.33,3,9,7,2,0.603,4.313,-1.875,30.5,0.108,6.788,37.46821352,-91.26381414,"PLSE","count",NA,"NR",1,NA,518,1,"518_1"
