"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"iNat37",33.383273,-84.61419,"Georgia",5,"2013-12-21T13:54:55",21,12,2013,1,1,1,"1_1","PO","PLSE","NR",NA,NA,1
"iNat1291",37.800832,-90.300493,"Missouri",643,"2008-04-26",26,4,2008,1,2,1,"2_1","PO","PLSE","NR",NA,NA,1
"iNat1129",35.611931,-83.549657,"Tennessee",52466,"2007-03-24",24,3,2007,1,3,1,"3_1","PO","PLSE","NR",NA,NA,1
"iNat36",33.383233,-84.614339,"Georgia",10,"2013-12-21T15:00",21,12,2013,1,4,1,"4_1","PO","PLSE","NR",NA,NA,1
"iNat925",35.053889,-83.189378,"North Carolina",208,"2025-05-27T20:16:50",27,5,2025,1,5,1,"5_1","PO","PLSE","NR",NA,NA,1
"iNat917",35.05247,-83.188263,"North Carolina",13,"2025-05-27T20:17:23",27,5,2025,1,6,1,"6_1","PO","PLSE","NR",NA,NA,1
"iNat1138",35.635747,-83.493908,"Tennessee",NA,"2025-06-17T15:34:48",17,6,2025,1,7,1,"7_1","PO","PLSE","NR",NA,NA,1
"iNat1002",35.277715,-83.073658,"North Carolina",28706,"2025-06-10T16:21:04",10,6,2025,1,8,1,"8_1","PO","PLSE","NR",NA,NA,1
"iNat934",35.065862,-83.048628,"North Carolina",28734,"2025-06-01T13:26:36",1,6,2025,1,9,1,"9_1","PO","PLSE","NR",NA,NA,1
"iNat643",34.637428,-94.330547,"Arkansas",28790,"2025-03-26T10:28",26,3,2025,1,10,1,"10_1","PO","PLSE","NR",NA,NA,1
"iNat1103",35.590227,-83.370385,"North Carolina",4,"2025-05-30T10:27:23",30,5,2025,1,11,1,"11_1","PO","PLSE","NR",NA,NA,1
"iNat1011",35.328113,-83.100508,"North Carolina",87,"2025-05-13T22:39:49",13,5,2025,1,12,1,"12_1","PO","PLSE","NR",NA,NA,1
"iNat905",35.009822,-83.25038,"North Carolina",4,"2025-05-26T15:46:13",26,5,2025,1,13,1,"13_1","PO","PLSE","NR",NA,NA,1
"iNat906",35.009859,-83.250476,"North Carolina",6,"2025-05-26T15:43:55",26,5,2025,1,14,1,"14_1","PO","PLSE","NR",NA,NA,1
"iNat1210",35.755669,-82.957353,"North Carolina",28649,"2025-05-14T15:19:18",14,5,2025,1,15,1,"15_1","PO","PLSE","NR",NA,NA,1
"iNat1144",35.636433,-83.494055,"Tennessee",4,"2025-05-22T16:22:26",22,5,2025,1,16,1,"16_1","PO","PLSE","NR",NA,NA,1
"iNat972",35.20435,-83.033255,"North Carolina",21,"2025-05-15T10:25:06",15,5,2025,1,17,1,"17_1","PO","PLSE","NR",NA,NA,1
"iNat597",34.463665,-93.997152,"Arkansas",139,"2025-04-06T17:52:52",6,4,2025,1,18,1,"18_1","PO","PLSE","NR",NA,NA,1
"iNat1145",35.636445,-83.493995,"Tennessee",7,"2025-05-22T16:21:34",22,5,2025,1,19,1,"19_1","PO","PLSE","NR",NA,NA,1
"iNat618",34.570874,-94.150904,"Arkansas",25703,"2025-04-12T10:33:42",12,4,2025,1,20,1,"20_1","PO","PLSE","NR",NA,NA,1
"iNat433",34.132675,-94.680305,"Oklahoma",189,"2025-03-20T16:03:46",20,3,2025,1,21,1,"21_1","PO","PLSE","NR",NA,NA,1
"iNat1009",35.326253,-83.951675,"North Carolina",10,"2025-04-25T11:18",25,4,2025,1,22,1,"22_1","PO","PLSE","NR",NA,NA,1
"iNat788",34.861273,-94.645035,"Oklahoma",61848,"2025-03-16T15:22:43",16,3,2025,1,23,1,"23_1","PO","PLSE","NR",NA,NA,1
"iNat1090",35.586462,-83.419237,"North Carolina",3657,"2025-04-24T17:25:10",24,4,2025,1,24,1,"24_1","PO","PLSE","NR",NA,NA,1
"iNat749",34.714823,-94.67363,"Oklahoma",61,"2025-05-11T21:19",11,5,2025,1,25,1,"25_1","PO","PLSE","NR",NA,NA,1
"iNat232",33.928523,-84.48292,"Georgia",28902,"2013-03-25T10:01",25,3,2013,1,26,1,"26_1","PO","PLSE","NR",NA,NA,1
"iNat1091",35.586563,-83.359263,"North Carolina",708,"2025-04-26T15:02",26,4,2025,1,27,1,"27_1","PO","PLSE","NR",NA,NA,1
