"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"Museum215",35.0414,-83.0591,"North Carolina",1609,"1965-04-04",4,4,1965,1,1,1,"1_1","PO","PLSE","NR",NA,NA,1
"Museum354",35.4057,-82.6535,"North Carolina",201,"1997-09-21",21,9,1997,1,2,1,"2_1","PO","PLSE","NR",NA,NA,1
"Museum356",35.4146,-83.176,"North Carolina",201,"1977-10-28",28,10,1977,1,3,1,"3_1","PO","PLSE","NR",NA,NA,1
"Museum299",35.2914,-82.9172,"North Carolina",20117,"1972-05-18",18,5,1972,1,4,1,"4_1","PO","PLSE","NR",NA,NA,1
"Museum190",34.715557,-94.674674,"Oklahoma",389,"2011-05-04",4,5,2011,1,5,1,"5_1","PO","PLSE","NR",NA,NA,1
"Museum51",34.34713,-94.41587,"Arkansas",NA,"2009-10-25",25,10,2009,1,6,1,"6_1","PO","PLSE","NR",NA,NA,1
"Museum157",34.690585,-94.302646,"Arkansas",NA,"2005-04-05",5,4,2005,1,7,1,"7_1","PO","PLSE","NR",NA,NA,1
"Museum186",34.711253,-94.112346,"Arkansas",NA,"2005-04-04",4,4,2005,1,8,1,"8_1","PO","PLSE","NR",NA,NA,1
"Museum68",34.428527,-94.150486,"Arkansas",NA,"2005-04-06",6,4,2005,1,9,1,"9_1","PO","PLSE","NR",NA,NA,1
"Museum149",34.686686,-94.358302,"Arkansas",NA,"2005-04-05",5,4,2005,1,10,1,"10_1","PO","PLSE","NR",NA,NA,1
"Museum126",34.68057,-94.60383,"Oklahoma",NA,"2004-06-06",6,6,2004,1,11,1,"11_1","PO","PLSE","NR",NA,NA,1
"Museum152",34.6871,-94.24122,"Arkansas",NA,"2008-04-04",4,4,2008,1,12,1,"12_1","PO","PLSE","NR",NA,NA,1
"Museum39",34.12941,-94.40053,"Arkansas",NA,"2008-05-04",4,5,2008,1,13,1,"13_1","PO","PLSE","NR",NA,NA,1
"Museum113",34.6492,-93.95208,"Arkansas",NA,"2007-04-16",16,4,2007,1,14,1,"14_1","PO","PLSE","NR",NA,NA,1
"Museum193",34.72989,-94.38028,"Arkansas",NA,"2007-10-25",25,10,2007,1,15,1,"15_1","PO","PLSE","NR",NA,NA,1
"Museum183",34.70601,-94.33724,"Arkansas",NA,"2006-04-04",4,4,2006,1,16,1,"16_1","PO","PLSE","NR",NA,NA,1
"Museum168",34.69226,-94.31475,"Arkansas",NA,"2006-04-04",4,4,2006,1,17,1,"17_1","PO","PLSE","NR",NA,NA,1
"Museum67",34.41232,-93.82145,"Arkansas",NA,"2006-03-13",13,3,2006,1,18,1,"18_1","PO","PLSE","NR",NA,NA,1
"Museum71",34.43742,-94.17537,"Arkansas",NA,"2006-03-12",12,3,2006,1,19,1,"19_1","PO","PLSE","NR",NA,NA,1
"Museum155",34.68984,-94.43974,"Arkansas",NA,"2006-04-03",3,4,2006,1,20,1,"20_1","PO","PLSE","NR",NA,NA,1
"Museum200",34.82,-85.65,"Alabama",50,"1951-04-07",7,4,1951,1,21,1,"21_1","PO","PLSE","NR",NA,NA,1
"Museum9",32.8806,-83.6945,"Georgia",NA,"1997-03-01",1,3,1997,1,22,1,"22_1","PO","PLSE","NR",NA,NA,1
"Museum37",34.116,-85.3111,"Georgia",NA,"1997-03",NA,3,NA,1,23,1,"23_1","PO","PLSE","NR",NA,NA,1
"Museum11",33.4666,-84.3833,"Georgia",NA,"1997-02-05",5,2,1997,1,24,1,"24_1","PO","PLSE","NR",NA,NA,1
"Museum26",33.8678,-83.7013,"Georgia",NA,"1997-02-02",2,2,1997,1,25,1,"25_1","PO","PLSE","NR",NA,NA,1
"Museum12",33.4735,-84.3043,"Georgia",NA,"1998-02-14",14,2,1998,1,26,1,"26_1","PO","PLSE","NR",NA,NA,1
"Museum182",34.7034889,-94.6287325,"Oklahoma",NA,"1991-10-26",26,10,1991,1,27,1,"27_1","PO","PLSE","NR",NA,NA,1
"Museum557",35.66449,-83.524234,"Tennessee",20,"2024-04-09/2024-04-23",NA,4,2024,1,28,1,"28_1","PO","PLSE","NR",NA,NA,1
"Museum41",34.131,-94.69,"Oklahoma",1802,"1983-04-04",4,4,1983,1,29,1,"29_1","PO","PLSE","NR",NA,NA,1
"Museum21",33.576263,-84.714584,"Georgia",51,"1968-01-21",21,1,1968,1,30,1,"30_1","PO","PLSE","NR",NA,NA,1
"Museum85",34.5003,-94.2667,"Arkansas",51513,"1987-03-21",21,3,1987,1,31,1,"31_1","PO","PLSE","NR",NA,NA,1
"Museum224",35.0455,-83.1871,"North Carolina",510,"1987-05-31",31,5,1987,1,32,1,"32_1","PO","PLSE","NR",NA,NA,1
"Museum633",38.308362,-92.82547,"Missouri",1850,"1966-04-02",2,4,1966,1,33,1,"33_1","PO","PLSE","NR",NA,NA,1
"Museum608",36.949722,-90.158333,"Missouri",4524,"1966-04-08",8,4,1966,1,34,1,"34_1","PO","PLSE","NR",NA,NA,1
"Museum609",36.952274,-90.994294,"Missouri",2242,"1970-04-05",5,4,1970,1,35,1,"35_1","PO","PLSE","NR",NA,NA,1
"Museum31",34.035416,-94.620254,"Oklahoma",5348,"1966-03-19",19,3,1966,1,36,1,"36_1","PO","PLSE","NR",NA,NA,1
"Museum34",34.056111,-94.74,"Oklahoma",115,"1966-03-19",19,3,1966,1,37,1,"37_1","PO","PLSE","NR",NA,NA,1
"Museum363",35.4342,-83.08,"North Carolina",NA,"1975-07-09",9,7,1975,1,38,1,"38_1","PO","PLSE","NR",NA,NA,1
"Museum205",34.8994,-84.9839,"Georgia",NA,"1977-03-23",23,3,1977,1,39,1,"39_1","PO","PLSE","NR",NA,NA,1
"Museum297",35.2892,-84.4431,"Tennessee",NA,"1978-03-22",22,3,1978,1,40,1,"40_1","PO","PLSE","NR",NA,NA,1
"Museum580",35.6997,-83.0981,"North Carolina",NA,"1977-06-17",17,6,1977,1,41,1,"41_1","PO","PLSE","NR",NA,NA,1
"Museum14",33.4981,-84.1842,"Georgia",NA,"2003-03-27",27,3,2003,1,42,1,"42_1","PO","PLSE","NR",NA,NA,1
"Museum29",33.985,-84.5869,"Georgia",NA,"1976-01-03",3,1,1976,1,43,1,"43_1","PO","PLSE","NR",NA,NA,1
"Museum454",35.5483,-83.0875,"North Carolina",NA,"1976-09-18",18,9,1976,1,44,1,"44_1","PO","PLSE","NR",NA,NA,1
"Museum171",34.6992,-94.3219,"Arkansas",NA,"1976-04-23",23,4,1976,1,45,1,"45_1","PO","PLSE","NR",NA,NA,1
"Museum543",35.6389,-83.7478,"Tennessee",NA,"1975-05-14",14,5,1975,1,46,1,"46_1","PO","PLSE","NR",NA,NA,1
"Museum118",34.6778,-94.1806,"Arkansas",NA,"1975-03-27",27,3,1975,1,47,1,"47_1","PO","PLSE","NR",NA,NA,1
"Museum98",34.5856,-83.6969,"Georgia",NA,"1987-03-21",21,3,1987,1,48,1,"48_1","PO","PLSE","NR",NA,NA,1
"Museum512",35.6103,-83.3178,"North Carolina",NA,"1981-08-14",14,8,1981,1,49,1,"49_1","PO","PLSE","NR",NA,NA,1
"Museum237",35.0981,-83.5278,"North Carolina",NA,"1976-09-18",18,9,1976,1,50,1,"50_1","PO","PLSE","NR",NA,NA,1
"Museum140",34.6831,-94.3711,"Arkansas",NA,"1976-04-21",21,4,1976,1,51,1,"51_1","PO","PLSE","NR",NA,NA,1
"Museum576",35.684589,-83.532102,"Tennessee",20,"2023-03-28/2023-04-11",NA,NA,2023,1,52,1,"52_1","PO","PLSE","NR",NA,NA,1
"Museum136",34.6817,-94.4031,"Arkansas",NA,"2002-05-11",11,5,2002,1,53,1,"53_1","PO","PLSE","NR",NA,NA,1
"Museum42",34.13111,-94.68972,"Oklahoma",NA,"2002-04-06",6,4,2002,1,54,1,"54_1","PO","PLSE","NR",NA,NA,1
"Museum99",34.58611,-94.23944,"Arkansas",NA,"2000-04-22",22,4,2000,1,55,1,"55_1","PO","PLSE","NR",NA,NA,1
"Museum106",34.62418,-94.64884,"Oklahoma",4260,"2005-02-26",26,2,2005,1,56,1,"56_1","PO","PLSE","NR",NA,NA,1
"Museum111",34.64288,-94.20107,"Arkansas",3037,"1935-04-28",28,4,1935,1,57,1,"57_1","PO","PLSE","NR",NA,NA,1
"Museum36",34.11091,-94.64121,"Oklahoma",5452.46,"2002-04-13",13,4,2002,1,58,1,"58_1","PO","PLSE","NR",NA,NA,1
"Museum264",35.19275,-84.50611,"Tennessee",3223,"1992-04-24",24,4,1992,1,59,1,"59_1","PO","PLSE","NR",NA,NA,1
"Museum6",32.29321,-83.99768,"Georgia",3036,"1933-02-10",10,2,1933,1,60,1,"60_1","PO","PLSE","NR",NA,NA,1
"Museum147",34.685759,-94.365847,"Arkansas",NA,"2022-03-25",25,3,2022,1,61,1,"61_1","PO","PLSE","NR",NA,NA,1
"Museum151",34.687055,-94.375845,"Arkansas",NA,"2022-03-25",25,3,2022,1,62,1,"62_1","PO","PLSE","NR",NA,NA,1
"Museum146",34.685638,-94.366208,"Arkansas",NA,"2022-03-25",25,3,2022,1,63,1,"63_1","PO","PLSE","NR",NA,NA,1
"Museum150",34.687021,-94.37541,"Arkansas",NA,"2022-03-25",25,3,2022,1,64,1,"64_1","PO","PLSE","NR",NA,NA,1
"Museum153",34.687165,-94.376161,"Arkansas",NA,"2022-03-25",25,3,2022,1,65,1,"65_1","PO","PLSE","NR",NA,NA,1
"Museum30",33.98791,-84.325,"Georgia",5,"2023-11-25",25,11,2023,1,66,1,"66_1","PO","PLSE","NR",NA,NA,1
