"survey.id","species","rep_accy","first_obs","last_obs","day","month","year","directions","surveysite","site.id","lat","lon","survey.conducted","pop_data","annobs","hab_desc","min_el","max_el","aspect","slope","ma_name","ma_com","prot_com","misc_com","specimen","short_ref","data.type","age","individual.id","time.to.detect","count","pass.id","survey.pass"
1,"RACA","Low","1990","8/3/1990",3,8,1990,"AT DIVISION OF IMNAHA CREEK AND WALLOWA CREEK AND ALONG IMNAHA CREEK WEST OF FS37",NA,1,42.416,-122.202,1,"SAW ONE FROG ON LOG BY EDGE OF CREEK (1990-07-20); SAW ONE FROG ON BANK NEXT TO SMALL POND (5' ACROSS) A FEW FEET FROM THE CREEK IN 1990-08-03.",NA,"OLD GROWTH ASSOCIATED WITH MIXED CONIFER.",3800,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest",NA,"SALVAGE LOGGED","THIS IS A COMBINATION OF TWO REPORTS MARIO SUBMITTED ABOUT TWO WEEKS (AND 50 FEET) APART.",NA,"Mamone 1990","PO","NR",NA,NA,1,1,"1_1"
2,"RACA","Low","7/29/1996","9/9/1996",9,9,1996,"CULTUS LAKE.","CULTUS LAKE",2,43.5028,-121.5226,1,"1996: MAXIMUM COUNT OF 3 ADULTS AND 2 JUVENILES DURING 4 SURVEYS.",NA,NA,4668,NA,NA,NA,"Bend/Fort Rock Ranger District; Deschutes National Forest; Three Sisters Wilderness Area",NA,NA,NA,NA,"Hayes 1997","PO","NR",NA,NA,1,1,"2_1"
3,"RACA","Medium","7/1/1996","7/1/1996",1,7,1996,"CAMAS PRAIRIE NEAR BEAR SPRINGS RANGER STATION.","CAMAS PRAIRIE",3,45.0814,-121.3408,1,"1996: 3 JUVENILES OBSERVED.",NA,"VERY SLOW GRASSY STREAM THROUGH MEADOW.",3160,NA,NA,NA,"Mount Hood National Forest; BEAR SPRINGS RANGER DISTRICT",NA,NA,NA,NA,"Hayes 1997","PO","NR",NA,NA,1,1,"3_1"
4,"RACA","Medium","5/18/1993","5/18/1993",18,5,1993,"ALONG LEMOLO NO. 2 CANAL, 0.3MI E OF LEMOLO NO. 1.","LEMOLO POWER PLANT #1",4,43.2122,-122.1428,1,"1993: 1 JUVENILE FROG & MANY TADPOLES.",NA,"15' X 15' SEEP NEXT TO CONCRETE FLUME.",3560,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,NA,NA,"Engel ","PO","NR",NA,NA,1,1,"4_1"
5,"RACA","Very High","4/28/1993","7/14/1993",14,7,1993,"POND AND INTERMITTENT STREAM OFF QUARTZ CREEK. TAKE RD 28 TO 2814 TO 2751 TO SPUR 300.","QUARTZ CREEK",5,43.085,-122.385,1,"1993: 16 FROGS PLUS EGG MASSES IN POND, 1 FROG IN STREAM.",NA,"POND 35X55 FT. MAX. DEPTH 2 FT, WITH MOST WATER 6-12"" DEEP. EMERGENT VEGETATION, SHRUBS, LOGGING SLASH IN AND NEAR POND. INTERMITTENT, POSSIBLY PERENNIAL STREAM NOT BUFFERED.",2880,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: S. BARNES. FS RECORD #A-06-250",NA,"Masters ","PO","NR",NA,NA,1,1,"5_1"
6,"RACA","High","1992-04","1993",NA,NA,1993,"CLACKAMAS LAKE; OAK GROVE FORK OF THE CLACKAMAS RIVER APPROX 1.6 MI SE OF TIMOTHY LAKE","CLACKAMAS LAKE",6,45.0551,-121.4448,1,"1993: SPECIES REPORTED DURING SPOTTED FROG SURVEY. 1992: 8 FROGS SEEN.",NA,NA,3300,NA,NA,NA,NA,NA,NA,"OBSERVER: M. HAYES",NA,"Hayes 1994; Corkran 1993","PO","NR",NA,NA,1,1,"6_1"
7,"RACA","Very High","7/19/1994","9/6/1996",6,9,1996,"SKY LAKES WILDERNESS. THIS INCLUDES WIND, SOUTH SNOW, MARGURETTE, WIZARD, NO-SEE-UM, LAND, FLORENCE, LIZA, ISHERWOOD, N& S HEAVENLY TWIN, ELIZABETH, NOTASHA, DEEP LAKES, AS WELL AS SEVERAL SMALL, UNNAMED LAKES.","CHERRY CREEK BASIN",7,42.3423,-122.1204,1,"1994: APPROX 2,290 ADULTS/JUVENILES/EGGS OBSERVED AT 26 LAKES. 112 ADULTS, 197 JUVENILES. 1995: 226 INDIVIDUALS OBSERVED. 1996: APPROX 1,244 INDIVIDUALS.",NA,NA,6000,NA,NA,NA,"Fremont-Winema National Forest; Cherry Creek Basin RNA; KLAMATH RANGER DISTRICT; Sky Lakes Wilderness Area",NA,NA,NA,NA,"Hayes 1995; Hayes 1997","PO","NR",NA,NA,1,1,"7_1"
8,"RACA","High","8/18/1995","8/18/1995",18,8,1995,"ON CABITT CR., ABOUT 200M DOWNSTREAM FROM JUNCTION WITH EVARTS CR.",NA,8,43.1248,-123.0119,1,"1995: 3 FOUND.",NA,NA,1000,NA,NA,NA,NA,NA,NA,"OBSERVED BY: D.MAJORS",NA,"Davis ","PO","NR",NA,NA,1,1,"8_1"
9,"RACA","Low","1993","1993",NA,NA,1993,"SEVENMILE CREEK MARSH; HEADWATERS OF SEVENMILE CREEK.","SEVENMILE CREEK MARSH",9,42.4124,-122.0904,1,"1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY.",NA,NA,5600,NA,NA,NA,"Sky Lakes Wilderness Area",NA,NA,NA,NA,"Hayes 1994","PO","NR",NA,NA,1,1,"9_1"
10,"RACA","High","5/14/1997","5/14/1997",14,5,1997,"ON STREAM (?) JUST ABOVE HEMLOCK LAKE","HEMLOCK LAKE",10,43.1105,-122.4211,1,"1997: 20 TADPOLES, ALSO 100'S OF HATCHLINGS.",NA,NA,4410,NA,NA,NA,"NORTH UMPQUA RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVED BY: T. BELCHER",NA,"Davis ","PO","NR",NA,NA,1,1,"10_1"
11,"RACA","Low","6/24/1993","6/24/1993",24,6,1993,"BETWEEN SLIDE CREEK & USFS RD 182, APPROX 1 MI NW OF LEMOLO NO. 2 FOREBAY.",NA,11,43.1804,-122.2534,1,"1993: 4 FROGS BASKING",NA,"SMALL DRAINAGE ADJACENT TO CLEARCUT",3600,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: M. GARRETT & C. MCSHANE",NA,"Engel ","PO","NR",NA,NA,1,1,"11_1"
12,"RACA","Low","5/28/1993","5/28/1993",28,5,1993,"APPROX 0.3 MI NE OF JCT OF THORN CREEK & USFS RD 34.","THORN CREEK",12,43.1831,-122.2229,1,"1993: 1 FROG OBSERVED.",NA,"APPROX 0.25 ACRE POND ADJACENT TO EMERGENT WETLAND, SURROUNDED BY MIXED CONIFER FOREST.",3040,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: M. GARRETT & K. ENGEL",NA,"Engel ","PO","NR",NA,NA,1,1,"12_1"
13,"RACA","High","7/16/1990","7/16/1990",16,7,1990,"UNNAMED CREEK OFF OF S. UMPQUA R. NEAR RD 550",NA,13,43.0044,-122.4439,1,"1990: PAIR OF FROGS, AGE AND SEX UNSPECIFIED.",NA,"FOUND IN A SMALL STREAM WHICH FLOWS NORTH ALONG THE EAST BOUNDARY OF UNIT 12. RIPARIAN, WOODED AREA.",NA,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: TED SCHATTENKERK",NA,"Tiller Ranger District 1992; Shattenkerk ","PO","NR",NA,NA,1,1,"13_1"
14,"RACA","High","5/27/1993","5/27/1993",27,5,1993,"MEADOWS AT JCT OF LAVA CREEK & USFS RD 4780, SW OF TOOLBOX MEADOWS.","LAVA CREEK",14,43.1559,-122.1339,1,"1993: 1 FROG OBSERVED.",NA,"CATTAIL MEADOW.",4320,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: M. GARRETT & K. ENGEL",NA,"Engel ","PO","NR",NA,NA,1,1,"14_1"
15,"RACA","High","7/4/1969","7/4/1969",4,7,1969,"ALKALI CREEK, ONE MILE UP ALKALI CREEK ROAD, NEAR MUIR CREEK CONFLUENCE.","ALKALI CREEK",15,43.0337,-122.2111,1,"1969: ADULTS COLLECTED",NA,"ROADSIDE DITCHES AND ALONG CREEK IN AREA OF STEEP SLOPES WITH THICK CONIFEROUS FOREST.",4000,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest",NA,NA,"COLLECTOR: MIKE LAIS. SOSC MUS. NAT. HISTORY.",NA,"Lais 1969","PO","NR",NA,NA,1,1,"15_1"
16,"RACA","High","1993","1993",NA,NA,1993,"BIG BEND MOUNTAIN; LAKE APPROX 1 MI SSE",NA,16,45.2811,-121.5646,1,"1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY",NA,"SMALL MARSH SURROUNDING SMALL LAKE. ASSOC SSP: PACIFIC TREE FROG",3084,NA,NA,NA,"ZIGZAG RANGER DISTRICT; Mount Hood National Forest; Big Bend Mountain pRNA",NA,NA,"OBSERVER: M. HAYES",NA,"Hayes 1994","PO","NR",NA,NA,1,1,"16_1"
17,"RACA","High","2/6/1992","2/6/1992",6,2,1992,"GO TO END OF 2814-513. IS IN MIDDLE OF CLEAR CUT, SPECIES FOUND 1/4 MI INTO TIMBER STAND DIRECTLY NORTH OF CLEAR CUT. ALSO, ABOUT 0.1 MI NW OF ALLIGATOR LAKE.","ALLIGATOR LAKE",17,43.0732,-122.3616,1,"1 RANA CASCADAE OBSERVED.",NA,"SMALL POOL FORMED BY UPROOTED TREE; POOL REPLENISHED BY SEEPAGE FROM ADJACENT RIPARIAN AREA; AREA HAS BEEN PICKED THRU FOR SELECTIVE CUTTING. HABITAT CLOSELY ASSOCIATED WITH NEARBY OLD GROWTH.",3240,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,"POTENTIAL FORM STREAM EROSION.","OBSERVER- JEFF ROUYER",NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"17_1"
18,"RACA","Very High","1993","1993",NA,NA,1993,"GOOSE LAKE, IN THE MINK LAKE BASIN.","GOOSE LAKE",18,43.5627,-121.5432,1,"1993: SPECIES OBSERVED DURING SPOTTED FROG SURVEY.",NA,"MARSH ADJACENT TO LAKE. ASSOC SSP: PACIFIC TREEFROG. NO BULLFROGS PRESENT.",NA,NA,NA,NA,"McKenzie Ranger District; Willamette National Forest; Three Sisters Wilderness Area",NA,NA,NA,NA,"Hayes 1994","PO","NR",NA,NA,1,1,"18_1"
19,"RACA","Medium","7/25/1995","8/21/1996",21,8,1996,"SMALL POND OFF UNNUMBERED SPUR OF RD 26.1.; W. OF FREDENBURG BUTTE",NA,19,42.3457,-122.3311,1,"1996: 1 FROG PERCHED ON LOG, SEX UNKNOWN. 1995: 1 FROG.",NA,"SMALL POND/PUMPER. WET MEADOW IN OLD GROWTH.",3660,NA,NA,NA,"MEDFORD BLM DISTRICT; BUTTE FALLS RESOURCE AREA",NA,NA,"OBSERVER: P.COLVARD AND L. HALE. BLM RECORD #463E.",NA,"Hale ; Harper ","PO","NR",NA,NA,1,1,"19_1"
20,"RACA","Medium","4/6/1992","5/19/1992",19,5,1992,"JACKSON CREEK RD TO 2980, BETWEEN MILE MARKERS 6 AND 7, IN QUARRY ON NORTH SIDE OF ROAD","JACKSON CREEK",20,43.0041,-122.4521,1,"1992: 1000+ TADPOLES IN QUARRY POND; EGG MASSES ALSO PRESENT.",NA,"SHALLOW, MAN MADE QUARRY. NO CANOPY COVER",3200,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,"POND POLLUTED WITH TRASH","OBSERVER: JEFF ROUYER AND MORA LAMBERT",NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"20_1"
21,"RACA","Low","8/4/1974","7/21/1990",21,7,1990,"SKY LAKES WILDERNESS, E. CLIFF LAKE &amp; DEVILS PEAK. TAKE ROAD 3780 TO SEVEN LAKES TRAIL, APPROX. 3.5 MILES EAST; 2 SMALL PONDS IN AREA.",NA,21,42.3904,-122.125,1,"AT ONE POND TEGHTMEYER CAUGHT AND MONITORED 4, EST. 20 IN POND (20'x20'); GENERAL LIVING, REPRODUCTION EVIDENCE &gt;150 TADPOLES (ASSUMED TO BE RACA). AT OTHER SMALL POND SMITH CAUGHT AND IDENTIFIED 5, EST. 50 IN POND (50'x20'); GENERAL LIVING, REPRODUCTION EVIDENT. APPROX. 300 TADPOLES (ASSUMED TO BE RACA). 1974 (08-04): Frog captured. See Sources for details.",NA,"LARGE MEADOW/ SPRING AREA. SHALLOW (1'-2' DEEP) GRASS EDGED POOLS AND NARROW MEANDERING RUNOFF. TOADS (BUBO), UNIDENTIFIED RODENT, GRASSES, SALAMANDER (TEGHTMEYER). SMALL SEASONAL POND, HALF BORDERED BY TALUS AND HALF VEGETATED AND MUDDY. EARLY SUMMER CLEAR/LATE SUMMER ALGAE GROWTH. GRASSES AND HEATH VEGETATION/TREE FROGS. SALAMANDER (SMITH). ALSO SEEM W/RANA PRETIOSA 1990-06-30: ""ZEN"" POND (BOTTOM HALF ROCK AND HALF SAND) IN WILDERNESS AREA SURROUNDED BY TALUS &amp; CLIMAX MT. HEMLOCK FOREST WITH OPENINGS, MEADOWS AND ROCK OUTCROPS.",6400,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest; Cherry Creek Basin RNA; Sky Lakes Wilderness Area",NA,"OFF-TRAIL HIKERS, BACKPACKERS, SWIMMERS.","BOTH TEGHTMEYER AND SMITH SUBMITTED REPORTS FOR THE SAME DATE (DIFFERENT PONDS?). MAPPED TOGETHER AS ONE SITE. 1974: Personal communicaiton with Steve Cross, Professor of Biology, Southern Oregon Community College, 1987-07-16.",NA,"Teghtmeyer 1990; Smith 1990; Matthews 1980; Cross ","PO","NR",NA,NA,1,1,"21_1"
