"survey.id","site.id","year","date","lat","lon","habitatorigin","hydrol","elevation","ageofrecord","pavedrdlessthan100m","unpvdrdlessthan100m","greaterthan80prctforest","propemgtfltgvegcover","propperimpavedrd","propperimforest","fish.detected","survey.conducted","data.type","species","count","individual.id","time.to.detect","age","pass.id","survey.pass","day","month"
1,"Beta Wolf",2001,"2001-07-19",43.15015682,-122.4508894,"Natural","Seasonal",1639,1,0,0,1,0.35,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"1_1",19,7
2,"Black Wolf",2001,"2001-07-19",43.1491913,-122.4523493,"Natural","Permanent",1675,1,0,0,1,0.01,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"2_1",19,7
3,"Buckeye",2001,"2001-07-19",43.06218339,-122.522107,"Natural","Permanent",1305,2,0,0,1,0.5,0,0.9,1,1,"DND","RACA",0,NA,NA,"NR",1,"3_1",19,7
4,"Castor Pond",2001,"2001-07-11",43.11477595,-122.59042,"Natural","Permanent",755,1,0,0,1,0.84,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"4_1",11,7
5,"Cliff Lake",2001,"2001-07-19",43.05929498,-122.5161979,"Natural","Permanent",1350,2,0,0,0,0.6,0,0.8,1,1,"DND","RACA",1,NA,NA,"NR",1,"5_1",19,7
6,"Cottage Grove 1056",2001,"2001-07-26",43.59596629,-122.6026201,"Natural","Seasonal",1518,9,0,0,1,0.01,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"6_1",26,7
7,"Cottage Grove 2282",2001,"2001-07-26",43.67182194,-122.5716788,"Natural","Seasonal",1419,9,0,0,0,0.44,0,0.5,0,1,"DND","RACA",0,NA,NA,"NR",1,"7_1",26,7
8,"Deep Lake",2001,"2001-08-08",42.57218473,-122.1929748,"Natural","Permanent",1828,6,0,0,1,0.2,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"8_1",8,8
9,"Diamond Lake, S Shore",2001,"2001-07-18",43.13333803,-122.1470279,"Natural","Permanent",1580,9,1,0,0,0.88,0.1,0.6,1,1,"DND","RACA",0,NA,NA,"NR",1,"9_1",18,7
10,"Fawn Lake",2001,"2001-07-13",43.14386967,-122.4523968,"Natural","Permanent",1730,1,0,0,1,0.2,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"10_1",13,7
11,"Fuller Lake",2001,"2001-07-18",43.40106222,-122.4939135,"Natural","Permanent",1520,1,0,0,1,0.01,0,0.9,1,1,"DND","RACA",0,NA,NA,"NR",1,"11_1",18,7
12,"Grass Lake",2001,"2001-08-16",42.66030474,-122.2123836,"Natural","Permanent",1863,21,0,0,1,0.08,0,1,1,1,"DND","RACA",1,NA,NA,"NR",1,"12_1",16,8
13,"Grass Mtn.",2001,"2001-07-26",43.59261988,-122.5432026,"Natural","Seasonal",1478,9,0,0,1,0.3,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"13_1",26,7
14,"Horse Lake",2001,"2001-07-18",43.12483371,-122.1525798,"Natural","Permanent",1588,5,0,0,1,0.3,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"14_1",18,7
15,"I-1",2001,"2001-08-07",42.57347959,-122.2016945,"Natural","Permanent",1828,6,0,0,1,0.58,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"15_1",7,8
16,"Lake Liza",2001,"2001-08-08",42.57116956,-122.2036247,"Natural","Permanent",1835,6,0,0,1,0.03,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"16_1",8,8
17,"Little Three Creeks Lake B",2001,"2001-06-26",44.11092414,-121.6303628,"Natural","Permanent",1963,6,0,0,1,0.03,0,1,0,1,"DND","RACA",0,NA,NA,"NR",1,"17_1",26,6
18,"Little Three Creeks Lake C",2001,"2001-06-26",44.10167543,-121.6339248,"Natural","Permanent",2022,6,0,0,1,0.33,0,1,1,1,"DND","RACA",0,NA,NA,"NR",1,"18_1",26,6
19,"Lower Munson Meadow",2001,"2001-08-02",42.86933779,-122.1385888,"Natural","Seasonal",1890,48,0,0,1,0.01,0,1,0,1,"DND","RACA",1,NA,NA,"NR",1,"19_1",2,8
20,"Maidu Lake",2001,"2001-08-01",43.25103649,-122,"Natural","Permanent",1828,1,0,0,1,0.1,0,1,1,1,"DND","RACA",0,NA,NA,"NR",1,"20_1",1,8
