"survey.id","species","sitename","site.id","survey.conducted","year","date","day","month","occurnotes","obsaffil","effortsource_desc","effortsource","effortmethod_desc","countyname","lat","lon","accuracy_desc","locaccuracy","wdfwregion","owlsitecenter_desc","owlsitecenter","count","data.type","age","individual.id","duration","time.to.detect","pass.id","survey.pass"
1,"RACA",NA,1,1,2008,"9/30/2008",30,9,NA,"MCCRACKEN, J/LONGVIEW FIBRE","Other survey",30,"Ground","Skamania",45.6507413,-122.0458289,"GPS",10,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"1_1"
2,"RACA",NA,2,1,2006,"5/1/2006",1,5,"05/2006 - 10/2010 FIELD EFFORT | TYPE N STUDY | PRESENCE LOCATION ONLY | NUMBERS AND LIFESTAGE NOT INCLUDED IN WSDM | PRECISE LOCATIONS AVAILABLE VIA REPORT","LUND, E/WDFW;MCINTYRE, A/WDFW;WATERSTRAT, T/WDFW","WDFW survey",20,"Ground","Skamania",45.70034008,-122.0531638,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"2_1"
3,"RACA",NA,3,1,1918,"1/1/1918",NA,NA,"CARSON, GOVERNMENT SPRINGS :  ","U.S. NAT. MUSEUM: DC./UNKNOWN",NA,NA,"Ground","Skamania",45.72736098,-121.8191534,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"3_1"
4,"RACA",NA,4,1,1958,"8/26/1958",26,8,"WILLARD FOREST CAMP :  ","SLATER, J/UNKNOWN",NA,NA,"Ground","Skamania",45.784469,-121.6296164,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"4_1"
5,"RACA",NA,5,1,1999,"10/1/1999",1,10,"ACCURATE TO QTR SECTION :  ","WEST, S/UNIV OF WASHINGTON",NA,NA,"Ground","Skamania",45.85105752,-121.7082904,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"5_1"
6,"RACA",NA,6,1,2007,"8/13/2007",13,8,NA,"GRUENDIKE, P/USFS","Other survey",30,"Ground","Skamania",45.85765325,-121.6569314,"GPS",10,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"6_1"
7,"RACA",NA,7,1,1995,"7/24/1995",24,7,"NORTH FORK BERRY CREEK. : 3 ADULTS.","DICE, L/UNKNOWN;AAROE, C/USFS",NA,NA,"Ground","Skamania",45.86392173,-121.6631485,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"7_1"
8,"RACA",NA,8,1,2007,"8/9/2007",9,8,NA,"GRUENDIKE, P/USFS","Other survey",30,"Ground","Skamania",45.86484642,-121.6632127,"GPS",10,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"8_1"
9,"RACA",NA,9,1,1995,"7/25/1995",25,7,"NORTH FORK BERRY CREEK. : 1 ADULT.","DICE, L/UNKNOWN;AAROE, C/USFS",NA,NA,"Ground","Skamania",45.86627701,-121.6642975,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"9_1"
10,"RACA",NA,10,1,1918,"9/15/1918",15,9,"CARSON, GOVERNMENT SPRINGS, 15 MI N OF : FEMALE;","CANTWELL, G/UNKNOWN",NA,NA,"Ground","Skamania",45.88505399,-121.9940023,"1 mile (Section)",5280,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"10_1"
11,"RACA",NA,11,1,1996,"9/20/1996",20,9,"T05N R09E S27 NWSW / ELEV 2400 FT :  ","HAYWARD, D/WDFW;LINDERS, M/WDFW;MCCRAY, B/WDFW",NA,NA,"Ground","Skamania",45.89321346,-121.6724631,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"11_1"
12,"RACA",NA,12,1,1933,"7/29/1933",29,7,"BLACK CREEK :  ","BAYLOR UNIV: STRECKER MUSEUM/WDFW;UNIV. PUGET SOUND: SLATER MUSEUM/UNKNOWN",NA,NA,"Ground","Skamania",45.89646701,-121.8591569,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"12_1"
13,"RACA",NA,13,1,1995,"7/20/1995",20,7,"SOUTH PRAIRIE. : 2 JUVS.","DICE, L/UNKNOWN;COLEHOUR, J/PRIVATE;AAROE, C/USFS",NA,NA,"Ground","Skamania",45.90987405,-121.6990819,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"13_1"
14,"RACA",NA,14,1,1991,"4/20/1991",20,4,"SOUTH PRAIRIE, MT. ADAMS RD, GIFFORD PINCHOT NF (T5N R9E S20) : 3 ADULTS (2 IN AMPLEXUS)","LEONARD, B/WDOE/ WDOT /WADNR*;MCALLISTER, K/WDFW",NA,NA,"Ground","Skamania",45.91331003,-121.6974987,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"14_1"
15,"RACA",NA,14,1,1992,"5/2/1992",2,5,"SOUTH PRAIRIE, MT ADAMS RD., GIFFORD PINCHOT NF : SEVERAL JUVENILES","LEONARD, B/WDOE/ WDOT /WADNR*",NA,NA,"Ground","Skamania",45.91331003,-121.6974987,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"15_1"
16,"RACA",NA,15,1,1991,"4/19/1991",19,4,"CAVE CREEK WETLANDS, MT. ADAMS RD, GIFFORD PINCHOT NF (T5N R9E S18 1/4NE) : AND 4 EGG MASSES","LEONARD, B/WDOE/ WDOT /WADNR*",NA,NA,"Ground","Skamania",45.92866305,-121.6360832,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"16_1"
17,"RACA",NA,15,1,1991,"4/20/1991",20,4,"CAVE CREEK WETLANDS, MT. ADAMS RD, GIFFORD PINCHOT NF (T5N R9E S18 1/4NE) : AND 7 EGG MASSES","LEONARD, B/WDOE/ WDOT /WADNR*;MCALLISTER, K/WDFW",NA,NA,"Ground","Skamania",45.92866305,-121.6360832,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"17_1"
18,"RACA",NA,15,1,1992,"5/2/1992",2,5,"CAVE CR., MT ADAMS RD., GIFFORD PINCHOT NF : 6 ADULTS AND 2 JUVENILES","LEONARD, B/WDOE/ WDOT /WADNR*",NA,NA,"Ground","Skamania",45.92866305,-121.6360832,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"18_1"
19,"RACA",NA,15,1,1993,"9/10/1993",10,9,"CAVE CREEK WETLANDS : 1 AD, 1 JUV","LEONARD, B/WDOE/ WDOT /WADNR*",NA,NA,"Ground","Skamania",45.92866305,-121.6360832,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"19_1"
20,"RACA",NA,16,1,1995,"7/18/1995",18,7,"CAVE CREEK AND SURROUNDING WET AREAS. : 1 ADULT.","AAROE, C/USFS",NA,NA,"Ground","Skamania",45.93255963,-121.6266169,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"20_1"
21,"RACA",NA,17,1,1997,"8/6/1997",6,8,"  : 11 ADULTS/100+ TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.94130988,-121.788097,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"21_1"
