"SSAR.scientific","SSAR.common","spp.type","DS.code","all.codes","SSAR.names","IUCN.scientific","iNat.scientific"
"Acris blanchardi","Blanchard's Cricket Frog","Frog/Toad","ACBL","ACBL","Acris blanchardi","Acris blanchardi","Acris blanchardi"
"Acris crepitans","Eastern Cricket Frog","Frog/Toad","ACCR","ACCR","Acris crepitans","Acris crepitans","Acris crepitans"
"Acris gryllus","Southern Cricket Frog","Frog/Toad","ACGR","ACGR","Acris gryllus","Acris gryllus","Acris gryllus"
"Ambystoma annulatum","Ringed Salamander","Salamander","AMAN","AMAN","Ambystoma annulatum","Ambystoma annulatum","Ambystoma annulatum"
"Ambystoma barbouri","Streamside Salamander","Salamander","AMBA","AMBA","Ambystoma barbouri","Ambystoma barbouri","Ambystoma barbouri"
"Ambystoma bishopi","Reticulated Flatwoods Salamander","Salamander","AMBI","AMBI","Ambystoma bishopi","Ambystoma bishopi","Ambystoma bishopi"
"Ambystoma californiense","California Tiger Salamander","Salamander","AMCA","AMCA","Ambystoma californiense","Ambystoma californiense","Ambystoma californiense"
"Ambystoma cingulatum","Frosted Flatwoods Salamander","Salamander","AMCI","AMCI","Ambystoma cingulatum","Ambystoma cingulatum","Ambystoma cingulatum"
"Ambystoma gracile","Northwestern Salamander","Salamander","AMGR","AMGR","Ambystoma gracile","Ambystoma gracile","Ambystoma gracile"
"Ambystoma jeffersonianum","Jefferson Salamander","Salamander","AMJE","AMJE","Ambystoma jeffersonianum","Ambystoma jeffersonianum","Ambystoma jeffersonianum"
"Ambystoma laterale","Blue-spotted Salamander","Salamander","ALAT","ALAT","Ambystoma laterale","Ambystoma laterale","Ambystoma laterale"
"Ambystoma mabeei","Mabee's Salamander","Salamander","AMBM","AMBM","Ambystoma mabeei","Ambystoma mabeei","Ambystoma mabeei"
"Ambystoma macrodactylum","Long-toed Salamander","Salamander","AMMA","AMMA|AMMACO|AMMACR|AMMAKR|AMMAMA|AMMASI","Ambystoma macrodactylum, Ambystoma macrodactylum columbianum, Ambystoma macrodactylum croceum, Ambystoma macrodactylum krausei, Ambystoma macrodactylum macrodactylum, Ambystoma macrodactylum sigillatum","Ambystoma macrodactylum","Ambystoma macrodactylum, Ambystoma macrodactylum columbianum, Ambystoma macrodactylum croceum, Ambystoma macrodactylum krausei, Ambystoma macrodactylum macrodactylum, Ambystoma macrodactylum sigillatum"
"Ambystoma maculatum","Spotted Salamander","Salamander","AMAC","AMAC","Ambystoma maculatum","Ambystoma maculatum","Ambystoma maculatum"
"Ambystoma mavortium","Western Tiger Salamander","Salamander","AMAV","AMAV|AMAVDI|AMAVMA|AMAVME|AMAVNE|AMAVST","Ambystoma mavortium, Ambystoma mavortium diaboli, Ambystoma mavortium mavortium, Ambystoma mavortium melanostictum, Ambystoma mavortium nebulosum, Ambystoma mavortium stebbinsi","Ambystoma mavortium","Ambystoma mavortium, Ambystoma mavortium diaboli, Ambystoma mavortium mavortium, Ambystoma mavortium melanostictum, Ambystoma mavortium nebulosum, Ambystoma mavortium stebbinsi"
"Ambystoma opacum","Marbled Salamander","Salamander","AMOP","AMOP","Ambystoma opacum","Ambystoma opacum","Ambystoma opacum"
"Ambystoma talpoideum","Mole Salamander","Salamander","AMTA","AMTA","Ambystoma talpoideum","Ambystoma talpoideum","Ambystoma talpoideum"
"Ambystoma texanum","Small-mouthed Salamander","Salamander","AMTE","AMTE","Ambystoma texanum","Ambystoma texanum","Ambystoma texanum"
"Ambystoma tigrinum","Eastern Tiger Salamander","Salamander","AMTI","AMTI","Ambystoma tigrinum","Ambystoma tigrinum","Ambystoma tigrinum"
"Amphiuma means","Two-toed Amphiuma","Salamander","AMME","AMME","Amphiuma means","Amphiuma means","Amphiuma means"
"Amphiuma pholeter","One-toed Amphiuma","Salamander","AMPH","AMPH","Amphiuma pholeter","Amphiuma pholeter","Amphiuma pholeter"
"Amphiuma tridactylum","Three-toed Amphiuma","Salamander","AMTR","AMTR","Amphiuma tridactylum","Amphiuma tridactylum","Amphiuma tridactylum"
"Anaxyrus americanus","American Toad","Frog/Toad","ANAM","ANAM|ANAMAM|ANAMCH","Anaxyrus americanus, Anaxyrus americanus americanus, Anaxyrus americanus charlesmithi","Anaxyrus americanus","Anaxyrus americanus, Anaxyrus americanus americanus, Anaxyrus americanus charlesmithi"
"Anaxyrus baxteri","Wyoming Toad","Frog/Toad","ANBA","ANBA","Anaxyrus baxteri","Anaxyrus baxteri","Anaxyrus baxteri"
"Anaxyrus boreas","Western Toad","Frog/Toad","ANBO","ANBO","Anaxyrus boreas","Anaxyrus boreas","Anaxyrus boreas"
"Anaxyrus californicus","Arroyo Toad","Frog/Toad","ANCA","ANCA","Anaxyrus californicus","Anaxyrus californicus","Anaxyrus californicus"
"Anaxyrus canorus","Yosemite Toad","Frog/Toad","ANAC","ANAC","Anaxyrus canorus","Anaxyrus canorus","Anaxyrus canorus"
"Anaxyrus cognatus","Great Plains Toad","Frog/Toad","ANCO","ANCO","Anaxyrus cognatus","Anaxyrus cognatus","Anaxyrus cognatus"
"Anaxyrus debilis","Chihuahuan Green Toad","Frog/Toad","ANDE","ANDE|ANDEDE|ANDEIN","Anaxyrus debilis, Anaxyrus debilis debilis, Anaxyrus debilis insidior","Anaxyrus debilis","Anaxyrus debilis, Anaxyrus debilis debilis, Anaxyrus debilis insidior"
"Anaxyrus exsul","Black Toad","Frog/Toad","ANEX","ANEX","Anaxyrus exsul","Anaxyrus exsul","Anaxyrus exsul"
"Anaxyrus fowleri","Fowler's Toad","Frog/Toad","ANFO","ANFO","Anaxyrus fowleri","Anaxyrus fowleri","Anaxyrus fowleri"
"Anaxyrus hemiophrys","Canadian Toad","Frog/Toad","ANHE","ANHE","Anaxyrus hemiophrys","Anaxyrus hemiophrys","Anaxyrus hemiophrys"
"Anaxyrus houstonensis","Houston Toad","Frog/Toad","ANHO","ANHO","Anaxyrus houstonensis","Anaxyrus houstonensis","Anaxyrus houstonensis"
"Anaxyrus microscaphus","Arizona Toad","Frog/Toad","ANMI","ANMI","Anaxyrus microscaphus","Anaxyrus microscaphus","Anaxyrus microscaphus"
"Anaxyrus monfontanus","Hot Creek Toad","Frog/Toad","ANMO","ANMO","Anaxyrus monfontanus","Anaxyrus monfontanus","Anaxyrus monfontanus"
"Anaxyrus nelsoni","Amargosa Toad","Frog/Toad","ANNE","ANNE","Anaxyrus nelsoni","Anaxyrus nelsoni","Anaxyrus nelsoni"
"Anaxyrus nevadensis","Railroad Valley Toad","Frog/Toad","ANAN","ANAN","Anaxyrus nevadensis","Anaxyrus nevadensis","Anaxyrus nevadensis"
"Anaxyrus punctatus","Red-spotted Toad","Frog/Toad","ANPU","ANPU","Anaxyrus punctatus","Anaxyrus punctatus","Anaxyrus punctatus"
"Anaxyrus quercicus","Oak Toad","Frog/Toad","ANQU","ANQU","Anaxyrus quercicus","Anaxyrus quercicus","Anaxyrus quercicus"
"Anaxyrus retiformis","Sonoran Green Toad","Frog/Toad","ANRE","ANRE","Anaxyrus retiformis","Anaxyrus retiformis","Anaxyrus retiformis"
"Anaxyrus speciosus","Texas Toad","Frog/Toad","ANAS","ANAS","Anaxyrus speciosus","Anaxyrus speciosus","Anaxyrus speciosus"
"Anaxyrus terrestris","Southern Toad","Frog/Toad","ANTE","ANTE","Anaxyrus terrestris","Anaxyrus terrestris","Anaxyrus terrestris"
"Anaxyrus williamsi","Dixie Valley Toad","Frog/Toad","ANWI","ANWI","Anaxyrus williamsi","Anaxyrus williamsi","Anaxyrus williamsi"
"Anaxyrus woodhousii","Woodhouse's Toad","Frog/Toad","ANWO","ANWO|ANWOAU|ANWOWO","Anaxyrus woodhousii, Anaxyrus woodhousii australis, Anaxyrus woodhousii woodhousii","Anaxyrus woodhousii","Anaxyrus woodhousii, Anaxyrus woodhousii australis, Anaxyrus woodhousii woodhousii"
"Aneides aeneus","Green Salamander","Salamander","ANAE","ANAE","Aneides aeneus","Aneides aeneus","Aneides aeneus"
"Aneides caryaensis","Hickory Nut Gorge Green Salamander","Salamander","ANEC","ANEC","Aneides caryaensis","Aneides caryaensis","Aneides caryaensis"
"Aneides ferreus","Clouded Salamander","Salamander","ANFE","ANFE","Aneides ferreus","Aneides ferreus","Aneides ferreus"
"Aneides flavipunctatus","Black Salamander","Salamander","ANFL","ANFL","Aneides flavipunctatus","Aneides flavipunctatus","Aneides flavipunctatus"
"Aneides hardii","Sacramento Mountain Salamander","Salamander","ANHA","ANHA","Aneides hardii","Aneides hardii","Aneides hardii"
"Aneides iecanus","Shasta Black Salamander","Salamander","ANIE","ANIE","Aneides iecanus","Aneides iecanus","Aneides iecanus"
"Aneides klamathensis","Klamath Black Salamander","Salamander","ANKL","ANKL","Aneides klamathensis","Aneides klamathensis","Aneides klamathensis"
"Aneides lugubris","Arboreal Salamander","Salamander","ANLU","ANLU","Aneides lugubris","Aneides lugubris","Aneides lugubris"
"Aneides niger","Santa Cruz Black Salamander","Salamander","ANFLNI","ANFLNI","Aneides niger","Aneides niger","Aneides niger"
"Aneides vagrans","Wandering Salamander","Salamander","ANVA","ANVA","Aneides vagrans","Aneides vagrans","Aneides vagrans"
"Ascaphus montanus","Rocky Mountain Tailed Frog","Frog/Toad","ASMO","ASMO","Ascaphus montanus","Ascaphus montanus","Ascaphus montanus"
"Ascaphus truei","Coastal Tailed Frog","Frog/Toad","ASTR","ASTR","Ascaphus truei","Ascaphus truei","Ascaphus truei"
"Batrachoseps altasierrae","Greenhorn Mountains Slender Salamander","Salamander","BAAL","BAAL","Batrachoseps altasierrae","Batrachoseps altasierrae","Batrachoseps altasierrae"
"Batrachoseps attenuatus","California Slender Salamander","Salamander","BAAT","BAAT","Batrachoseps attenuatus","Batrachoseps attenuatus","Batrachoseps attenuatus"
"Batrachoseps bramei","Fairview Slender Salamander","Salamander","BABR","BABR","Batrachoseps bramei","Batrachoseps bramei","Batrachoseps bramei"
"Batrachoseps campi","Inyo Mountains Salamander","Salamander","BACA","BACA","Batrachoseps campi","Batrachoseps campi","Batrachoseps campi"
"Batrachoseps diabolicus","Hell Hollow Slender Salamander","Salamander","BADI","BADI","Batrachoseps diabolicus","Batrachoseps diabolicus","Batrachoseps diabolicus"
