"Species","Data type","Dataset","Method","Number of observations","Number of sites","Number of hexbins","Extent","Covariates"
"Cascades Frog","DND","USGS RACA assessment - historic","VES and dipnetting",115,66,47,NA,"yday"
"Cascades Frog","PO","FS NRIS","presence-only",533,533,375,"CONUS",""
"Cascades Frog","PO","WDWF","presence-only",321,321,242,"CONUS",""
"Cascades Frog","PO","NCCN","presence-only",220,220,117,"CONUS",""
"Cascades Frog","PO","ORBIC","presence-only",41,41,37,"CONUS",""
"Cascades Frog","PO","BLM Surveys","various",28,28,22,"CONUS",""
"Cascades Frog","PO","Museum","presence-only",10,10,10,"CONUS",""
"Cascades Frog","count","ARMI VES","VES and dipnetting",800,93,34,NA,"durationarea_sqm"
"Cascades Frog","count","USGS RACA assessment - current","VES and dipnetting",94,65,46,NA,"effort"
"Cascades Frog","count","USGS Count","VES",78,50,40,NA,"distance"
"Northern Two-lined Salamander","PO","iNaturalist","presence-only",2529,2529,2065,"CONUS",""
"Northern Two-lined Salamander","PO","NY Atlas","presence-only",1246,1246,1087,"NY",""
"Northern Two-lined Salamander","PO","VT PO","presence-only",539,539,419,"VT",""
"Northern Two-lined Salamander","PO","WV PO","presence-only",482,482,414,"WV",""
"Northern Two-lined Salamander","PO","Museum","presence-only",48,48,46,"CONUS",""
"Northern Two-lined Salamander","count","MDMBSS","VES",1887,1182,631,NA,"yday"
"Northern Two-lined Salamander","count","USGS VES - NE","VES",360,357,174,NA,"yday, EffectValue"
"Northern Two-lined Salamander","count","MA VES","VES",179,179,84,NA,"yday"
"Southern Red-backed Salamander","DND","Dodd Aquatic","VES?",158,103,37,NA,"time"
"Southern Red-backed Salamander","PO","iNaturalist","presence-only",329,329,266,"CONUS",""
"Southern Red-backed Salamander","PO","Museum","presence-only",15,15,14,"CONUS",""
"Southern Red-backed Salamander","count","Odonnell","hand raking leaf litter",1078,40,3,NA,""
"Southern Red-backed Salamander","count","Hyde","various",929,103,9,NA,""
"Southern Red-backed Salamander","count","Bailey","various",384,41,4,NA,""
"Southern Red-backed Salamander","count","Dodd Terrestrial","VES?",132,117,48,NA,"time"
"Southern Red-backed Salamander","count","USGS VES - MS","VES",107,75,58,NA,"duration"
